"rt","ions"
300.152,25871197.5437622
300.555,25196831.2050781
300.894,27374370.4155273
301.227,28152551.5570068
301.568,27233747.2207642
301.908,27141597.723938
302.245,28926749.430542
302.585,27258020.7121582
302.925,27219748.7290649
303.263,27237650.5705566
303.602,26318286.8237305
303.944,25795793.3572998
304.289,25222875.215332
304.631,25796637.1203613
304.974,25750051.9337158
305.314,28693699.2490234
305.653,26807239.1994629
305.997,26791280.8815918
306.338,26698734.7567139
306.681,27387954.1013794
307.022,27470536.3110352
307.363,27978867.5394287
307.704,27332932.9005737
308.046,27186568.4746094
308.391,26040679.3540039
308.738,27274437.1712646
309.082,26292637.4394531
309.424,26901381.0338135
309.765,27650076.4702148
310.107,27821087.0454102
310.449,27530575.3209229
310.79,27868846.0062866
311.136,26898904.9264526
311.484,26667835.6296387
311.833,26333840.0296021
312.182,25720312.1973877
312.532,25817145.0361328
312.882,26487209.4968262
313.23,26359058.109314
313.578,26672250.5797119
313.926,26292010.6688843
314.274,26913462.2713013
314.624,26966879.199646
314.973,26569010.6027832
315.321,26124833.5300903
315.67,26552873.0021973
316.018,26657875.8009033
316.367,26695781.869873
316.714,25988848.9091187
317.061,25904142.4398193
317.414,26039449.7193604
317.762,25864115.7554932
318.112,26211956.4274902
318.458,26761152.572937
318.812,20906589.0148315
319.16,29196053.7453003
319.509,29436576.3537598
320.944,26045840.7618408
321.483,26441619.1327515
321.834,26097415.3460083
322.184,27934637.5454102
322.528,1510225.36444092
322.874,32551498.2416992
323.218,31380977.414978
323.568,25286436.2357788
323.993,25040437.1671143
324.343,26284278.7803345
324.768,26903620.2650757
325.117,27437385.4541016
325.46,26922606.9779053
325.806,27564508.7652588
326.156,26039186.3262329
326.507,26367232.8948975
326.857,26160422.5340576
327.206,27589380.8853149
327.555,26515961.4227905
327.903,26879534.4667358
328.252,27100764.0921021
328.602,27120562.3847656
328.954,26621728.1352539
329.306,26193275.1079102
329.674,23608069.1983032
330.018,36450120.2003174
330.361,30671941.4951172
330.706,30764402.526123
331.054,31766591.3334351
331.403,30268337.2581787
331.751,30190674.3530273
332.096,26003528.9580078
332.444,25959506.0588379
332.867,26002204.4289551
333.215,26291542.007019
333.564,26511284.4037476
333.916,25813826.3735962
334.268,27659686.0754395
334.621,27205084.208252
334.969,26783459.6732178
335.32,26603413.7818604
335.671,26536697.397522
336.021,26142963.6980591
336.373,25502433.1087036
336.724,26703549.4833374
337.075,26448709.3934937
337.428,26553370.5914917
337.782,20633893.4125977
338.119,36410523.2587891
338.464,31580416.8585205
338.811,30349358.7021484
339.235,30466326.6852417
339.587,29666593.0602417
339.935,25628794.0397949
340.288,6832368.17919922
340.641,28628272.3849487
341.078,26134110.5445557
341.432,26649183.0466919
341.864,18919486.1589355
342.211,25878393.4906616
342.56,26387604.4886475
342.984,25951403.3071899
343.334,26866283.6067505
343.684,26857950.338562
344.035,25616487.9986572
344.386,26072163.9277954
344.732,19319229.0580444
345.073,35432820.9844971
345.417,34633085.9644165
345.761,29355763.2537842
346.111,29777926.3528442
346.779,27737344.458252
347.129,28243595.9536133
347.48,28907663.4117432
348.021,24103179.9020996
348.371,27679184.7113647
348.721,24697868.6247559
349.082,26871255.7280884
349.511,27522940.1157227
349.862,28705221.0875854
350.209,27699572.9812622
350.764,31139312.6012573
351.112,28886145.9428711
351.462,23519081.2617798
351.81,26169971.059021
352.164,24515052.3215942
352.509,22492258.1299438
352.858,25366100.3202515
353.205,25942289.9955444
353.552,27398364.5440063
353.903,26324053.6566772
354.249,26128146.9661865
354.596,25241233.937561
354.944,24881986.6947021
355.292,30637275.3874512
355.649,28191569.8889771
356.012,27669646.7941895
356.367,29103919.5898438
356.715,28776663.7747803
357.064,26596554.8414917
357.487,27805767.4762573
357.838,26967961.119812
358.201,22948451.5027466
358.547,25935082.9321289
358.895,26534301.9702759
359.242,27117764.5672607
359.585,27654402.7601929
359.949,24523980.2348633
360.298,27548101.8482056
360.65,23709705.3939209
361.003,31146412.6626587
361.433,27634904.7061157
361.784,26473757.3712769
362.146,25744692.1152344
362.499,27838862.8601074
363.719,26914169.6697388
364.157,26232856.8015747
364.514,25119079.4051514
364.864,25836018.7367554
365.206,26963983.104187
365.55,28194408.4534302
365.901,28591127.0167236
366.246,26559188.7543945
366.59,27112504.6740723
366.938,28200891.2167969
367.283,28299542.6098633
367.631,27198898.2303467
367.979,27305065.0126953
368.328,18106333.1020508
368.678,27661421.5600586
369.028,26116309.7630005
369.379,25979944.2670288
369.731,26009202.3268433
370.077,17555972.3925171
370.434,23924099.2233887
370.781,27258046.5219116
371.127,27511315.5064087
371.473,27144265.7393188
371.823,27385065.2815552
372.171,26252084.4622803
372.522,26977658.013855
372.868,27007957.633728
373.221,26699602.2980957
373.574,26580707.5759277
373.929,27410444.9094849
374.279,26992315.7171631
374.63,28292565.6859741
374.981,23559077.4714966
375.323,34312126.8009033
375.678,31319517.5150146
376.032,28241046.9014282
376.383,29330609.1206665
376.733,27537012.2411499
377.161,23252531.9458618
377.588,27582923.8927612
377.941,28536534.4492188
378.295,25676940.2587891
378.648,27004307.2467041
379.079,22374059.4388428
379.504,25404241.090332
379.852,26151920.8652344
380.276,26119612.5732422
380.627,25856694.5926514
380.973,25152316.8856201
381.329,25525823.3377686
381.676,25753751.7416382
382.031,26135804.1408691
382.391,23325937.1557617
382.783,15827658.2187195
383.14,21179106.1382446
383.507,22252620.4775391
383.974,23273824.9190979
384.406,20828681.8342285
384.758,28220008.0245361
385.107,27052790.3772583
385.651,26564535.2766724
386.022,18133599.5913086
386.375,29008024.0969238
