"rt","ions"
300.181,20132201.959198
300.611,21607695.6134338
300.954,21784881.2643433
301.933,20981107.4170532
302.275,22259355.2416382
302.617,22277654.2789307
303.141,22011688.6513062
303.558,21577774.7109985
303.901,21837314.3613892
304.242,21921080.9380493
304.768,22784991.4873657
305.107,22341113.5699463
305.448,21409282.7043457
305.787,22395368.7781982
306.316,21655467.324707
306.658,20827617.0535278
307.015,16398746.9798584
307.373,17288041.5926514
307.8,17838550.4719238
308.16,15936181.4998779
308.525,14549828.5535278
308.894,14997341.4590454
309.256,16866365.2940674
309.61,16629026.626709
310.048,16474906.5609741
310.408,15495868.1821899
310.771,14025930.8911133
311.129,15271905.7659912
311.546,20374657.7596436
311.891,19694242.6027222
312.234,20260840.2145996
312.578,21038705.4230347
312.923,20396198.2248535
313.267,19405266.9669189
313.609,17561173.1213379
314.031,20141590.3557739
314.474,14886288.9611206
314.904,17848058.9446411
315.258,17920923.9598999
315.686,17261538.4636841
316.116,16292023.420166
316.468,18951650.68573
316.814,19877211.2225952
317.168,15958133.9251099
317.522,16795987.9229126
317.938,21010095.3676758
318.283,20007028.2633667
318.628,19506512.3214722
319.047,20843691.4019775
319.389,21011465.1740723
319.731,21146074.1105957
320.076,20580793.1087036
320.418,20936808.5278931
320.759,21541075.5092163
321.101,20171074.9430542
321.444,16887508.0297241
321.973,20728395.9620972
322.612,21492130.5014038
322.967,19830201.7981567
323.313,17415162.2349854
323.75,14460816.8442383
324.116,13933389.998291
324.475,16592413.255188
324.816,20647085.1465454
325.158,21247446.3441162
325.575,21215485.4573975
326.011,14653094.0245972
326.449,15585809.8126831
326.81,15940150.8076782
327.155,21296738.6445312
327.573,20629418.0205078
327.992,19987701.5040894
328.334,21115657.8374023
328.674,20750476.0732422
329.093,20746716.2825317
329.511,20102884.4862061
329.873,20569893.0182495
330.214,21034325.5561523
330.557,20471007.0718384
331.111,12783251.8061523
331.464,18862371.296875
331.82,18058626.4107056
332.18,16461831.3603516
332.543,15832288.2505493
332.904,16483011.6943359
333.253,23737210.093811
333.594,21185352.5205688
333.944,19820335.0604248
334.289,21332829.4893188
334.732,13685659.1195679
335.168,15076453.0706177
335.529,15760052.8408813
335.887,16621002.4406738
336.243,17495489.1083374
336.595,16358290.6316528
336.937,21348743.1755981
337.276,21318711.3481445
337.616,21073349.9555054
337.957,15825373.3080444
338.298,20494668.6386108
338.825,20332734.2910767
339.169,19995002.2537231
339.537,16607759.1177368
339.889,17959334.7211304
340.227,21934004.3463135
340.565,21873406.2189331
340.91,21566150.6521606
341.437,21499674.458252
341.78,21248725.4608765
342.124,20331573.3665161
342.494,16600687.5126953
343.024,20613610.3937378
343.44,20985299.0884399
343.986,16026981.5495605
344.416,16231915.0985718
344.777,15267253.8416748
345.314,16717549.9376221
345.675,14861923.9516602
346.033,15967056.7512207
346.564,15649446.7130737
346.925,14661344.0831299
347.29,14379680.1841431
347.952,14955954.1203613
348.31,14758674.6470337
348.679,14835597.8039551
349.121,13953488.4469604
349.484,21133030.6556396
349.825,21604849.0542603
350.165,20945200.1056519
350.512,21191701.4088745
350.855,15728514.793396
351.216,15223699.8897705
351.558,20579501.1921387
351.899,20494517.4815674
352.241,20310385.800415
353.125,19793597.1989746
353.471,19330985.2124023
353.814,20150295.2321777
354.158,19838587.0333252
354.517,20163132.3850708
354.936,21366846.9249268
355.276,21310564.9470215
355.616,19631948.0596313
356.145,20619464.3190918
356.487,20353310.4920654
356.829,21081143.6426392
357.168,20823990.8068848
357.698,20420673.2415161
358.04,21048813.5065918
358.38,21161938.8873291
358.721,20364936.4174194
359.066,19102350.1202393
359.409,19858662.5043945
359.751,20252879.5285645
360.171,20188665.5687256
360.515,19932155.4967651
360.858,19818887.2470703
361.202,19062735.9214478
361.618,20486066.4210205
362.265,19027223.1947021
362.61,19990236.9748535
362.954,20186016.057373
363.483,20189375.1679077
363.826,17730470.2914429
364.169,20949169.3986816
364.698,20537156.5494995
365.037,16032002.0407715
365.387,17277236.6798706
366.039,17086018.5263062
366.38,20457431.5644531
366.723,20788890.3016357
367.065,20967865.0355835
367.415,16469953.5877075
367.77,16201452.2629395
368.203,16780368.4051514
368.56,16733656.0985107
368.922,14707524.977417
369.283,15507978.3330688
369.626,20472037.6238403
369.967,21046256.6405029
370.382,21520647.7355957
370.799,21490899.5826416
371.139,21762559.0129395
371.562,21197986.081665
371.904,20636036.4755859
372.246,20668467.468689
372.586,18550572.3066406
373.018,16165843.083374
373.364,20198945.019165
373.705,21110149.1802368
374.045,20269315.7397461
374.387,20214722.1871338
374.731,20604822.0372314
375.072,20759219.2964478
375.412,20938515.1888428
375.752,21795157.7158203
376.091,16906364.4090576
376.449,17409408.5149536
376.795,18691081.24646
377.219,18377242.0772705
377.64,21205195.9189453
377.98,21179631.3955688
378.32,21643302.5166626
378.737,21561379.6513672
379.153,21204060.220459
379.495,20955808.8397827
379.837,20430236.7507324
380.178,21374567.1859131
380.595,20109652.5028687
381.028,16238678.9393921
381.38,18370262.758606
381.721,21396884.8918457
382.083,14989786.7451782
382.613,20051399.697876
382.954,20378726.2938843
383.298,20261371.6040649
383.641,19720203.8149414
384.061,20657015.756958
384.409,19166962.9769897
384.753,19532450.6654663
385.171,20056254.7126465
385.591,20668840.8347778
385.933,20756477.2010498
386.275,20068810.9365845
386.918,19728809.7104492
387.261,20358666.3092041
387.606,19751319.7849731
387.954,19303194.826355
388.297,20056209.4591064
388.715,20226759.449585
389.076,14858140.9107666
389.425,17392299.3079224
389.853,15391323.4922485
390.286,16819090.4639282
390.637,16768724.467041
390.986,19689287.3144531
391.327,20623141.6880493
391.745,20200306.2027588
392.09,19643323.5795288
392.43,21065989.7477417
392.773,20352543.3879395
393.117,19871861.7608032
393.533,21217127.9064941
393.872,21415274.1347656
394.21,20067675.4158325
394.85,21120407.4334106
395.192,20279916.8493042
395.549,15684512.913147
395.888,21056370.2827148
396.231,20294372.7337646
396.572,20379711.0958862
396.916,19883038.2733154
397.446,20026811.3585815
397.866,19344922.3348389
398.207,15602837.4893188
398.556,20413839.0168457
398.898,20390064.0170288
399.24,20705506.9509888
399.581,20948572.5474243
399.925,20610184.6876221
400.264,21426563.0914917
400.603,20808712.3255005
401.019,20724286.3742676
401.361,19478154.8583374
401.702,20401840.8032227
402.045,20390708.2747803
402.389,19508777.9260254
402.736,20051995.1873779
403.08,20409454.2990112
403.628,15996696.5747681
403.976,14610505.9296265
404.318,20545012.7085571
404.661,21489141.3874512
405.427,16287244.9398193
405.866,14617720.3544312
406.397,20851603.1213989
406.768,12807322.5078125
