"rt","ions"
300.145,24240103.3048096
300.55,24426104.2719727
300.91,26337915.6358643
301.676,23588107.9622192
302.036,23463545.6489258
302.4,25334475.871582
302.948,25059594.7177124
303.386,24733024.4470825
303.746,24271500.484436
304.104,25926336.7860107
304.462,25702687.1017456
304.821,24992558.7516479
305.366,25190676.1803589
305.802,24808805.7133179
306.237,24664843.0785522
306.675,24991826.6871948
307.036,24088155.4422607
307.4,23253206.3121948
307.761,23907984.866272
308.646,24217085.2353516
309.006,25059519.1779175
309.367,23637678.7319946
309.729,24231850.6781616
310.089,25236243.557373
310.447,24289547.7823486
310.88,25379287.5706177
311.239,24653555.9281616
311.599,23730268.1974487
312.258,23926137.7848511
312.618,24075078.3817749
312.98,22979346.8884888
313.34,24311559.8770142
313.781,23630276.3292847
314.141,24950106.7352905
314.5,24375734.703125
314.859,24312596.2071533
315.218,24029076.1021729
315.58,25229309.5673828
315.941,24666543.8618164
316.382,24172415.0292358
316.819,24482286.4407959
317.179,24339324.0441284
317.545,23837183.1696777
317.981,23220992.8151245
318.34,24063784.5525513
318.701,24176825.8537598
319.058,25929105.0509644
319.419,23166561.8057861
319.854,23886119.8062134
320.213,24819477.9550781
320.574,23208505.9465332
320.935,22400868.512085
321.299,23522162.6672363
321.965,22401342.7427368
322.409,20777209.5019531
322.846,22899413.2186279
323.395,24083046.720459
323.749,27135566.5252686
324.109,25168514.9246826
324.543,26425351.6390991
324.904,22858272.9202881
325.264,23993842.5285034
325.811,25429447.8839111
326.174,24495273.9880371
326.537,25486038.0482178
327.54,23875462.8187866
327.901,24363149.7525635
328.258,24496090.6431274
328.7,23914455.8079834
329.06,23484919.8873291
329.421,24198573.9290161
329.862,23194461.4242554
330.224,23138954.600647
330.59,23197861.7993164
330.937,28209242.6397705
331.374,24424377.1879272
331.731,23048692.4968872
332.091,24422849.4039917
332.453,23946761.1074829
332.816,23912875.8974609
333.368,24307912.3686523
333.723,22268599.9733276
334.084,23316106.7074585
334.443,23203306.6278687
334.802,24105060.5672607
335.16,24096760.4299316
335.592,25704323.8746338
336.033,21326285.8579712
336.395,22783956.4436646
336.948,24182716.2636719
337.311,22466143.244812
337.671,24782450.0880737
338.219,23731188.0294189
338.578,24716922.1029053
338.938,24285224.6708374
339.3,24350851.2867432
339.659,25021715.5793457
340.01,26986508.0106812
340.364,26444375.1567383
340.72,26682517.1088867
341.078,24612768.8353882
341.434,22786471.7973022
341.79,25819589.7399292
342.237,24479146.3702393
342.788,21466829.9489136
343.146,24970780.864563
343.503,24351638.3244019
343.939,23580660.9434204
344.297,23786039.2443848
344.673,20634827.6552124
345.237,20619007.9393921
345.604,22330229.6372681
345.971,22459727.7775879
346.337,22190543.7880859
346.704,22116366.8882446
347.071,23337108.0371094
347.435,24161694.137085
347.87,23923938.8988037
348.311,23128067.6798706
348.672,21514457.1828613
349.03,24760135.9375
349.467,23935866.6790161
349.825,21255027.5938721
350.193,20638632.369751
350.965,25544936.0251465
351.332,21866666.538208
351.69,24701655.491333
352.049,23939547.2563477
352.408,24773048.0700073
352.766,25031399.3615723
353.203,24413647.7227783
353.561,24679129.3204346
353.923,23945540.367981
354.282,25403681.6078491
354.64,22967636.3405151
355,25393177.1104126
355.356,24844102.1418457
355.902,19407112.128418
356.263,22804684.4112549
356.624,23965286.0109863
356.984,24181167.010498
357.346,23941337.1383057
357.893,23735824.2680054
358.254,22211643.5739136
358.611,22417217.1712646
359.045,24214743.644043
359.403,24365982.3577881
359.759,26270830.4269409
360.193,24717682.6745605
360.55,25771981.7509155
360.908,24772452.3989868
361.268,24661052.8015137
361.627,24227359.5394287
361.985,24797604.7647705
362.344,22974160.8812866
362.779,25318060.5844727
363.144,23809076.5828247
363.501,24763129.4887085
364.046,24316084.4118042
364.403,24428494.8461304
364.759,25069647.7293701
365.118,24345855.2311401
365.474,24678114.7663574
365.998,32647626.1619873
366.35,27143008.8681641
366.706,25527487.8984985
367.064,25107463.9950562
367.422,25119397.2400513
367.779,24440208.8319702
368.14,23621984.0290527
368.498,24188381.1729126
368.853,25787908.7297974
369.208,24241971.381897
369.567,24239120.572998
369.925,24962102.6541748
370.282,23362234.5214844
371.063,22352154.7220459
371.503,24847870.6995239
371.94,23997345.6427002
372.303,24291694.482605
372.66,24915337.7826538
373.321,23895950.2442627
373.681,23695478.7316895
374.039,24812228.9474487
374.483,21066999.4367676
374.857,19800324.4063721
375.215,23871047.8618164
375.577,22746280.156311
375.934,23930525.87677
376.48,24383579.1040039
376.844,24035362.5795288
377.201,24849586.3596802
377.558,24188262.87677
378.009,24127694.4330444
378.37,24806450.5935059
378.732,23850378.5218506
379.167,23679450.8626709
379.526,23682743.5014648
380.075,25294062.1916504
380.432,24519607.3079224
380.79,25251920.3392944
381.341,23021174.1708374
381.703,23588925.7453003
382.065,23734499.324585
382.423,24518721.5435181
383.205,21806985.6888428
383.645,22745740.8321533
384.005,22337047.1325073
384.365,23873893.8560181
384.724,24718505.4511108
385.081,24917098.8990479
385.438,23701888.7374268
385.8,24590928.760437
386.462,21460851.0386353
386.822,22082303.8123169
387.185,21940800.6352539
387.547,23193684.9871216
387.908,24336741.3400879
388.269,22974913.0083008
388.629,23278843.7533569
388.989,23972675.4516602
389.347,25054683.3130493
389.707,23315093.7541504
390.064,25201409.7351685
390.42,25040810.4212646
390.856,24061208.6992798
391.218,24113444.2889404
391.577,24278682.0360107
392.013,23854078.5941772
392.37,24253385.3088379
392.736,22579450.0651245
393.094,24922136.0635986
393.53,22227287.5895996
393.89,23916339.2471924
394.246,23373333.7242432
394.603,24357325.585022
395.056,26914210.2271729
395.494,23599819.1010132
395.854,23437666.7755127
396.218,23475869.0250244
396.578,24436835.0221558
397.013,23925702.5510254
397.374,23061667.4084473
397.736,23356675.6686401
398.286,23921845.3944702
398.65,22707702.1385498
399.009,23497473.338623
399.444,23681068.8849487
399.805,24609126.2053223
400.352,22680259.7091675
400.712,23365664.3070679
401.072,23288580.2960205
401.428,24599702.0216675
401.863,24158252.730957
402.238,19494949.7304688
402.615,19280619.3408813
402.988,21054234.7606201
403.356,22497623.9130859
403.793,22880653.8793335
404.227,24374053.890625
404.591,21735360.4315796
404.951,25103512.8170776
405.316,23577099.8591919
405.751,22623508.2962036
406.189,20881855.1534424
406.566,22910591.0272217
407.118,22656208.947876
407.475,22885497.3927612
407.837,24037062.5420532
408.196,23380848.9558105
408.558,23438144.7613525
409.113,18172645.9170532
409.472,24623318.81073
409.829,24439158.68396
410.19,22915443.7155762
410.548,23493161.7288818
411.1,22845304.6287842
411.766,22056570.5177002
412.206,22987372.6259766
412.568,23721439.9350586
412.926,24025293.3847656
413.283,23142187.9891357
413.643,27018981.1333008
414.079,23096799.1990967
414.441,22044904.5933228
414.803,23073060.1873779
415.35,24332330.2723389
415.713,20476166.819397
416.085,19623175.7337646
416.524,22449620.3514404
416.961,22893713.0278931
417.399,22629474.8862305
417.76,23428744.0320435
418.119,23131611.3060303
418.485,23082948.6879883
418.846,23109128.2771606
419.211,22759029.963623
419.572,22912091.5846558
420.013,23314610.5006714
420.371,23672017.380249
420.734,22451409.8717651
421.092,24192903.307312
421.453,23083047.3016968
421.89,23204631.3910522
422.247,23787380.821167
422.61,22102945.5614624
422.975,22103564.0028076
423.337,22891019
423.775,21424796.8026733
424.326,22614884.4214478
424.77,22579033.5854492
425.332,21985218.6587524
425.693,22918475.1522217
426.13,22692441.6775513
426.569,23343359.4404907
426.933,23838247.9815063
427.292,23639703.2886353
427.961,22184297.6208496
428.32,24185116.9932251
428.679,23156824.5640869
429.039,22677924.423645
429.587,23001289.2947388
429.948,22802186.4309692
430.293,22940858.1173706
430.663,21953667.1327515
431.1,23356705.8604736
431.463,22395286.4553833
431.823,22699759.7441406
432.197,15020064.6462097
432.64,21447479.9815063
433.005,21006769.8790894
433.37,21601697.6282959
433.733,22110938.2019653
434.286,21837227.2333374
434.65,21584351.0588989
435.045,19888189.0805664
435.417,20655954.9907227
435.971,22006684.0143433
436.332,22954516.0980835
436.694,19957788.8642578
437.169,20514176.7845764
437.833,23019072.2892456
438.192,22405281.503479
438.555,22289272.7451172
438.919,21778797.3608398
439.311,20288455.6994019
439.677,21354198.9381104
440.114,21825771.1101074
440.557,21536519.7576904
440.924,21231936.5905762
441.286,22668017.6268921
441.725,21946771.711853
442.166,21266987.4000854
442.589,24775544.5698242
442.952,21365909.0145874
443.319,22388169.9941406
443.757,22544931.5286865
444.12,22782064.5462646
444.481,22353240.307251
445.251,23942924.3188477
445.696,20530202.3190918
446.062,21763303.1386108
446.424,21627759.0606079
446.86,22706527.003418
447.228,21787042.5713501
447.592,20978498.4555664
447.959,22057448.7481079
448.321,22942981.4060669
448.684,20372601.1600952
449.124,20919585.8084717
449.508,15451870.6624146
449.878,20952073.1100464
450.434,21290762.4594116
450.796,20986171.6047974
451.169,20182252.2583008
451.609,22259936.0712891
451.968,22238517.1629639
452.514,24465213.4827881
452.882,21456910.6500244
453.247,21382159.4385376
453.692,22702438.3375244
454.132,21724690.6891479
454.497,22076464.4266357
454.857,22626766.0699463
455.22,21275485.3053589
455.589,19627659.4145508
