"rt","ions"
300.195,19650997.7164917
300.638,19479157.388092
301,20707085.5532837
301.879,22351403.6152954
302.237,21728597.5245972
302.614,15755766.5158081
303.291,16101654.1964111
303.661,15092997.7074585
304.053,14319909.763855
304.857,13975448.8248901
305.248,14641641.09552
305.637,19373114.3048096
305.972,18910801.7653809
306.348,16024107.7254028
306.706,19890212.451416
307.068,20557424.1387939
307.423,21161083.8605957
307.78,20965692.0306396
308.548,20424409.9456177
308.902,21291581.276001
309.259,13811395.0460815
309.641,14574578.0811768
310.019,15852760.5593872
310.376,20223875.2613525
310.752,15887590.5084229
311.422,19131386.6427002
311.787,17656704.9586792
312.151,18428939.1436157
312.586,17580340.6297607
312.959,15799937.3374023
313.335,14199706.1159363
313.779,14935665.1434326
314.21,20322664.5864868
314.564,19884062.5630493
314.92,18164685.850647
315.276,20179108.1696167
315.633,20204831.1158447
315.985,20809688.553833
316.414,19764412.5910034
316.765,21039472.5698242
317.118,19910135.0556641
317.491,13465019.7670593
317.85,18494361.4996338
318.226,18603177.0949707
318.606,16720930.9320679
318.967,18203964.6848145
319.321,20743742.6486816
319.673,21058451.0233765
320.025,20938287.6170654
320.378,21323327.4422607
320.808,20657926.1341553
321.236,21480209.3566895
321.805,14135684.2060547
322.376,14506150.2130737
322.745,16155694.4591675
323.119,17612483.3042603
323.473,20605023.069458
323.828,20671568.706665
324.481,19758718.4004517
324.834,21630219.3977661
325.26,21228340.1410522
326.027,20236944.7128296
326.381,20301712.0584106
326.736,20315487.1202393
327.089,20137190.296875
327.444,20207018.3181763
327.875,16002963.3725586
328.305,20403031.2329712
328.676,16619895.2608643
329.047,17436753.9994507
329.414,16447839.9817505
329.792,15140421.3988647
330.326,19367602.3934326
330.68,21129998.2770386
331.032,20537463.8273926
331.386,19119437.8031006
331.741,21009478.2058716
332.094,19724345.015564
332.52,20133920.2067871
332.867,17806110.5137939
333.216,20723509.7634277
333.568,17070013.7495117
333.922,19403366.1237793
334.273,19601114.3228149
334.815,15158461.4908447
335.165,20785601.6557617
335.514,21183209.4296875
335.862,21387770.8474731
336.226,16327969.8381348
336.585,17268544.1219482
337.144,14467110.6845093
337.501,20282630.4772339
337.851,20717309.7077026
338.279,19112410.2651367
338.705,21139104.8563232
339.138,18758753.2269897
339.491,19827308.5231323
339.838,21101029.68573
340.202,16277242.166626
340.636,17114088.835144
341.08,15208456.6513672
341.447,14970986.1795044
341.813,14775463.7770386
342.257,14540787.781311
342.906,20647068.8970947
343.256,20044259.0704346
343.604,21064048.5496216
344.145,19208472.1374512
344.589,15957296.4858398
344.957,14732736.0906982
345.324,14076073.8031616
345.768,15342711.6538696
346.31,18892198.9546509
346.738,19189765.5799561
347.088,20035855.4102783
347.437,21212479.0552979
347.786,20658864.7162476
348.322,20144128.973938
348.673,20145564.9387207
349.021,20552524.4805908
349.443,20235762.3198853
349.791,20948239.3787842
350.137,21448170.2282104
