"rt","ions"
300.326,11423449.6204376
300.803,13118945.0169373
301.145,15683273.005127
301.67,15800638.5666504
302.009,14985007.590271
302.349,14110888.7073975
302.765,14558462.7919922
303.109,13343022.0339966
303.451,13577017.8001709
303.868,13960477.333252
304.288,13591599.4802246
304.628,14728016.2733154
304.972,13677642.4832764
305.315,13935437.5098877
305.657,13914196.9478149
306.188,14622167.6712036
306.607,13954044.9437256
306.953,13928970.3977051
307.294,15939472.1596069
307.633,15191384.8334961
308.053,14300896.8441162
308.473,14288101.2127075
308.816,14633360.670166
309.158,15110694.617981
309.58,13475058.138916
309.926,13905507.5067139
310.345,14923947.7194214
310.687,15672737.2815552
311.028,14572474.3395386
311.559,13546796.6390991
311.905,13626552.7789307
312.252,13563754.0479736
312.789,13206814.9815674
313.136,13204672.5650635
313.484,13127325.9558716
313.83,13364393.5836182
314.174,14489393.3862305
314.518,14233993.4346924
314.86,14622525.1585083
315.204,13666427.7156372
315.548,14599320.947937
315.891,14408916.9639893
316.308,14862620.7293701
316.649,15247889.5667725
317.064,16435219.9894409
317.402,16074061.4352417
317.741,15358362.7763672
318.086,14157602.7018433
318.432,13831044.9818726
318.776,14552239.2404175
319.118,14817573.7070923
319.761,15339363.2697144
320.1,14961019.8574829
320.444,13926782.3659668
320.788,14289814.21521
321.205,14354087.8667603
321.549,14037124.4159546
321.891,14829044.6175537
322.232,15162102.432373
322.574,15239018.6730347
322.917,14629570.5458984
323.263,13742550.6781006
323.608,14012160.5906372
324.028,14214250.7525024
324.447,14099906.6871948
324.866,13836512.8989258
325.211,14106014.5550537
325.558,13227430.4125977
326.208,13123534.4328613
326.556,13076675.9755249
326.901,13924420.625061
327.322,14225976.743103
327.668,13527184.2880249
328.012,14349090.7015381
328.429,14399203.4938965
328.773,13596220.590271
329.119,14041449.9577637
329.462,14739010.7398682
329.802,15427994.0730591
330.143,15505672.555603
330.483,15075968.4283447
330.901,14149414.5646362
331.248,13414002.5760498
331.593,13482760.6998901
331.937,14424793.3745117
332.281,14356674.7694702
332.626,13698033.6992798
333.048,13702523.5108032
333.393,14140043.3157959
333.737,14050083.9824219
334.158,14108662.2741699
334.577,14294213.7323608
334.997,14185652.9939575
335.419,14115973.9794312
335.764,13915448.2766113
336.109,14046523.9476929
336.529,14078516.7182617
336.875,13450905.0852051
337.217,15210974.2794189
337.557,16201456.2876587
337.896,15782262.7655029
338.311,15196504.338562
338.655,14245265.0996094
338.999,13714792.5219116
339.344,14309462.5583496
339.764,13969211.2147217
340.185,13842892.2243652
340.531,13566990.6138916
340.878,13357758.0922241
341.304,13203682.1907959
341.65,13726817.6842041
341.996,13961559.361145
342.342,13640280.9576416
342.688,13677979.9301147
343.11,13534546.8701782
343.458,13156061.4431152
343.803,13676651.7050171
344.152,13854303.1018677
344.495,14815576.4887695
345.028,13923829.3300171
345.448,14040735.5558472
345.867,14124211.382019
346.289,13848540.5738525
346.823,13995846.4420776
347.169,14634267.329895
347.511,15087590.8458252
347.93,14312143.0654297
348.351,14046071.0506592
348.773,13876225.1486206
349.118,13614938.9038696
349.463,14102303.9019165
349.996,14184562.3372803
350.344,13732301.2089233
350.688,14863817.0439453
351.031,14234047.6243286
351.377,13347601.9718628
351.798,14071943.7237549
352.143,13794647.4139404
352.489,13770632.006897
352.833,14302391.9760742
353.175,14604016.5708618
353.594,14014749.722168
353.939,13868560.4309082
354.284,13973563.5561523
354.628,13442789.9550781
354.974,13775034.9521484
355.319,13731297.1937866
356.075,14478618.117981
356.418,14154870.480957
356.762,14587078.9135132
357.103,14834482.5599365
357.446,14677027.725769
357.792,13952922.2704468
358.213,14226323.0067139
358.635,13619844.552063
358.98,13357613.5429077
359.327,13445020.7267456
359.669,14494562.1914673
360.011,14641095.5393066
360.43,14082104.6918945
360.853,13062683.2561646
361.203,13062263.9630737
361.552,12862884.003479
361.901,12962623.7370605
362.249,13380629.0614014
362.597,14276921.0024414
362.942,14023245.4365234
363.288,13745199.1929932
363.709,13977124.8414307
364.053,14091485.2543335
364.399,13083644.6621704
364.747,13147092.7962646
365.093,13517162.0888062
365.513,14525859.4437256
365.859,13144548.8041992
366.207,13041274.8376465
366.553,13808060.9787598
366.895,14787933.2282715
367.312,15051610.2231445
367.845,14162764.1472168
368.267,13384735.7169189
368.614,13721973.663208
368.961,13387215.2659912
369.496,12763271.0431519
369.844,13314962.2475586
370.19,13555751.6124268
370.535,14398749.4805908
370.952,15460805.7717896
371.292,15050276.9286499
371.636,13724455.0158691
372.173,12462823.8878174
372.522,13748876.2232666
372.868,14360018.8393555
373.625,14092890.946106
374.043,14870437.9171143
374.387,14268972.0134277
374.732,13663791.6934204
375.153,14084378.7883301
375.687,14533546.7071533
376.031,13489647.8775635
376.376,13920152.0185547
376.721,14530830.8505859
377.365,14451337.2438965
377.707,14687203.5827026
378.052,13675452.2855225
378.397,13968181.3462524
378.741,14535863.0986328
379.159,15274026.6256714
379.499,15643595.3980103
379.837,15981720.6295776
380.176,14722836.7102661
380.52,13526288.7598267
380.941,13851182.8864746
381.362,13586908.8557129
381.786,13499281.6653442
382.134,13547412.9423218
382.481,13652512.5152588
382.826,13984201.1113892
383.171,14697571.2877197
383.512,15305240.6296387
383.852,15401054.0424805
384.19,15123519.2102051
384.608,13952962.7173462
384.953,13942809.8421631
385.295,14599060.5817261
385.639,14636070.5090942
385.983,13854090.7562256
386.327,14059450.0671997
386.673,14158840.4372559
387.016,14310998.4190674
387.358,14626145.0290527
387.704,13097521.0892944
388.127,15767828.9833984
388.475,15687947.234375
388.823,13485992.3712769
389.581,14049316.9909058
389.926,13389065.6964111
390.272,14023952.3197021
390.62,13711226.0996094
391.043,12746420.8223877
391.575,13725572.4155273
391.92,13811608.100769
392.265,13775008.8156738
392.609,14752128.3690186
393.255,14758028.7167969
393.595,14461992.2713623
393.94,13592458.4857178
394.286,13665269.8939209
394.815,15632087.0072632
395.154,15660344.1091309
395.493,16274185.4678345
