"rt","ions"
300.146,21911660.4349365
300.545,20739346.4226074
300.889,22322985.8693848
301.762,21682303.7434082
302.108,21787728.4353027
302.457,21428288.9400024
303.444,22314437.7999268
303.788,22379676.8828125
304.137,21826355.1934814
304.482,22028232.2694702
304.829,22768899.4711304
305.176,21968710.831604
305.942,22442343.9749146
306.29,22508175.4241333
306.638,22645896.9003296
307.178,23263622.7608643
307.527,22716278.3356323
307.878,22909753.3526001
308.643,23472732.7302856
308.994,22920003.9835205
309.344,23253223.8285522
309.991,23334337.7221069
310.341,23254181.6951294
310.69,23239003.892395
311.13,21657780.0478516
311.482,22395029.4723511
311.833,22525859.0606689
312.186,22121792.0708008
312.538,21722435.2639771
312.894,22275660.133728
313.445,21948559.1135254
313.988,22236748.6207886
314.34,23517102.736145
314.691,23034178.7537842
315.042,21742601.6907959
315.471,22242177.6821899
315.83,22388499.5016479
316.193,21081244.3734131
316.548,22026474.0668335
316.979,22375969.5211792
317.336,21977579.7987671
317.69,23140757.9571533
318.043,23119840.477356
318.472,23354986.2090454
318.902,23614271.7865601
319.253,24201036.6304932
319.606,23332302.4655151
320.147,22893732.9429321
320.5,22755229.5102539
320.853,22974453.7113647
321.203,24277583.7136841
321.562,21765084.7991333
322.109,23732967.7761841
322.768,22084618.40271
323.198,22566087.1202393
323.629,22432003.4350586
323.981,23910318.0662842
324.419,22812136.6754761
324.78,22009502.083374
325.134,23651362.0817261
325.486,23833931.5897827
325.838,23483240.456543
326.611,22118003.6543579
326.964,22885401.9561157
327.317,22714961.6622314
327.679,21566695.1953125
328.115,21459483.1868896
328.553,22750049.8911743
328.906,23857566.9561157
329.265,21979999.4304199
329.92,23137688.1656494
330.272,23834112.2954102
330.625,23916731.7296753
330.977,23586333.555542
331.53,20323397.0317383
331.896,20618901.3358765
332.251,22545717.7634277
332.605,22825790.3579102
333.155,20655812.5047607
333.512,22790706.0187988
333.867,23215503.0009155
334.409,23340812.2929688
334.762,22140585.1275024
335.12,21079670.4273071
335.564,18962578.1522827
335.924,21316071.6330566
336.281,22035156.1080933
336.638,21442444.4841309
337.075,22656783.5526123
337.431,22586939.9378662
337.791,22315778.4872437
338.147,22095567.4080811
338.919,23082964.6034546
339.275,21793856.6157227
339.634,21694526.9623413
340.178,21702401.3428345
340.536,21693202.7594604
340.888,23890799.4417725
341.317,21359625.0655518
341.749,21087459.7921143
342.296,21685580.9677734
342.729,22057069.0297852
343.173,20761875.6744995
343.719,21230134.8433228
344.263,21260890.6452026
