"rt","ions"
300.16,20914268.1480103
300.558,22338769.9150391
300.916,22475669.0128784
302.143,21497725.6832886
302.493,22767725.0480957
302.853,22986976.5559692
303.514,21803452.1210938
303.874,21825195.4779053
304.234,21581794.6870728
304.596,22576802.7756958
305.373,22472274.673584
305.738,21575522.4285889
306.102,21867486.5223999
306.551,20363467.8445435
306.894,26771069.1647339
307.259,20405917.3201904
307.701,21220527.7799072
308.069,21349265.0726929
308.435,21333443.3826904
308.875,22182540.2023315
309.241,21398251.5062866
309.911,20650125.843689
310.348,23134076.0004883
310.716,21150165.0299072
311.083,21375937.9824219
311.446,22715015.4497681
311.811,25371154.6772461
312.367,21755191.3363037
312.732,21353481.5778198
313.099,21269022.9020996
313.468,20814284.2661133
313.912,22160980.2957764
314.468,22137414.9839478
314.834,22508454.9703979
315.2,22022227.4235229
315.567,20037912.4573364
315.933,21230452.9727173
316.713,23959990.5534058
317.087,19675910.0123901
317.458,25662382.2958984
317.831,20543065.8798218
318.198,21019888.3585205
318.858,24220376.592041
319.22,23645798.7763672
319.594,21568560.6201172
319.963,21083864.8188477
320.41,22112443.8591919
320.777,21221632.5057373
321.152,20341491.8997803
321.521,20975113.522583
321.971,20236002.6884766
322.64,21924788.1104736
323.086,21481158.003418
323.645,21540801.6450195
324.012,21869821.4976807
324.379,26305825.7531738
324.821,21372429.0404663
325.188,17621766.3138428
325.557,22549328.6084595
326.334,21669418.569458
326.701,21382627.7706299
327.069,23136253.1077881
327.43,23725575.692688
328.093,21789256.3840942
328.464,20992306.8876343
328.84,18794445.2763062
329.283,19858808.8349609
329.654,20041184.355835
330.105,21029903.3638306
330.471,22054731.8051147
330.835,21067917.1412964
331.618,20150112.2255859
331.986,20723638.5966187
332.346,23047984.5786743
332.902,21744422.4493408
333.267,20029529.5349121
333.632,21249895.1950684
334.189,21026121.9285889
334.553,21202946.3339233
334.916,21389948.6730347
335.282,21687892.0237427
335.841,23592775.2702026
336.207,21736285.7509155
336.57,21165761.3015747
337.013,20508633.9661865
337.549,24280546.9971924
337.911,22254157.1004028
338.279,20986660.7729492
338.642,21151063.5234375
339.083,19613561.4521484
339.444,26825351.1515503
339.807,21951023.0901489
340.169,22544661.9358521
340.535,22801182.5908203
340.899,21638102.9589233
341.456,20494697.9006348
342.022,19731991.4939575
342.394,19598051.5889893
342.832,26194937.499939
343.493,21645209.4251099
343.849,19296658.399292
344.219,22169428.5837402
344.878,22412933.6756592
345.245,21118100.5150757
345.61,20656121.2329102
345.978,20505056.9880371
346.427,20602480.8828125
346.796,20676979.1567993
347.166,21537247.9000244
347.526,20481898.6578369
347.899,20719901.9573975
348.267,20970199.4822998
348.715,20380418.1126099
349.086,22117446.3377686
349.455,20584025.1264038
350.009,21072043.8293457
350.448,22901374.4293213
350.894,21029356.322937
351.259,22344020.5769043
351.623,21740130.8148193
352.064,21743322.1543579
352.412,26091239.3195801
352.776,21397896.0118408
353.139,22274812.8102417
353.501,23316120.5380249
353.94,22399759.541626
354.304,22649053.7225952
354.673,21300412.6879883
355.117,21357050.2582397
355.488,20207099.5179443
355.86,19075419.395813
356.229,24686573.8195801
356.596,20304321.9906006
357.373,21390062.9576416
357.738,21012294.1418457
358.292,21318441.3912964
358.661,22431418.4628906
359.029,21145248.414917
359.586,20564536.5588379
359.952,21009510.6590576
360.316,21795749.8587036
360.692,20201156.7498474
361.133,22459760.7886963
361.688,21617525.4107056
362.13,21395125.6102295
362.576,21629721.6773071
363.021,22410468.4786987
363.383,23204180.157959
363.743,22899182.8789062
364.179,23657992.9106445
364.535,23778603.3222046
364.898,21069207.9677124
365.674,22524668.9324341
366.033,23847064.1342163
366.391,23709408.2991333
366.75,22682171.9207153
367.188,21912059.5015869
368.081,22847326.0020752
368.44,20250664.4825439
368.805,19347950.8173828
369.244,23747054.1011353
369.599,22179787.9087524
369.961,22629262.7642212
370.396,23033015.0353394
371.059,23579770.9009399
371.437,20653520.8289185
371.826,20836280.2645874
372.177,25015131.0828857
372.536,22071978.9434204
373.083,22947044.8712769
373.441,22677009.8081055
373.788,25629770.7178955
374.142,25898250.4115601
374.578,22456017.7567139
375.013,21754573.1038208
375.374,22034050.7699585
375.737,21558113.7694092
376.175,22080589.7713013
376.539,22036209.1705322
376.902,21825341.4801636
377.266,22012381.4207153
377.818,23429000.6311646
378.178,22624504.2317505
378.542,18864795.8010864
378.906,21753303.0525513
379.346,21237967.4104004
379.712,21656595.4871826
380.077,21879149.0562744
380.517,21719523.7405396
381.408,22763560.7883911
381.774,21649593.6112061
382.139,21160432.890686
382.58,22363430.4143677
382.949,20141488.5723877
383.393,20509266.4316406
383.834,21682159.7125244
384.388,22537427.1783447
384.938,22591008.6969604
385.301,22482724.0914307
385.68,19004741.1456299
386.233,20956338.6055908
386.598,21069017.5651855
386.966,21473990.2056274
387.333,20802506.0203857
387.776,21458118.3093262
388.16,21275842.6542358
388.525,22297082.1154175
388.965,20190708.0848999
389.334,20703665.7525024
389.699,22060410.2299194
390.065,21160207.4432373
390.43,21120303.3346558
390.877,21749804.2090454
391.32,20985767.5634766
391.762,21581722.6832275
392.207,21534034.111084
392.647,21854704.6713257
393.313,22546025.0131836
393.674,21905197.9528198
394.04,21376480.2940674
394.483,22053065.9349976
394.923,21822594.7329102
395.475,21112468.8666992
395.844,20675045.9634399
396.215,20667641.1724854
396.884,21278956.3864746
397.253,21462431.2502441
397.603,23968190.5834351
397.96,23204814.0769653
398.325,21175244.2619629
398.691,21699147.8393555
399.056,21430758.3198242
399.418,21037068.3865967
399.783,22355199.072998
400.146,21303996.434082
400.511,21405062.5796509
400.875,22736795.868103
401.3,20222284.1195679
401.739,21921132.9960327
402.187,19922725.362793
402.556,20887296.1287842
403.111,21329682.2295532
403.556,21043704.6627808
403.921,20654714.3616943
404.29,20629779.5006714
404.739,21425020.0504761
405.107,20918851.7800293
405.472,20347144.385437
405.918,20328204.0184326
406.591,20281821.2734985
406.958,19905096.3045044
407.326,20455346.3075562
407.771,21153175.0267334
408.138,21369191.2390137
408.511,20762248.5297852
408.953,21550696.0947266
409.316,22803429.7763672
409.679,21965120.4991455
410.122,21922384.4890137
410.493,20881209.963623
410.865,20658124.9817505
411.237,21453521.4854736
411.679,21783111.4645996
412.046,22627594.5234985
412.411,21416294.6270752
413.075,22186499.3569946
413.514,20335277.5526123
414.076,19949772.5682373
414.445,20545789.4503784
414.813,20607507.5933228
415.185,20035808.9689331
415.548,21542035.9094238
416.102,21142991.5806885
416.475,21472267.7264404
416.839,21077448.2796021
417.206,22315923.4935303
417.646,21485000.9685059
418.092,30622780.8734131
418.454,23711856.2837524
418.816,22710090.538147
419.179,23634714.5427856
419.615,23059915.5345459
420.054,23310243.0308838
420.418,21282560.7453613
420.975,21158079.8444824
421.342,21586127.6273193
421.709,20872498.3146973
422.06,23907072.3534546
422.499,21316451.2476196
422.861,21523842.2733154
423.233,20256831.284729
423.602,20474158.3226318
424.156,21788365.9136963
424.606,19996762.9497681
424.981,20683617.3756714
425.352,19964149.6460571
425.72,20798571.6447754
426.277,20840204.7446289
426.723,20458610.2749023
427.092,18689631.6808472
427.451,21032975.1468506
427.821,20019918.9212036
428.192,19827610.5900879
428.636,20241668.3637085
429.308,20065036.0526123
429.682,19956933.7589111
430.052,19452396.3518066
430.494,20248331.6071167
430.938,19634255.6585693
431.381,21823862.7744141
431.829,19566853.7467041
432.199,20295734.7331543
432.57,20915679.8554077
433.011,21560902.243103
433.378,19610207.3314209
433.75,20488206.2907715
434.113,19812561.850769
434.666,19615322.2667847
435.032,21382621.5325317
435.397,20878517.7180176
435.962,17505011.2506714
436.527,18943282.7178955
436.972,19878590.5128784
437.533,19884397.7802124
437.904,19921631.5267334
438.273,18171245.6829834
438.647,19487574.1390991
439.015,19505624.0073853
439.391,16826755.7236938
439.761,19383611.0814819
440.126,21046440.7696533
440.68,20640841.854126
441.047,19984099.2597046
441.419,20172955.0604858
441.794,16308587.3721313
442.912,18906879.0012817
443.28,19433352.4551392
443.651,19906512.3740234
444.016,20664531.105957
444.461,20326125.9889526
444.83,17739630.4614868
445.204,19885802.8185425
445.571,19690949.4293213
445.938,19911841.2462158
446.394,18970709.8262329
446.85,18622220.3232422
447.293,19454111.0300903
447.659,19904862.6416016
448.029,19918100.401123
448.476,20033175.1068726
448.92,16614486.8005981
449.485,20043684.7224121
449.866,19947093.984436
450.24,19508592.62323
450.604,22124828.7316284
450.971,20122104.5705566
451.639,19931688.7444458
452.004,22003896.677002
452.382,18490867.6088867
453.617,19013241.6911011
453.991,19008917.6456909
454.368,18313151.7350464
455.041,20165803.1387939
455.488,20764004.5178223
455.856,19959170.5801392
456.221,19560056.1398926
456.785,18808923.1291504
457.343,19696944.960083
