"rt","ions"
300.178,20921937.2130127
300.622,19374464.086792
300.987,20701941.2810669
301.333,27683244.7532959
301.699,22551464.2940063
302.064,21272385.7570801
303.512,20866069.8165894
304.065,18951557.7233887
304.432,19928988.7316895
304.795,20564198.8931274
305.154,21334079.8413696
305.519,19215539.7030029
305.889,20055317.6453247
306.257,19496383.0637817
306.621,21812807.8781128
306.983,23106799.8001099
307.346,21586274.9876099
307.713,21335133.0806274
308.081,20403128.6686401
308.449,19931535.7607422
308.815,20164566.963501
309.186,18586583.8564453
309.552,22161696.6884155
309.914,21694149.8365479
310.304,20230955.1616821
310.675,24730408.1605225
311.037,23497020.1742554
311.934,22496003.9001465
312.294,24763395.6538696
312.684,15712854.0985718
313.047,20806404.7926025
313.485,20529649.9360962
313.85,21271178.8771362
314.214,21314410.8517456
314.575,21916666.6444702
314.933,22004729.3082886
315.296,20813769.6119385
315.659,21072102.5194702
316.023,19636672.9189453
316.391,19468638.4338379
316.759,19309035.1794434
317.123,20114391.8499146
317.489,20991192.1477051
317.855,20481444.2454224
318.216,20797466.515564
318.581,19467436.3718872
318.95,19296567.0374756
319.316,19948275.8098755
319.678,21575447.3170166
320.042,21946307.454834
320.405,21981030.9216309
320.851,19482231.4952393
321.221,20199295.0169067
321.587,20811736.9732666
321.956,20942019.7451172
322.319,21222266.8748779
322.691,20281928.8735352
323.059,21502600.8573608
323.428,20781889.2745361
323.798,20094297.7137451
324.164,20175712.5757446
324.531,20446069.3225098
324.898,20969495.9607544
325.262,21385763.0613403
325.625,20716975.0619507
326.004,18807111.4828491
326.372,21585445.7183228
326.731,22470921.3461914
327.09,22275675.3833618
327.459,20791655.7567139
327.825,20914829.3040771
328.193,20639208.2709351
328.545,16895163.9725952
328.914,21181526.0791626
329.284,21428041.9349976
329.652,20400231.7893066
330.016,24789244.5065308
330.377,24471467.3681641
330.742,22139876.5341797
332.2,20798976.2092896
333.092,22377795.2799683
333.462,20807468.9397583
333.83,21266716.4219971
334.273,20262952.1716309
335.396,18565354.9381104
335.767,19114044.9130859
336.132,20593666.3925171
336.502,20132399.9202881
336.871,20047681.4664917
337.243,20078796.1809082
337.611,20474698.364502
337.977,20946327.6887207
338.346,20437173.489563
338.713,20559628.6338501
339.081,20854966.4121704
339.432,24149591.0270386
339.786,25946470.0119019
340.155,22690583.8640747
340.832,21164319.4376831
341.207,20410244.0534058
341.599,21835191.9922485
342.041,22149101.6274414
342.493,20462155.3364868
342.869,18606876.359375
343.316,20665004.1767578
343.695,19720835.6404419
344.08,17753023.5836792
344.447,20679175.7984619
345.008,19419330.5409546
345.37,23401354.7489624
345.747,17557880.3861084
346.116,21356414.4815063
346.481,21670938.6002808
346.845,22043480.3162231
347.318,18621502.9705811
347.688,19338261.7087402
348.057,19305871.5558472
348.423,18434129.2025146
348.792,20155580.8536987
349.157,19994287.5949707
349.528,18338206.7782593
349.898,21034710.770813
350.268,20808375.0663452
350.63,21871966.5637817
350.994,21236485.6531982
351.358,21640058.1131592
351.729,19824729.0949707
352.096,20856949.380127
352.471,19647391.6590576
352.839,20694142.5400391
353.211,20432151.972229
353.59,17640683.3287354
353.966,19414246.1586304
354.338,21286362.9814453
354.707,18981406.704895
355.017,98155493.3620605
355.364,34996989.7667847
356.831,20755567.9869385
358.283,20968742.5172729
358.85,19158324.0272217
359.227,19113422.9403076
359.607,18608089.1623535
359.983,19893801.4644775
360.364,19068469.218811
360.752,16632906.9770508
361.137,18236570.4723206
361.519,18453967.6860352
362.991,14456123.7259521
363.676,18885404.737854
364.058,18404603.4906616
364.438,17861233.2583618
365.14,18730901.5084229
365.535,16667543.1512146
365.923,16230263.1532593
366.618,16704784.9024353
367.315,15118322.8450012
