"rt","ions"
300.162,18225690.3174133
300.571,18344859.1784668
300.928,17788557.3527832
302.249,18599544.1192627
302.598,18847951.2460938
302.958,17959153.5799561
304.411,17812427.6975708
305.177,20005016.3358154
305.536,18400755.3681641
305.895,18084564.0587158
306.257,17224495.081604
306.913,20357288.8590088
307.283,16759367.7666626
307.66,17437212.972168
308.222,16509744.4638672
308.592,17819613.3146362
308.953,19055864.6934814
309.501,18334067.8240967
309.863,19725387.0449829
310.223,19373251.1485596
310.591,16933099.0609131
311.157,17038891.4233704
311.527,16478176.7040405
311.893,17567214.3222656
312.336,17980092.3293457
313.348,19735749.3297119
313.704,22438832.9797363
314.067,19537061.0778198
314.432,18580617.4368896
314.875,17818280.2232666
315.427,17299185.4991455
315.798,18307362.2529907
316.155,21275525.2092896
316.511,20502054.140625
316.949,18086646.6915283
317.513,17883759.5311279
318.064,17988544.3062134
318.429,18374166.994873
318.796,17823137.34729
319.234,20709606.9069214
319.673,19676664.2432861
320.298,14155294.19664
321.089,16962167.0297852
321.463,17895880.4107666
322.016,19968527.4676514
322.901,18007280.0462036
323.268,18960055.8688965
323.64,19490673.4291382
324.196,19289831.3250122
324.968,20003885.8202515
325.326,18789346.4968872
326.106,18431046.5030518
326.484,16629285.1514893
326.859,17722909.9590454
327.548,17229561.442749
327.916,17555461.90625
328.292,17347883.9227905
328.672,16678923.387146
329.337,19955385.3029175
329.7,19070697.9630737
330.076,18760485.2335205
330.522,17470750.6240845
330.974,17751860.7294006
331.531,18195748.2360229
332.314,19207410.5767822
332.753,19644265.491394
333.647,17681498.1243286
334.018,17302495.6852417
334.388,18512033.7193604
335.061,19802444.177002
335.417,19995276.7075806
335.782,18400923.7929688
336.449,18971150.7282104
336.823,18288323.3773193
337.196,17390603.62854
337.755,19784129.9695435
338.235,19893445.1821899
338.686,18603115.6552734
339.05,17724478.1697388
339.419,17154301.2148438
339.869,17154250.7398071
340.544,17223601.2045288
340.912,14790737.8040161
341.283,17744482.5959473
341.837,17960294.6656494
342.282,17139396.796814
342.906,13121707.5878906
344.368,17828528.3665161
345.156,18121791.0605164
345.52,18527198.3491211
345.882,19118308.871582
346.329,18450955.7684937
346.998,19623034.5467529
347.367,19278934.0128784
347.732,19398233.8381958
348.397,19905984.8943481
348.76,19210399.3721313
349.128,17922597.1342163
349.577,18535069.5725708
350.357,17904269.8178101
350.725,18380457.0294189
351.088,19710798.9641113
351.451,18622974.854248
351.82,18193474.7089233
352.602,19021979.4083252
352.972,18981139.116272
353.333,19005599.8955688
353.704,16665910.359436
355.047,18864396.0228882
355.41,18813133.7207031
355.775,17588465.7056885
356.176,18350289.8853455
356.556,17605793.234375
356.937,17688207.4290771
357.307,18162403.1564941
357.865,18747275.9390869
358.24,16614663.6898804
359.696,17880801.1869507
360.252,19022637.6421509
360.622,19104500.3731689
361.411,7032958.10778809
361.781,18020684.9005127
362.14,18030155.9666748
362.703,11800545.7537231
363.139,18054606.2399292
363.589,16745658.8085938
364.137,17539584.4581299
365.242,19717879.5297852
365.605,20444155.49823
365.963,17492845.6624756
366.519,17363611.078186
366.963,18505566.1287842
367.324,17272895.0294189
367.684,19762349.0870361
368.041,22762994.4278564
368.46,23594569.6566772
369.005,20588466.1348267
369.358,20414141.8363037
369.713,18844735.866272
370.382,16902383.3983765
370.743,8649983.84350586
371.1,19445816.0820923
372.101,18071058.0137939
372.466,17422849.7457886
372.824,19036216.3077393
373.491,18895123.3447876
373.857,19529730.3284912
374.212,18604712.8121948
374.574,17917438.7767944
375.238,20044872.8249512
375.695,18059205.1578979
376.586,19139220.9603882
376.947,19547767.6450806
377.31,18922871.336853
377.668,20487461.7214355
379.124,18174609.5960693
379.793,18543808.9837646
380.153,18864955.2252808
380.513,17962953.6018066
381.069,19335702.4584351
381.437,18521936.4801025
381.819,17476767.7967834
382.707,17850669.8252563
383.082,17083121.6080017
383.98,18678534.2880249
384.423,5067480.78015137
385.874,16885431.9208984
386.531,14503604.4987793
386.886,18848499.7067871
387.245,18285085.0070801
387.8,14789529.8693237
388.245,17811430.0493774
388.61,16939606.8217163
388.965,18160109.4232788
389.846,19669563.7320557
390.208,18067123.8800049
390.564,18690926.5778809
391.231,18449419.7506714
391.605,16552966.7475586
391.967,17043839.5197144
392.627,15386575.3620605
392.999,17605050.5281372
393.355,18198445.4140015
394.247,18908719.4924927
394.605,19962628.7054443
394.966,7678142.28863525
395.403,19168435.1521606
395.845,18040005.7288818
396.3,16843682.4682617
396.659,22507066.5623779
397.016,18738388.2289429
398.46,46594623.3066406
399.953,17620011.658844
401.415,17787198.8631592
402.764,18529044.1864014
403.133,18808877.3462524
403.493,19874512.9147339
404.29,16566789.7435608
404.731,18155147.086792
405.177,19673408.6107178
405.733,20018634.9815063
406.18,19783180.3702393
406.743,18065666.4674072
407.119,18074992.3583984
407.483,17557342.4771118
408.03,19567490.468689
408.463,19316459.0792847
408.816,22066169.3818359
409.179,18647819.9764404
410.311,18457990.9588623
410.746,19755224.6569824
411.522,18201697.5202026
411.885,17439127.8199463
412.433,13848630.5041046
413.332,18165485.0516357
413.699,19399966.5506592
414.062,17595129.024292
414.615,18280550.5964966
415.071,16220935.0613403
415.644,15473149.4431152
416.651,18498218.8334351
417.015,20046330.6764526
417.402,19624127.5015259
417.956,19147019.4458008
418.519,17284859.9550171
419.143,14219410.4042053
419.512,17823520.0602417
419.88,17357036.0047607
420.66,19852603.6497192
421.033,19930030.0082397
421.487,17126797.3505859
421.847,17650256.8196411
422.21,18877665.5149536
422.649,15953695.3544312
423.089,18166654.3482666
423.448,21414150.6261597
423.895,15344174.3374634
424.26,18432624.8525391
425.261,19574747.4662476
425.811,17890818.668457
426.819,17271054.0357056
427.195,17903555.9954224
427.558,17789951.6630249
428.333,21237695.3164062
428.776,19102774.6013794
429.136,18333902.737793
429.792,18264749.3098145
430.151,19741814.9083862
430.533,16823312.5346069
430.987,16360808.9934082
431.427,16067486.4825439
432.217,16956679.9586792
432.579,18501438.2064819
432.936,18294204.9418335
433.597,16859627.8716431
433.971,18293741.5140381
434.351,18097255.6951904
434.712,19435031.4776611
436.157,17849319.5130005
436.837,16197345.3937378
437.211,18149561.3666382
437.587,16566140.0779419
437.99,14853523.2590942
438.885,16470357.2758789
439.259,17036940.3158569
439.62,18440340.0500488
440.178,17098673.7108154
440.556,14477729.6414795
440.934,14199374.2708435
442.393,16762099.2055054
443.296,13430056.9465637
443.804,14549719.8757935
444.177,15315544.5931396
444.948,17588116.1376953
445.38,15275892.3543091
445.743,14890413.1481323
446.112,15522779.353241
446.883,16510051.4892578
447.255,15844870.1286926
447.635,15356912.3248291
448.318,14518997.2487793
448.703,19769562.9025269
449.064,16963742.2914429
449.86,14536700.8019409
450.223,17359722.0527954
450.58,17302569.3942871
450.953,16896912.4956055
451.384,18976974.2622681
451.817,20517269.5327148
452.375,16389791.678772
452.821,16116868.1990356
453.254,17394975.7949219
453.825,14165680.9743042
454.262,15139088.7874146
454.715,15065273.0476074
455.075,13301971.7202148
455.449,15514829.3106689
455.885,15615920.449646
456.343,15351847.4941711
456.721,17820955.512207
457.095,18353633.2580566
457.764,18274452.0749512
458.119,19019215.4708862
458.479,19925530.5123901
458.842,16229968.8634644
459.232,23110638.0613098
459.789,17368213.7319336
461.13,18703406.9006348
461.489,15509230.8526611
461.858,16849987.6524658
462.217,15804746.0349731
462.9,16513976.0211182
463.259,20311789.0345459
463.62,16969716.3840332
464.175,17055711.1573486
464.549,18415347.3356934
465.117,15892698.6825867
465.58,15445799.416626
466.148,15356389.7345581
466.511,15639509.2686157
467.173,20092231.3915405
467.546,20581518.5494995
467.909,16807216.4091797
468.704,16140315.6082764
