"rt","ions"
300.139,33045537.4191895
300.525,30994806.9286499
300.879,34934466.1860352
301.979,32420804.2387695
302.324,27996201.2780762
302.684,30263213.3875732
303.33,33064049.1624146
303.674,32769980.9550171
304.024,29099062.1802368
304.565,28748527.8654785
304.92,31811217.1055908
305.266,33386633.3370361
305.612,32443721.0299072
306.16,25183114.8816528
306.521,27554101.8640137
306.877,29177815.9559937
307.224,32929505.3461914
307.765,31063699.0407715
308.177,34674075.4072266
308.517,35763117.651123
308.865,31750714.8272095
309.205,29626389.7145996
309.623,30964689.3208008
309.96,31011637.4534912
310.312,30590911.9658203
310.652,30198835.5172119
310.988,33081909.3380127
311.409,35090295.6334229
311.752,35789233.9196167
312.09,34175486.3009033
312.515,29270502.1333618
312.867,26960876.4891968
313.21,28598756.5510254
313.858,31682337.8041382
314.207,30361397.3291016
314.558,33270851.8737183
314.9,34210825.3712158
315.421,35441778.9648438
315.765,31937827.7490845
316.111,34302346.7525635
316.46,30543763.0944824
316.873,29181909.6110229
317.398,32215367.0178223
317.734,31625712.7712402
318.068,34002987.0876465
318.608,33492760.039856
318.963,28528759.3378906
319.313,31099076.71875
319.669,30687129.1185303
320.007,35000668.6584473
320.357,32144668.0335693
320.711,28653949.8729858
321.059,30312996.1005859
321.414,29703253.7322998
321.958,30811526.008606
322.616,30398301.4290161
322.951,34860575.815918
323.296,34927013.5762939
323.714,35046950.5682373
324.059,33053494.5737915
324.412,30129169.1921997
324.814,28869035.7781982
325.194,34716605.0450439
325.537,33156476.9891357
325.951,30359327.0390625
326.364,31304733.800293
326.702,34711578.6781006
327.131,26397990.0855713
327.484,30260501.1276855
327.899,34106086.8195801
328.554,29527385.5443726
328.908,29070163.5939941
329.257,31452558.0526733
329.685,29669601.1809082
330.022,33338188.9287109
330.355,41698588.9732666
330.697,41886514.5599365
331.11,37236291.9389648
331.455,31891825.1363525
331.882,34486843.4678955
332.534,27063584.1898193
332.893,27211556.3414307
333.246,28527342.8720703
333.681,31151197.6763306
334.018,35239822.0229492
334.895,28838382.1721191
335.246,32831694.9382324
335.602,29285839.7175903
336.029,30772875.8099365
336.367,31221470.3934326
336.705,33019816.2658691
337.117,32767881.5029297
337.529,34727650.9321289
337.883,34954330.2329712
338.224,27417489.0500488
338.876,29439077.0471802
339.224,32478220.145874
339.575,32118871.8659668
339.915,29246879.9866943
340.266,36949483.892334
340.616,29998614.3508301
340.956,38150359.6951904
341.608,33345215.2424927
342.037,32293381.3175049
342.383,33495346.3433838
342.733,34438412.0306396
343.373,36541122.2592773
343.719,35405827.7660522
344.063,36333396.3587646
344.599,30646280.7356567
344.945,32107513.1490479
345.288,31943520.402771
345.625,34810340.0651855
345.974,32081141.0512085
346.405,31785521.4777832
346.832,33530706.4569092
347.248,37606453.9168701
347.66,42966115.0460205
348.198,31505164.1153564
348.62,32662401.5355225
348.959,35061642.3046875
349.489,28123333.6984863
349.844,30155466.5892334
350.186,24702813.5966187
351.392,25473675.6627197
351.731,32018868.7850342
352.082,32122222.3480225
352.505,33152951.8028564
352.933,36181581.9647827
353.269,30745234.7022705
353.62,35732970.5037842
353.965,31512101.8630371
354.399,32488504.2692261
354.751,29349834.9071045
355.108,31242041.7759399
355.455,32349410.1552124
355.81,33825775.3657837
356.245,34385088.3151245
356.585,31515701.09021
356.929,29700391.2199707
357.325,27910469.1702271
357.983,35489578.3399658
358.327,30679092.2831421
358.666,30480287.6339111
359.078,32472580.8253174
359.491,33316877.5887451
359.841,30944205.3584595
360.826,34250243.1964722
361.178,38859204.0837402
361.533,31261094.7600708
361.891,28506010.9776001
362.427,36461925.6083984
362.774,36096753.8796387
363.129,32162123.9882812
363.655,34438585.7976074
364.072,30068973.708374
364.421,34925262.1001587
364.764,31656248.416748
365.117,30077444.8569946
365.465,32851216.7295532
365.861,31481615.2001343
366.2,35506138.2318115
366.535,35158074.2557373
366.871,32946799.9970703
367.218,34849864.6329346
367.555,32074805.0892334
367.979,36798882.0279541
368.332,31756147.4290161
368.67,35097706.9570312
369.084,37389169.7449951
369.429,35399783.7641602
369.789,35652080.5411987
370.216,32196574.2463379
370.564,33063118.4052124
370.922,34146928.2900391
