"rt","ions"
300.099,87192005.777832
300.427,71861742.3427734
300.751,91590504.373291
301.07,131103188.695801
301.482,66033788.418335
301.807,94056987.9001465
302.122,106674745.201172
302.521,78891648.4057617
302.845,95392532.0175781
303.166,104590260.136719
303.489,89843698.1025391
303.833,64781151.8225098
304.165,73467561.8208008
304.565,85825955.5742188
304.889,96964336.8066406
305.216,96412419.0917969
305.541,86632882.052002
305.866,81842051.5456543
306.192,76165196.6577148
306.515,89529748.4455566
306.913,89589432.3588867
307.242,76112807.0969238
307.587,65195869.618042
307.911,92932829.4846191
308.231,117079415.789062
308.623,84018609.628418
309.025,81139654.6115723
309.349,90911549.0622559
309.67,84156495.2067871
309.997,68759536.1174316
310.324,83444623.5366211
310.648,92433455.7106934
311.159,88268540.5561523
311.484,89544162.6516113
311.808,87269864.2404785
312.133,90648671.9301758
312.454,136735944.892578
312.771,127327171.387695
313.089,123699428.99707
313.408,115300311.06958
313.727,112309258.489014
314.05,89844513.2897949
314.375,87316532.2194824
314.692,101453340.491211
315.018,89131138.7429199
315.341,100099579.969482
315.661,99083824.6728516
315.985,94469314.7636719
316.303,115678728.981689
316.627,88145684.8286133
316.952,89146438.9904785
317.268,98209573.333252
317.606,66760750.2279053
317.939,79153264.9780273
318.26,105878950.274414
318.582,93742103.0070801
318.908,82630896.4970703
319.247,73567273.9077148
319.577,72524881.7800293
319.904,88768855.5366211
320.231,84063221.9189453
320.621,137952456.483887
321.014,99440406.2885742
321.331,132384244.818848
321.651,104091685.265869
321.97,86069142.3513184
322.289,131289407.970703
322.606,122685075.753906
323.155,18467016.4504395
323.482,92795559.1923828
323.805,128220037.519043
324.205,90512639.0983887
324.54,71891226.3518066
324.861,107999254.977051
325.176,100371300.776611
325.497,88330474.0585938
325.824,93782383.0612793
326.147,94888350.6157227
326.466,83581182.9008789
326.792,88529424.1801758
327.113,104699894.082031
327.434,103249525.143066
327.753,113450289.377441
328.074,102239970.051025
328.397,91722225.9316406
328.725,85951324.9931641
329.056,82006153.4311523
329.378,97377511.1816406
329.702,96840284.6279297
330.023,94119493.4853516
330.344,99434622.5859375
330.67,80642789.840332
331.002,64232203.2059326
331.405,76322359.3117676
331.731,92541768.8027344
332.059,81398731.1367188
332.386,84522638.2770996
332.71,84667994.5351562
333.037,84890928.213623
333.361,92740904.2231445
333.757,101679095.379883
334.08,94105472.0314941
334.407,65907449.6665039
334.737,78162451.498291
335.053,95022451.543457
335.378,95272770.229248
335.7,84025556.3640137
336.023,93294227.3103027
336.346,100530227.601562
336.662,143050384.360352
336.98,106350686.785156
337.301,98504014.2998047
337.621,106467598.854004
337.943,126724455.41626
338.267,90252078.3190918
338.581,110895647.078857
338.904,96893673.1345215
339.226,95578850.3259277
339.551,110934936.080566
339.881,67001910.65625
340.203,83355356.7016602
340.519,94793049.0246582
340.845,89761878.5180664
341.166,65719460.1130371
341.579,41143004.4537354
341.978,103117695.577881
342.304,94718398.7966309
342.711,85764782.6210938
343.033,103382688.726318
343.349,117410470.82373
343.672,86640057.7321777
344.002,65685271.1224365
344.33,76562816.9055176
344.658,73178254.1416016
344.983,78077753.9438477
345.307,95670960.2941895
345.705,113101614.588867
346.034,70971771.1103516
346.362,98583535.3342285
346.683,118385997.30542
347.003,102088149.953613
347.324,105106541.415527
347.647,94975066.6208496
347.971,88770721.6787109
348.301,77972659.2348633
348.627,82136087.3103027
348.952,88452595.0983887
349.276,104228268.933105
349.601,85253302.5019531
349.928,80155605.2209473
350.325,110019673.978027
350.649,92071165.284668
350.97,70634078.0925293
351.292,85671823.5761719
351.615,88169514.8759766
351.941,80016085.5927734
352.271,80352410.0119629
352.593,101530901.916748
352.917,96187276.0351562
353.235,88396643.1157227
353.55,131638596.685059
353.872,100150982.742188
354.199,83616327.1049805
354.526,76269894.822998
354.858,84331669.3203125
355.179,112025353.611328
355.502,95097590.0244141
355.828,83223870.1125488
356.163,71589303.9708252
356.488,88832491.7932129
356.821,73063880.9379883
357.144,106506239.572021
357.464,97059455.487793
357.787,86815695.0959473
358.109,98205434.1003418
358.435,90129627.0463867
358.759,92407483.7106934
359.083,70665143.7746582
359.41,86386384.3498535
359.959,19443741.7866211
360.295,73226179.4143066
360.622,83813912.333252
361.031,68395281.6601562
361.358,81890183.6887207
361.681,107520908.214355
362.003,98842815.3491211
362.317,137029105.009766
362.648,73334725.5439453
362.963,98997699.6560059
363.277,109813011.921875
363.595,109462731.775879
363.917,101891043.85498
364.24,87984547.9157715
364.564,91628936.4584961
364.886,100782116.617676
365.208,108538434.652344
365.53,102378756.10376
365.853,91352021.5393066
366.172,127341806.180664
366.505,73568880.581543
