"rt","ions"
300.122,36793535.3483276
300.493,33606648.4545898
300.825,32745951.8054199
301.228,40405313.5367432
301.631,38743823.9488525
301.959,38150338.4282227
302.286,40095545.9976807
302.687,41311223.586792
303.014,34802900.3740234
303.342,38965530.894043
303.671,38707462.9584961
304.074,37555346.2010498
304.404,37642715.1212158
304.732,38774481.7314453
305.059,38932335.6263428
305.388,38183332.1224365
305.716,38073614.3560791
306.044,39786591.7617188
306.375,36162404.3486328
306.782,35756951.7593994
307.112,37478833.5627441
307.441,37138888.2310791
307.772,36896475.4342041
308.1,39958700.2653809
308.431,36799007.347168
308.76,38467302.243042
309.091,38831409.236084
309.418,41085123.1328125
309.745,40203283.3164062
310.072,39723826.7860107
310.4,40216443.6273193
310.914,40727840.7978516
311.243,39215504.3015137
311.57,39459949.9439697
311.897,39468102.5750732
312.224,39816374.4555664
312.551,39546282.3293457
312.878,39980654.6099854
313.205,40778322.8759766
313.531,40299037.4082031
313.87,40435779.1751709
314.197,42798209.6624756
314.597,40718463.6563721
314.923,40391149.612915
315.249,39702205.2532959
315.577,39374538.2480469
315.905,39588345.5999756
316.233,38717886.3391113
316.56,39280174.6855469
316.89,36397366.9107666
317.217,39210189.8253174
317.545,39591173.8865967
317.872,37598173.5490723
318.2,37742359.5463867
318.532,36357865.480835
318.862,36162279.9869385
319.192,38406968.4945068
319.521,37362642.2072754
319.925,36744034.6921387
320.256,36313288.3117676
320.585,39835485.6276855
320.912,39066395.9650879
321.241,37568921.0148926
321.571,36140757.8093262
321.9,37422053.5705566
322.23,39642114.0922852
322.557,39970588.4227295
322.883,40082609.1286621
323.212,37042568.6644287
323.542,36303540.6060791
323.873,35769974.3569336
324.2,38853705.8726807
324.528,31675061.8448486
324.857,37299609.3361816
325.186,38178844.9632568
325.589,37271760.7547607
325.991,39521520.5368652
326.319,38529788.2355957
326.647,37527571.8432617
326.976,37291382.6638184
327.381,40137437.1662598
327.71,38718387.0891113
328.038,38974619.3532715
328.365,39730614.4553223
328.768,39813780.1044922
329.281,42650381.770874
329.608,40769353.7684326
329.938,36277553.1544189
330.268,38380361.7840576
330.599,41242363.3300781
330.929,36091043.9730225
331.333,35807454.2839355
331.663,35761824.2581787
331.994,37457308.9749756
332.323,37983074.2518311
332.651,37138428.324707
332.981,35647375.5842285
333.31,38284699.4987793
333.638,38625208.1116943
333.966,39262760.6009521
334.294,37957368.3630371
334.623,36824619.1408691
334.951,38299236.3859863
335.28,37294666.098877
335.684,36728477.4433594
336.014,36433717.3590088
336.345,35869319.5296631
336.673,40110939.6206055
336.999,39570074.3225098
337.328,36393985.3250732
337.732,36786415.2288818
338.062,38298977.7125244
338.387,40573225.5974121
338.716,36624981.720459
339.044,39117805.1887207
339.373,39351407.9458008
339.701,38043070.3031006
340.029,41434878.2657471
340.359,38656957.4764404
340.688,36842205.8460693
341.017,36862816.9272461
341.345,38067989.604126
341.672,39721709.8336182
341.997,41061880.9760742
342.326,37742300.0272217
342.652,39754063.5706787
342.98,40279005.7363281
343.307,39946674.4156494
343.634,39437049.5621338
343.961,39191598.5893555
344.289,38249933.3413086
344.619,36984107.0777588
344.946,38915757.1416016
345.273,40276145.4093018
345.602,37688147.7145996
346.005,38804992.4832764
346.332,39774525.0516357
346.659,39181785.3824463
346.984,42235663.7166748
347.311,39341993.9174805
347.641,36434632.8189697
347.969,39404140.0831299
348.297,38286173.3898926
348.626,40003125.9558105
348.951,41176475.213623
349.278,38320090.3712158
349.606,37388983.7641602
349.935,36667695.2402344
350.263,38568203.9852295
350.591,39222597.4398193
350.913,45407531.0135498
351.241,40284642.5418701
351.569,39172198.5151367
351.898,37897703.6665039
352.226,38139955.7972412
352.631,37448483.5880127
352.958,41939775.9222412
353.285,39591893.9320068
353.61,42121795.0130615
354.011,39124807.9875488
354.34,37256349.7775879
354.67,35764561.998291
354.997,38910185.112915
355.401,37063566.0848389
355.734,37295668.8037109
356.064,36243283.8131104
356.468,38707290.6264648
356.795,40545740.8352051
357.122,38785204.0325928
357.448,38886328.3575439
357.776,37837262.9016113
358.105,37462469.9847412
358.435,36147929.7258301
358.84,37138042.7867432
359.169,35438434.3726807
359.497,38759244.4910889
359.825,32774550.4666748
360.151,39142919.3603516
360.479,39741841.7697754
360.988,47028940.7069092
361.311,45055085.7335205
361.631,56885036.6901855
361.952,43413666.3258057
362.277,40754462.3188477
362.679,39983909.7589111
363.082,38493694.7664795
363.411,38309405.0933838
363.741,38517895.4354248
364.071,36979992.4383545
364.4,37830033.3193359
364.729,38177570.6442871
365.057,40010858.1345215
365.383,39523539.5665283
365.71,37825658.4851074
366.04,37520819.9251709
366.37,38216845.8010254
366.699,38495653.9716797
367.026,38892664.942749
367.353,39528105.8685303
367.681,39865856.0985107
368.008,39296991.1594238
368.336,39409952.138916
368.747,44750452.9527588
369.075,40636274.3939209
369.401,40377283.1872559
369.8,44361644.7019043
370.126,41890158.7598877
370.452,40454038.4956055
370.779,40929674.713623
371.106,40296729.2758789
371.434,42601831.7388916
371.761,40325843.0605469
372.087,39566243.1329346
372.414,39718295.8052979
372.742,39381964.2828369
373.069,39666385.0919189
373.398,37817841.3778076
373.726,37215988.8925781
374.057,36044780.7093506
374.39,38686746.5377197
374.719,38241532.7763672
375.047,37780068.4388428
375.376,37555684.6434326
375.705,36877883.1695557
