"rt","ions"
300.301,11380568.2828674
300.844,10937211.1097565
301.191,13424041.9564209
301.533,13554779.7084961
301.871,14158892.1817017
302.209,14816546.4344482
302.549,12402503.2984619
302.89,12500058.3479614
303.234,11713653.2235107
303.58,11617611.1141357
303.927,11371937.7908325
304.271,12775632.8067017
304.612,13364929.2496338
305.143,12265297.6506348
305.487,12144324.3556519
305.833,13039396.0915527
306.477,13597131.6693726
306.825,13073042.5198364
307.168,13237587.8417358
307.51,13888208.2593384
307.926,13032249.9088745
308.271,11805982.2821655
308.613,12878015.4509277
308.958,12739321.6326904
309.299,12938519.6589355
309.643,12649646.8935547
310.064,12673073.130188
310.407,12677073.5549316
310.751,12358393.1600952
311.097,11982742.5714722
311.444,11743171.180603
311.792,11872932.1925049
312.143,11762884.0537109
312.492,11763420.8505249
312.835,13342729.9429321
313.178,13119042.4643555
313.522,13151919.3892822
313.868,12604616.6802979
314.209,14149854.6408081
314.548,14350961.1802368
314.888,13674769.4382935
315.23,14042378.6141968
315.57,13828277.5213623
315.989,12925097.3139648
316.333,12633651.0875854
316.678,12987262.1005859
317.102,11993775.8752441
317.521,13391958.0112915
317.869,11839916.6459961
318.215,12905608.4578857
318.554,14850895.8337402
318.895,14305919.4326172
319.239,12485449.7440796
319.582,13394680.3441162
319.998,14564775.2963867
320.343,12322337.7115479
320.689,12676429.3634033
321.037,12261772.4782715
321.386,11931885.6448975
321.734,12332778.883667
322.081,11955651.9949951
322.43,11862407.8869629
322.778,12113681.3231201
323.203,12278040.4812622
323.55,12846334.6650391
323.897,12550877.9517212
324.242,13045871.9359131
324.587,12504020.3930664
324.934,12143254.4990845
325.278,12834142.6792603
325.624,12984198.9502563
325.966,13740742.8030396
326.308,13514826.2089844
326.65,13226807.7637329
326.991,13901885.4927979
327.332,13583422.8743896
327.675,12874701.2330933
328.022,12318216.6594238
328.371,12091592.7058105
328.72,11745328.5532837
329.066,12460481.769104
329.413,12162422.7379761
329.762,12426479.1762085
330.11,12250870.1693726
330.461,11763153.3209229
330.805,13598534.8762207
331.148,14297457.0638428
331.489,13575374.0892334
331.834,12821120.5230713
332.179,12629909.5449829
332.521,14082439.3485107
332.865,12807099.3932495
333.213,12298988.1069946
333.561,11756348.7123413
333.908,12507454.6800537
334.256,12620057.2471313
334.605,11666705.4889526
334.95,13404533.4249878
335.293,13467487.7279053
335.635,13955231.7067871
335.976,14135814.711792
336.318,13656860.8728027
336.666,11886277.9824829
337.016,12494561.7007446
337.365,11785657.2849121
337.711,13057798.3916016
338.057,13221732.2947998
338.402,12930076.6571045
338.747,12906709.6230469
339.09,13488149.3922729
339.433,13373685.2530518
339.779,12970633.6677856
340.125,13070234.1344604
340.469,13489245.1118774
340.813,13013033.7680664
341.155,13813341.132019
341.5,13305816.4819336
342.031,13082168.135437
342.378,13089448.4332886
342.723,13115596.6621094
343.067,13127635.5546875
343.488,14152112.5557251
343.828,14513286.1466064
344.172,13511681.7479858
344.516,13729415.0655518
344.86,13786618.8207397
345.207,12999434.4119263
345.555,11675475.0516968
345.9,13250842.7243042
346.243,13810778.6313477
346.588,12848422.7874146
346.934,13028479.350647
347.28,12904439.2028809
347.626,12785889.0943604
347.977,12328331.3754272
348.328,11780266.5575562
348.677,11894782.8981323
349.027,12016889.4939575
349.378,11964311.9379272
349.725,12223950.0093384
350.074,11877588.6629028
350.423,11602633.9500732
350.777,11858274.3780518
351.126,12148700.2835693
351.474,12394213.9674683
351.822,12337039.9708862
352.169,12650538.0247803
352.61,9125535.86120605
352.987,8082923.89813232
353.362,8981453.45394897
353.732,10965162.4448853
354.158,12999826.5007324
354.504,12648062.3363037
354.848,13565405.6882935
355.192,13363277.2453613
355.539,11999264.5181885
355.888,11753235.3308716
356.236,12402117.2020264
356.581,13484881.072998
356.924,13308389.3275146
357.272,11640147.1419678
357.623,11659513.2366333
357.97,12616212.2496948
358.316,12691815.8614502
358.661,13808879.024231
359.087,15130527.8121948
359.449,10558891.9219971
359.819,8568927.88223267
360.37,10698700.1402588
360.735,9716455.08746338
361.101,9567222.09814453
361.455,12462083.4659424
361.788,13402854.9962769
362.135,11891950.9003296
362.482,12538036.9043579
362.829,12757529.3712158
363.252,12276424.3023682
363.603,11923345.3115234
363.954,12201094.1224365
364.306,11545907.048584
364.661,10861937.7241821
365.015,11074341.9842529
365.369,10790434.3692627
365.721,11424799.4356079
366.143,12529220.5264893
366.492,13546909.7324829
366.84,13096929.5148926
367.183,14187243.4337769
367.525,13747800.005249
367.871,13257688.6567993
368.217,13284484.9469604
368.566,12050276.6118164
368.917,12460727.6260376
369.263,13354769.199585
369.612,12774536.5083618
369.952,14494029.9909058
370.3,12361948.8121338
370.726,12031798.9825439
371.075,12506657.3096313
371.424,12480384.3287964
371.774,12105258.2171021
372.125,11734966.3459473
372.478,11553185.4493408
372.816,13851458.1884766
373.162,12758918.8673706
373.508,12875342.0701294
373.855,12684473.3023071
374.201,12838066.0785522
374.622,13090699.9188843
374.97,11900183.6362915
375.323,11567996.5022583
375.671,12350153.2451782
376.025,11405806.9104614
376.376,12013006.0288696
376.726,12069345.7518921
377.075,12681215.9135132
377.42,13953761.911377
377.761,15458373.3547974
378.094,17455167.6297607
378.43,14505086.9085083
378.775,12768335.776001
379.125,12038206.0497437
379.474,12973181.4743652
379.826,11865139.5568848
380.18,12043086.5073242
380.532,12283196.3458252
380.885,11999700.3311157
381.241,11194964.3972778
381.594,11912669.7944336
381.94,13321354.6824341
382.287,12322645.8222656
382.638,11682906.0909424
382.987,12473025.0776367
383.335,12789241.6890259
383.686,11618407.6104736
384.036,12043979.2741699
384.389,11952789.4031372
384.739,12353110.9424438
385.161,13490626.493103
385.509,13410975.7097778
385.853,12887487.703125
386.207,10988772.6868286
386.563,11318255.3467407
386.919,11504458.2713013
387.275,11307755.3864746
387.628,11530763.8277588
387.979,11487709.1038818
388.333,11811238.666626
388.681,12369843.8013916
389.109,11301981.5310669
389.464,11378959.9636841
389.815,12095451.6584473
390.166,11781620.5692139
390.516,12519936.3582153
390.865,11900847.2775879
391.217,11817059.5385742
391.57,11614122.899231
391.922,11207882.6693726
392.274,12043107.5758667
392.628,11266054.8804932
392.982,12012648.1369019
393.332,12042562.9457397
393.759,11729042.0032959
394.111,11900678.3059082
394.456,13522448.4562378
394.8,13315853.5371094
395.152,11688599.0360107
395.5,12414968.0574951
395.847,12664989.1152954
396.195,12810435.425354
396.619,12099591.6029663
396.971,11860626.1796265
397.322,11413083.171814
397.67,12478915.8563232
398.021,11892107.6869507
398.371,11843936.4557495
398.722,11714869.6904907
399.075,11521618.8221436
399.5,12118483.2264404
399.848,12716629.0324097
400.194,13658110.0835571
400.538,13543383.2797241
400.883,13251953.842041
401.229,12550863.7039795
401.579,11671915.0460815
401.932,11614580.7134399
402.281,12039847.2471924
402.712,10766835.7531128
403.143,11596383.0842285
403.499,10947761.4117432
403.854,11244974.6506348
404.206,12011714.7549438
404.56,11173068.0974121
404.91,11903109.7353516
405.263,11705651.5418701
405.613,11636546.1226807
405.964,11997490.861145
406.39,11794920.8062134
406.74,11948422.0227051
407.088,12777695.2651367
407.44,11318869.038269
407.794,11480052.7286377
408.221,12165711.3325806
408.569,12206535.607666
408.919,11828516.8672485
409.341,12502621.4492188
409.688,12594867.0733643
410.039,12205498.2908325
410.386,12826668.0437622
410.732,13371950.1478882
411.078,12660484.9160156
411.428,12292937.4251709
411.777,12224390.2276611
412.126,12236156.8526611
412.477,12004517.6699219
412.828,12005542.8479614
413.175,13126480.0944214
413.595,13074511.0634155
413.939,13250245.182373
414.285,13310695.3534546
414.629,13473470.1654053
414.972,14024924.3432617
415.316,13258867.5307617
415.664,12891182.0930176
416.012,12416475.4138794
416.36,11566907.7286377
416.71,11841339.9763184
417.059,12578740.3740234
417.484,12270196.3187256
417.832,11884910.1065063
418.181,12061412.319458
418.533,11637438.6520996
418.884,11342170.5707397
419.422,12208588.1655884
419.769,12037743.4510498
420.114,12876487.2591553
420.464,12054485.4382324
420.81,13319539.515686
421.159,12529569.5650635
421.504,12532591.1029663
