"rt","ions"
300.288,12252786.2270508
300.779,12086487.7906494
301.128,13447555.4095459
301.543,14819011.4188843
301.878,15303023.1954956
302.22,13682083.9271851
302.56,15254799.4865112
302.897,15744140.034668
303.235,16164750.8601685
303.65,14653575.3077393
304.068,14283745.4692993
304.406,15645860.5856323
304.745,15345652.3005371
305.084,14809709.4404907
305.421,15281039.7786865
305.837,14773684.7904053
306.18,15911425.2241211
306.523,14363097.2716675
306.865,15287093.0778198
307.205,14958439.2357788
307.55,13518305.0744629
307.967,14515716.5180054
308.31,13950177.9289551
308.649,16139330.3412476
308.989,15970669.0629883
309.328,15191615.6443481
309.74,17127955.7681274
310.08,16401017.24646
310.414,18070207.2540283
310.747,16691082.293396
311.161,15885870.4138184
311.503,15016178.2510376
311.847,13836120.8723755
312.187,15852256.9200439
312.528,15041697.2781372
312.867,15913917.5822754
313.206,16419718.8947754
313.73,16463814.4129028
314.067,15996406.3591309
314.408,15516257.524231
314.821,15790620.9100342
315.162,15405178.8174438
315.502,15774666.6848145
315.843,15058241.8239136
316.185,14839280.8236694
316.528,14213868.6984863
316.872,13929861.1270752
317.214,15735179.196228
317.552,17180563.8740234
317.887,18471358.6541748
318.223,16751233.4707642
318.561,15520098.2799683
318.904,15176550.633606
319.321,13949009.7733765
319.668,13226088.8540649
320.012,14399659.5429688
320.43,14086400.980835
320.775,13522235.4724731
321.118,15139496.4351807
321.46,15381338.9127197
321.804,14115147.5023804
322.145,15953254.2792969
322.482,15992973.4511108
322.895,17139664.3195801
323.23,17538901.1511841
323.566,16429016.2078247
323.905,16249077.1265869
324.245,15889743.5124512
324.66,15191044.2960205
325.001,15536062.2354736
325.34,16440104.3058472
325.677,16534962.2540283
326.016,16130127.6533813
326.354,16029657.5029297
326.771,15262328.7550049
327.112,15547778.2355957
327.453,15204516.8164062
327.795,14909214.2657471
328.139,14603579.5969849
328.48,15567170.597229
328.818,16230476.9662476
329.159,14942663.0292358
329.501,15458201.9248047
329.838,17229639.3152466
330.172,17981240.8369141
330.508,17170375.1420288
330.844,17471552.7980957
331.178,17544292.5147705
331.518,15238125.0106201
331.859,15637382.9871826
332.203,14900407.9353638
332.619,15684722.5945435
332.962,14743796.3179321
333.304,14935448.8919678
333.72,16161036.8793945
334.057,16109439.0246582
334.4,14428404.2830811
334.746,14465942.005249
335.091,14493584.1161499
335.437,13706307.0958862
335.778,15551963.361084
336.119,15831870.9501953
336.46,14826791.7375488
336.804,14483182.0560303
337.147,14709873.3458252
337.489,16475855.3947754
337.828,16570529.4658813
338.163,17395556.1318359
338.506,14793012.5032959
338.922,15453002.6265869
339.261,16924117.8544922
339.599,16498304.9729004
339.938,15997995.1638184
340.277,16650028.1920776
340.616,17587998.8786011
340.95,18193508.1228027
341.287,16226987.6463013
341.627,15913930.0775757
341.969,14544380.5010986
342.314,14245481.6347656
342.658,14336660.1842651
343.003,14442965.817627
343.349,14503338.2998657
343.691,15369809.0372314
344.03,16842975.0927734
344.369,16858772.656189
344.782,16477650.473999
345.119,16291828.1386719
345.458,16338610.0568237
345.797,17679386.6486206
346.134,16911934.8685913
346.472,16766547.5784912
346.81,17005189.4498291
347.149,16267652.1459961
347.487,16849416.7547607
347.825,16715247.3790283
348.165,16155094.6259155
348.501,18097817.4887695
348.913,17025737.4348145
349.25,16295370.7432861
349.591,14792118.5728149
350.12,16604521.2653198
350.459,16768610.1715088
350.798,17229390.4736328
351.133,17695746.9493408
351.47,16791265.6575928
351.809,16601868.6578369
352.448,15269341.0865479
352.792,14475859.977417
353.136,14672342.3522949
353.553,15677661.8733521
353.894,15299989.020752
354.236,14360489.008606
354.58,14633002.1886597
354.92,16582703.2476196
355.334,16303309.4683228
355.672,16874522.7648315
356.011,16042484.6512451
356.348,17178322.9901733
356.686,16864827.2936401
357.022,17610918.6160278
357.359,17164115.6326294
357.694,16949400.3193359
358.035,15717540.701416
358.375,17074326.2640381
358.714,16358104.4951782
359.052,16743477.2058716
359.392,16336944.3361816
359.733,16193044.5285034
360.26,16459303.2820435
360.604,15078657.6530762
360.949,14704543.3667603
361.292,16548523.7857056
361.636,14853762.2722168
361.981,14282596.9681396
362.325,15927654.6408081
362.665,15779269.1576538
363.083,15283988.8493042
363.498,17648492.6806641
363.839,15644544.7478638
364.179,15850141.2897949
364.594,15712903.2560425
364.937,14971046.697998
365.282,13983169.72052
365.628,14786913.1055298
365.97,15830344.5130615
366.385,16514803.7094727
366.796,17725481.59021
367.13,18432748.2192993
367.473,14692502.1157227
367.813,15543221.5391235
368.156,15855389.8082886
368.498,15461740.7947998
368.844,14278402.260376
369.187,14940346.4817505
369.53,15213982.1499634
369.875,14334409.8175049
370.297,14370005.3930664
370.639,15989904.5349731
370.979,16373739.8981934
371.32,15631858.3950806
371.663,14379531.5317993
372.007,14535088.0932617
372.351,14506602.2851562
372.696,14826749.0018311
373.041,14643731.3805542
373.386,14500929.9755249
