"rt","ions"
300.159,20898770.2356567
300.569,20835430.5755005
300.916,22208872.0402832
301.898,16996275.7612915
302.244,20474501.1630859
302.588,22103269.7109375
303.017,16268984.7269287
303.548,25030608.1340332
303.909,16501938.376709
304.263,19104895.4585571
304.607,26932189.6384277
305.035,19833640.4117432
305.384,22521471.3554077
305.732,20958703.4750366
306.266,22778601.5600586
306.621,19426872.9439087
306.97,22235381.7695312
307.397,21013876.0481567
307.823,21839230.9887085
308.698,23152790.7296143
309.049,19107722.4679565
309.404,19989898.7946777
309.833,19734510.2927856
310.265,19489631.4789429
310.702,17459851.0946045
311.132,20094511.4734497
311.486,20440785.9555054
311.844,18583330.5233154
312.204,20397717.2200317
312.641,19473615.0269165
313.003,19203561.9854736
313.434,20428045.6657104
313.79,19363877.1095581
314.145,19800082.5510254
314.587,19428373.1931763
315.36,17978213.230835
315.716,19775645.3212891
316.073,19858781.2172852
316.505,19619939.5485229
316.861,19523071.8684082
317.218,19684187.4276123
317.64,24555708.715332
317.99,21582904.6353149
318.344,20320767.5960083
318.7,20612237.6418457
319.249,20231568.8661499
319.609,19061615.270874
319.966,19586675.4539795
320.326,19108288.5050659
320.682,19814824.1703491
321.227,19792150.9875488
321.658,22613821.3761597
322.201,22037454.7461548
322.627,21514030.3389282
322.982,20322132.0794067
323.338,21516836.7525635
323.692,20483773.9278564
324.05,20499711.5631714
324.403,19219351.546875
324.832,20077281.5209961
325.193,19604878.0054932
325.547,20742237.7371826
326.086,22026275.6445923
326.443,20907085.7734375
326.8,20196291.3549805
327.343,20271279.541748
327.693,21635186.0199585
328.043,21747960.6985474
328.473,20313319.8925171
328.91,19125168.7966309
329.267,20023984.6294556
329.63,19334027.0291138
330.06,22635178.2014771
330.611,19397349.0020142
331.164,18549550.7034302
331.716,18824528.8882446
332.074,19496375.5304565
332.438,18845519.0914917
332.872,20272335.0186768
333.309,19611997.3457031
333.745,18923554.2289429
334.113,24491882.1075439
334.464,23889386.6273804
335.005,20627415.1046753
335.358,21285959.1184692
335.715,19465714.9853516
336.07,21059087.0100098
336.505,19393651.5375366
336.949,19435214.7449341
337.294,22305870.5397339
337.663,20394032.083313
338.105,20419562.2783203
338.461,20451240.4734497
338.899,18906694.5853882
339.258,19675028.2140503
339.616,19962629.3520508
339.976,19376582.7398682
340.524,19890606.9400024
340.893,21432845.1706543
341.254,19645371.7127075
341.61,19566501.1151733
342.048,20582597.2351074
342.412,19994753.7297363
342.767,20122862.5084839
343.532,20419569.9951172
343.891,17383558.4522095
344.244,21558906.4032593
344.603,20268188.8633423
345.266,19904989.8421631
345.62,21090181.5852051
345.987,19538840.9443359
346.346,20099701.7663574
346.888,22110966.5117188
347.243,22914703.3143921
347.598,21680300.1990356
348.033,20846177.9296265
348.384,23794286.1973877
348.735,21852722.2155151
349.089,21966297.9853516
349.857,20537268.0941162
350.218,18110829.6616821
350.575,22360531.5403442
350.947,14851089.6191711
351.309,17917749.947937
351.975,18573756.7992554
352.333,20721030.3375244
352.695,22437572.5045776
353.049,21504301.5916138
353.415,19135253.3549805
353.981,17709875.699585
354.348,19202212.8740234
354.713,18171978.4284058
355.074,18284329.9609985
355.846,20840533.7132568
356.201,17984424.7824097
356.537,21747430.1113281
357.204,17932948.5825806
357.561,21944995.602356
357.91,24087636.295105
358.337,24369092.6405029
358.765,22725857.3734741
359.194,22918448.2736816
359.549,20660268.8447266
359.904,21142647.5604858
360.448,21068002.9545288
360.8,21261650.694458
361.165,18467842.6233521
361.524,21062437.9835205
361.883,19878223.0077515
362.24,20132825.0742188
362.675,20604289.1750488
363.038,19128288.6368408
363.404,19063836.6525879
364.067,19485444.2504272
364.433,17848920.0157471
364.797,16654322.4924316
365.351,19489844.8970337
365.715,19562599.3267822
366.078,19086439.0922852
366.814,13539736.8209991
367.171,20398487.5333252
367.532,18997713.9140015
368.207,18649702.1942139
368.581,10052209.5167542
368.936,19534129.3297119
369.3,17131359.5496826
