"rt","ions"
300.102,59134742.1904297
300.446,56885889.8427734
300.768,60731456.1435547
301.276,59047329.7634277
301.598,59616629.1170654
301.921,57025519.4250488
302.243,60639527.7145996
302.564,58381824.1990967
302.884,55387492.6728516
303.204,62894167.1162109
303.526,59888657.9887695
303.848,60270259.0544434
304.169,60388742.3991699
304.571,53477699.1817627
304.894,57341024.5031738
305.216,61221467.9777832
305.538,59515558.1162109
305.934,52030690.4487305
306.256,60182558.5947266
306.579,60576406.354248
306.9,61517148.7866211
307.222,63737746.4726562
307.543,60626138.2126465
307.864,60621776.3693848
308.186,60458632.7248535
308.693,62079942.9343262
309.013,65150975.3122559
309.333,64072179.5681152
309.655,61809658.815918
309.976,59563990.8469238
310.298,59274597.6982422
310.696,57821248.1131592
311.018,59649596.1274414
311.34,60774058.5908203
311.662,63170128.0877686
311.983,65537951.9406738
312.308,51362934.4388428
312.638,45510722.949585
312.969,46427643.6248779
313.299,51530310.8410645
313.627,48723388.5124512
313.954,44742400.5999756
314.277,61584056.4345703
314.6,61449883.0830078
314.921,48060620.1226807
315.243,58811413.5622559
315.566,59464901.5014648
315.887,61452366.2767334
316.21,61265069.8551025
316.531,65224472.517334
316.851,62914694.6384277
317.171,63249394.1462402
317.491,64643681.6171875
317.813,62751291.9099121
318.134,64919128.4907227
318.454,62157278.7634277
318.775,65454415.2602539
319.095,65361143.6796875
319.416,61810467.4558105
319.734,68017332.6218262
320.055,63027223.5795898
320.376,62414026.1566162
320.771,62823272.5266113
321.102,43515451.5528564
321.435,44187287.5953369
321.767,44067083.7414551
322.178,38461550.609375
322.515,39074668.3966064
322.857,34763429.1776123
323.181,56963664.7849121
323.503,62002716.0285645
323.823,63081857.8083496
324.144,56833345.237793
324.467,57929056.449707
324.789,59943135.4123535
325.111,58370217.5223389
325.436,59254786.6738281
325.758,62356007.5678711
326.08,59872585.1171875
326.403,58976148.3857422
326.801,57748362.977417
327.124,56882749.9448242
327.446,60195511.652832
327.768,60599516.4416504
328.275,62707107.1843262
328.597,60033532.2202148
328.919,60801608.9970703
329.238,65643113.9511719
329.56,60685130.9024658
329.881,55614831.6960449
330.203,61640596.5480957
330.525,61279917.7692871
330.846,63791682.8881836
331.167,63770610.3679199
331.486,64114602.8869629
331.808,61698989.7307129
332.129,60701986.9991455
332.451,58927433.4709473
332.772,60597369.2225342
333.093,63209707.1882324
333.416,60159067.298584
333.738,59068134.8325195
334.059,58529036.5228271
334.382,58070166.440918
334.701,65907126.2929688
335.099,57708834.2664795
335.422,57594974.6766357
335.744,60233465.8137207
336.066,61893131.9458008
336.388,61495069.1760254
336.71,61671985.6583252
337.106,61862802.2080078
337.504,58467959.0772705
337.826,59217995.534668
338.148,58987288.5649414
338.472,59370225.8204346
338.792,59013131.1079102
339.115,59742519.5113525
339.436,60884878.2508545
339.758,60242221.8234863
340.08,59379547.6751709
340.403,58123454.701416
340.725,59841716.4051514
341.047,63536128.2756348
341.368,63476284.4978027
341.691,63410422.5256348
342.012,62914123.1096191
342.332,62929777.4614258
342.654,60224753.9111328
342.975,60459261.1799316
343.297,59956979.1982422
343.619,59750049.1225586
344.016,59503502.6105957
344.338,60172960.2375488
344.66,60424206.1588135
344.981,58403314.7987061
345.304,58299196.0986328
345.627,59430772.5489502
345.949,60163075.1400146
346.27,62606060.4421387
346.592,64207344.4570312
346.914,60011082.1856689
347.237,57917509.4868164
347.561,56062460.3374023
347.883,58923053.9344482
348.279,61149373.449707
348.603,57817472.5397949
348.925,61212707.7817383
349.249,57536597.4006348
349.573,57483793.6744385
349.895,59082537.6848145
350.218,60962896.6467285
350.54,59530674.4460449
350.861,61825731.28125
351.182,63667758.9487305
351.504,59284350.1364746
351.828,58878494.2180176
352.151,59710597.2304688
352.472,62274179.8737793
352.868,62525544.7541504
353.189,64328366.324707
353.509,64960206.0871582
353.83,61644957.6577148
354.151,63879622.6982422
354.473,63943086.5307617
354.795,62270063.454834
355.191,61015972.3505859
355.513,62805508.4443359
355.834,62658717.034668
356.155,61616088.7858887
356.475,68628706.5908203
356.794,68589984.9436035
357.114,67705094.2558594
357.435,65328110.6757812
357.755,63676463.3200684
358.152,60357086.2728271
358.475,59100217.4508057
358.798,58412730.1940918
359.119,62818735.0876465
359.441,62966375.3027344
359.762,65202091.2536621
360.158,65684653.1564941
360.553,64205396.5581055
360.874,61868431.4873047
361.195,63543897.3532715
361.516,62974380.5839844
361.837,64388185.5759277
362.158,62655692.5203857
362.481,58802993.09375
362.802,61386715.3662109
363.126,58490727.8017578
363.448,59272131.5200195
363.769,63605613.2558594
364.091,60980896.1298828
364.412,55149742.5775146
364.734,63738021.8762207
365.054,66363214.8259277
365.45,62214307.8535156
365.771,63126174.5615234
366.092,65041958.5292969
366.413,61488130.4650879
366.734,62100154.8427734
367.055,60349511.404541
367.378,63839696.6907959
367.698,67526483.2609863
368.018,60769333.9265137
368.34,59803874.3405762
368.661,61461788.4873047
368.982,63241567.6152344
369.302,63187489.6143799
369.624,60359974.1750488
369.945,60950448.9196777
370.268,59978952.1263428
370.59,59375526.9592285
370.91,61699453.4677734
371.232,61555365.3530273
371.552,62347408.5717773
371.874,62788812.4741211
372.194,65775200.6768799
372.515,61664659.3498535
372.837,60987687.7485352
373.158,59494396.6066895
373.479,62642648.5786133
373.8,62541914.2226562
374.122,59560403.0437012
374.443,61781254.2928467
374.765,61103569.0621338
375.087,58638135.7945557
375.41,59156239.8977051
375.734,57119523.8505859
376.057,60671799.046875
376.377,66881805.9172363
376.698,64223695.4121094
377.018,64247701.4086914
377.338,62366605.7258301
377.66,62307349.7770996
377.982,62774453.3618164
378.381,61550130.9208984
378.703,60971665.5681152
379.024,61495830.8251953
379.421,60593604.6483154
379.742,62756387.9912109
380.063,65420930.4199219
380.459,62521450.8430176
380.781,60159193.3796387
381.103,61241361.6315918
381.424,63112508.2617188
381.746,61397873.9758301
382.067,63008676.1225586
382.462,64171564.8684082
382.783,63973223.8476562
383.105,64937767.4748535
383.425,64550752.9086914
383.745,63166942.2180176
384.067,62338765.5366211
384.387,61722272.9547119
384.71,58634118.8369141
385.106,56215848.5571289
385.503,64531671.9091797
385.824,62620532.1000977
386.145,62901600.1096191
386.464,69249439.5876465
386.783,69428699.6340332
387.101,67870075.6462402
387.42,66900229.4665527
387.742,64195955.3432617
388.062,65222029.1008301
388.385,59106128.7216797
388.706,62730765.8076172
389.028,61496471.0847168
389.349,63152924.5993652
389.671,60497647.4204102
389.991,61635533.925293
390.312,64529344.6225586
390.631,66963867.9411621
390.952,66993310.2365723
391.272,63275972.0585938
391.594,61427358.6826172
391.916,61885181.2087402
392.237,60971960.5893555
392.559,59753103.2739258
392.882,59549160.7635498
393.205,59158584.5395508
393.526,62966650.7175293
393.848,64357223.7646484
394.168,62311665.9262695
394.488,62853399.4484863
394.809,62047101.3322754
395.131,59960180.4575195
395.452,60791423.5378418
395.774,59608637.6298828
396.095,61085123.4814453
396.416,59808501.3186035
396.739,61430306.0964355
397.061,59830981.1477051
397.382,60137348.0510254
397.704,60922836.0395508
398.026,63352023.8491211
398.346,64377616.7653809
398.666,64874121.71875
398.985,61822392.2045898
399.306,61167601.4172363
399.628,61081366.5080566
399.948,63675504.3083496
400.344,63148602.0419922
400.664,63596817.9929199
400.984,63590907.9089355
401.305,64310600.2954102
401.624,66137831.0097656
401.945,67799600.1652832
402.264,67195210.9555664
402.585,61850691.4921875
402.906,61376053.5554199
403.227,61899583.7102051
403.557,65485285.3790283
403.879,59884441.6999512
404.201,64510871.467041
404.521,63342408.2712402
404.842,65578026.921875
405.164,60851752.6582031
405.487,58907646.9537354
405.809,61134777.145752
406.132,58840209.6635742
406.453,60311827.2294922
406.776,60133925.9649658
407.099,59160450.0024414
407.497,61327804.9216309
407.893,62148288.0544434
408.216,58566418.4727783
408.538,61710854.7387695
408.857,66214392.685791
409.255,39870511.3444824
409.579,55673740.6398926
409.903,57746815.6669922
410.224,58018288.6262207
410.545,64308935.0214844
410.866,60420773.5900879
411.186,63895630.722168
411.506,64636697.9451904
411.826,65157783.1063232
412.145,66348923.489502
412.542,59986273.6149902
412.864,58502368.814209
413.187,57957970.3682861
413.51,57428628.1694336
413.908,58945679.4899902
414.232,55603709.8294678
414.555,58820534.1983643
414.878,58053886.2316895
415.2,60252628.5888672
415.522,61688021.5749512
415.843,58137392.9239502
416.166,57368138.2694092
416.489,56897247.9659424
416.813,50503077.7280273
417.134,62743198.8311768
417.455,58102190.5383301
417.852,60869542.8225098
418.174,60510070.1602783
418.495,61694030.6650391
418.816,51783006.7872314
419.135,67205868.9816895
419.455,64324142.0905762
419.776,61900763.9787598
420.096,63857310.8547363
420.418,60929318.3376465
420.738,63475873.2961426
421.058,63760748.1342773
421.378,63651890.6953125
421.701,56417932.6809082
422.024,57259967.6474609
422.347,59316184.8056641
422.667,63064538.9567871
422.988,65006910.0800781
423.31,60974427.6757812
423.631,62052151.2175293
423.952,65120082.2229004
424.272,65386890.7866211
424.592,63213234.7216797
424.914,58792629.0036621
425.235,59088254.5732422
425.556,64998341.40979
425.877,59979085.3427734
426.201,59753654.2570801
426.522,60931028.6174316
426.857,61815015.0036621
427.18,61028543.4968262
427.501,63539398.5522461
427.822,64868130.5617676
428.141,66856952.4360352
428.461,63407025.3942871
428.857,66535848.0109863
429.179,61477750.3083496
429.506,61187081.1494141
429.827,62444030.6726074
430.148,63154972.1611328
430.469,67281272.6716309
430.79,60491673.1762695
431.11,60582947.2352295
431.433,58374098.8435059
431.757,58452577.282959
432.079,59452817.2258301
432.477,61092123.4516602
432.798,63899820.1518555
433.119,62880471.1030273
433.44,60902691.012085
433.761,61092421.3676758
434.084,47765302.9735107
434.406,61808550.7519531
434.728,64289363.7229004
435.124,61039109.4958496
435.446,60539157.3022461
435.769,58695910.9301758
436.09,60255347.2692871
436.413,58759093.425293
436.736,44199915.7387695
437.057,60536501.7102051
437.379,60606399.9194336
437.775,61541128.5310059
438.095,61614276.1008301
438.417,61772541.7711182
438.737,62197942.7299805
439.057,64679317.7565918
439.38,61663493.7893066
439.702,52571589.6091309
440.024,60470047.4018555
440.346,60075702.7480469
440.743,59997962.1712646
441.065,61725096.6542969
441.386,61667229.7321777
441.709,53569243.9936523
442.031,62310590.2021484
442.351,64919559.1105957
442.747,62513476.7376709
443.069,60258600.5966797
443.39,60844963.7680664
443.787,59822414.3024902
444.11,60510392.6365967
444.432,58293012.5799561
444.755,59548416.2595215
445.078,59973239.0897217
445.399,61529928.1425781
445.795,61052970.1281738
446.117,59997229.0185547
446.438,61938848.9228516
446.76,63443222.9763184
447.156,63254223.9064941
447.477,59458181.0837402
447.799,61381264.9091797
448.121,61082204.1451416
448.443,60672465.5455322
448.764,60147616.7651367
449.088,56139095.197998
449.411,57107187.9451904
449.734,58374735.7006836
450.056,59490538.392334
450.378,59411064.3300781
450.775,58695883.6416016
451.098,58477654.1489258
451.422,59111450.4749756
451.819,60607739.6315918
452.141,59628530.4477539
452.483,57294282.9780273
452.806,58932005.6646729
453.129,58998516.9431152
453.527,58408769.439209
453.851,59661865.9594727
454.174,58852115.9719238
454.496,61905256.4650879
454.818,58678770.8818359
455.141,58253306.1540527
455.462,63107250.1535645
455.783,61359324.8415527
456.104,62886835.8110352
456.426,60425442.2114258
456.823,60048374.7346191
457.146,59206842.2470703
457.468,62038982.909668
457.788,63649529.6191406
458.109,65283994.4289551
458.431,63985893.2658691
458.753,58147884.2744141
459.076,60786142.1435547
459.4,61896767.291626
459.722,62591124.916748
460.044,59107233.0614014
460.366,62820262.0976562
460.687,61447491.7365723
461.009,61144386.824707
461.406,62141025.8195801
461.728,63988645.3071289
462.05,60550633.7648926
462.371,60889707.1335449
462.693,61248908.3679199
463.014,62776236.8669434
463.335,60699894.4813232
463.657,57764164.8642578
463.98,57656361.3649902
464.303,59100276.3613281
464.625,60353372.9683838
464.948,60836722.7674561
465.269,61328982.3085938
465.591,62249793.5817871
465.912,61080103.4038086
466.308,62759382.848877
466.63,62218347.8974609
466.95,64462894.2677002
467.274,61410187.1540527
467.784,59805403.5311279
468.105,60921481.6184082
468.427,61185028.3840332
468.748,64611673.1164551
469.068,62960686.4343262
469.39,59726425.5681152
469.788,59937674.4796143
470.108,64223741.293457
470.429,62705814.3293457
470.751,60138565.8571777
471.073,51107891.1744385
471.394,62679092.1088867
471.717,57860452.105835
472.114,62894354.5614014
472.434,64277624.3374023
472.755,58485056.1005859
473.092,53939632.1020508
473.416,58265713.8599854
473.738,60355478.2939453
474.059,58502574.0174561
474.382,59608689.1131592
474.707,57848577.7177734
475.028,58320195.755127
475.351,62551217.640625
475.674,59057151.097168
475.995,62745099.3730469
476.393,57471974.4233398
476.716,58376237.546875
477.037,59875558.7905273
477.36,61289401.9243164
477.682,58484153.6848145
478.005,59679238.1347656
478.326,64734776.6838379
478.645,66104474.3098145
478.965,64152462.5615234
479.362,60506419.2354736
479.683,62282924.3973389
480.005,63500851.0136719
480.326,61476710.9082031
480.648,60228782.0322266
480.971,58613090.0603027
481.294,60577427.6953125
481.616,59767120.5556641
481.939,58619207.4197998
482.261,60374770.4660645
482.585,60184022.0494385
482.907,61450669.4509277
483.23,60058334.2280273
483.628,59945316.2561035
483.949,52857399.5151367
484.27,63172320.887085
484.591,66705161.501709
484.988,63336047.9460449
485.308,61779205.3630371
485.63,61269155.9902344
485.952,53083530.005127
486.274,61491777.4211426
486.596,61660272.3498535
486.918,58670314.0944824
487.241,58899180.5341797
487.563,61944102.7929688
487.887,58388420.1413574
488.21,56370905.3972168
488.531,63162720.4284668
488.853,59819088.6575928
489.174,63946214.9122314
489.496,60544119.7304688
489.818,58622295.9724121
490.14,60491712.2036133
490.464,60974358.4416504
490.786,59429794.9440918
491.107,63012512.2426758
491.429,61287722.9993896
491.751,61567276.6367188
492.072,61884938.2368164
492.394,60620127.239502
492.716,61700668.1257324
493.038,61469410.0656738
493.361,62906167.0097656
493.681,66621731.2141113
494.002,63277649.25
494.322,68525015.71875
494.643,60734269.2634277
494.966,58641449.2772217
495.367,58825865.3151855
495.691,58897966.7692871
496.016,59414491.6794434
496.34,57294080.6950684
496.663,59432622.098999
496.986,57886293.1351318
497.309,58447250.2607422
497.632,58828255.3966064
497.952,66452606.3735352
498.274,61577567.3648682
498.673,58155828.8094482
498.995,54924995.9626465
499.317,61430621.5578613
499.642,59369804.8594971
499.964,59236184.8271484
500.286,63906521.5322266
500.607,63390447.6600342
500.928,61405376.0749512
501.252,60018594.1550293
501.574,62062907.6772461
501.896,60502550.5723877
502.218,60544747.2182617
502.54,60181797.854248
502.863,60062239.6010742
503.185,61500844.8935547
503.506,62715964.9125977
503.828,62183654.6508789
504.15,62613583.7836914
504.472,59320271.6192627
504.794,59986279.7658691
505.303,60263955.5793457
505.625,60359249.4282227
505.947,58104186.9415283
506.27,58179269.755127
506.595,57570012.7817383
506.917,60817732.5327148
507.24,64423633.5578613
507.56,64560066.9835205
507.882,62948351.4592285
508.204,59857461.3129883
508.533,63725838.0206299
508.855,55976273.7556152
509.178,58209582.7736816
509.502,60263992.578125
509.824,59830069.8048096
510.146,61961497.2624512
510.468,62324131.1140137
510.79,60178548.9237061
511.113,59779974.3564453
511.434,63962421.7841797
511.755,66709352.1936035
512.079,65766740.3144531
512.476,60893567.8840332
512.798,61812287.704834
513.119,59872412.7390137
513.443,58961172.3540039
513.766,55908712.1369629
514.09,58115394.901123
514.413,56567311.1882324
514.738,59369901.4851074
515.059,61862838.5927734
515.381,51560907.5786133
515.788,58896954.8695068
516.111,58765139.6395264
516.433,59315319.7227783
516.757,55608904.5437012
517.078,60915755.3344727
517.404,57280066.3206787
517.727,58604172.1436768
518.049,62478078.6567383
518.369,67442234.4101562
518.689,66010275.0029297
519.01,59565075.9204102
519.334,57375826.7738037
519.657,56762774.8710938
519.98,57445775.5717773
520.303,62689189.3945312
520.623,61833950.0290527
520.944,61102784.621582
521.273,60796528.4620361
521.595,60270163.0905762
521.914,77206405.5476074
522.233,63479152.9074707
522.551,73418317.9279785
522.871,66379802.0227051
523.192,59916541.5991211
523.517,58236583.170166
523.841,59294757.2932129
524.162,61088746.4689941
524.483,64411099.7629395
524.805,60128588.5263672
525.127,60079082.5715332
525.449,59545184.8078613
525.773,45017268.470459
526.102,46630124.7601318
526.43,48331879.4211426
526.751,65253489.3752441
527.072,64542399.9343262
527.393,63141766.0734863
527.713,64082003.2470703
528.038,62571457.637207
528.361,59503076.1459961
528.686,56618155.0463867
529.009,57390689.6865234
529.332,56436905.8193359
529.658,57610671.375
529.983,56105878.9056396
530.309,54246951.0817871
530.633,56575635.9963379
530.956,56400550.3327637
531.281,56710513.5612793
531.606,55044139.1027832
531.929,59333599.2751465
532.252,59058571.336792
532.575,57382709.6582031
532.897,59846430.5080566
533.22,55072350.4908447
533.543,56281115.3895264
533.866,55919901.4604492
534.191,57315412.7905273
534.513,62865268.9082031
534.835,59676047.9812012
535.159,58265837.0563965
535.48,61967373.4055176
535.803,59096066.300293
536.201,57880339.7954102
536.524,64859264.9035645
536.845,62962219.9848633
537.243,58688237.8300781
537.565,56573412.0021973
537.889,56705195.9912109
538.213,54549769.7260742
538.54,51285524.9361572
538.864,53807129.0887451
