"rt","ions"
300.329,10763141.9908142
300.851,11243495.5430298
301.2,13702865.5123291
301.738,12082973.375
302.09,12186860.0859985
302.438,12786361.3592529
302.864,12182189.3686523
303.214,12758155.1975098
303.563,12204925.2161865
303.914,12047298.6068726
304.266,12084740.364563
304.616,12346409.8724976
304.967,11981212.8887329
305.395,11831422.4683838
305.745,12523571.6785278
306.094,13121952.4848633
306.44,13303504.8615112
306.787,12464534.4799805
307.137,11945082.338623
307.488,12516964.3840332
307.838,12827979.9691772
308.189,11942084.3098145
308.54,12420233.4397583
308.892,12281539.1971436
309.241,12889633.3603516
309.591,12130559.331543
309.943,12090049.4811401
310.292,12210833.5244141
310.642,12356148.3389893
310.993,13411733.5809937
311.337,13900393.4032593
311.686,12846743.3158569
312.036,12976369.7226562
312.386,12394704.380127
312.739,12361534.9329224
313.091,12106750.0424194
313.522,11809261.2976685
313.872,13211346.0354004
314.22,12826115.5977173
314.568,12987222.2177734
314.917,12701089.7925415
315.268,12767973.539917
315.617,12942479.7993164
315.966,12774876.3297729
316.503,12712262.7623901
316.849,14437006.838562
317.194,14005616.0761719
317.542,12731164.6043701
317.895,11784647.0623169
318.246,12646897.3670654
318.597,11899013.5230713
318.955,11449987.5667725
319.311,11768403.6572876
319.663,12573359.0119019
320.014,12239472.3927612
320.37,11610599.7527466
320.725,11792642.3580322
321.075,12801653.5681152
321.423,13279798.3034668
321.771,13214552.3084106
322.193,13875441.6055908
322.537,13998498.8011475
322.887,13103946.4502563
323.239,11598028.7600708
323.591,12308530.6697998
323.948,11338070.9000854
324.381,11472865.6483154
324.927,11263691.0123291
325.283,11722620.6671143
325.64,11615601.0200195
325.993,12025668.9689331
326.346,11878868.2958374
326.701,11641019.404541
327.132,11704565.8753052
327.565,11424048.4317017
327.92,11426411.055542
328.276,11456188.0196533
328.63,11769930.6015015
328.981,12704202.4315186
329.337,11252095.6620483
329.688,13404547.3630371
330.037,12787971.762085
330.389,12106167.1179199
330.738,13119131.178894
331.087,13021503.2296143
331.435,12943111.5858765
331.783,12982979.1154785
332.129,13508304.0390015
332.552,13906999.3774414
332.899,13296133.1594849
333.25,12725880.5210571
333.603,11833684.2053833
334.033,11929197.0720215
334.387,11856117.4500732
334.741,12139892.0788574
335.091,12441764.1843872
335.442,12593613.0187378
335.795,11967299.0649414
336.144,12987906.3413696
336.5,11236583.2062378
336.851,12777631.3041382
337.201,12155460.0981445
337.555,11705328.5068359
337.985,12449733.7833252
338.336,12566250.2034912
338.686,12643804.0869141
339.038,12179384.1778564
339.391,11845160.0252686
339.748,10932699.2337646
340.099,13095823.2585449
340.447,12743032.927002
340.802,12039145.2994385
341.156,11965210.1434326
341.512,11658367.524231
341.868,11410923.7791138
342.222,11996275.2581177
342.572,12728171.0661621
342.924,12204006.8233643
343.279,11803477.1044312
343.71,12026619.4481812
344.064,11907419.9345703
344.418,11948454.1351318
344.773,12042005.730835
345.123,12710130.4852905
345.478,11067821.4469604
345.836,11190191.895813
346.196,11169061.1199951
346.554,11268970.4430542
346.909,12015792.678833
347.264,11920646.8233643
347.617,11684820.7192383
348.045,12149144.4371948
348.399,12138045.9217529
348.752,11812163.2828979
349.107,12185304.1534424
349.457,13760704.2398071
349.803,13981398.4231567
350.151,12801141.8286133
350.503,12238867.7376709
350.854,12887857.0882568
351.204,12528348.05896
351.558,12162152.6137695
351.912,12389708.3985596
352.263,12735389.2406006
352.615,12511401.7282104
352.968,11660717.8547363
353.328,10882302.947876
353.686,11169509.3319092
354.043,11589849.8544312
354.399,11682380.3361206
354.755,11425219.5997314
355.11,12629095.6184082
355.46,12489080.5490112
355.814,11161614.9871826
356.17,11538505.0165405
356.526,11245171.0388794
356.882,11528243.8436279
357.237,11767159.2415161
357.59,12101923.4336548
357.948,11317944.329834
