"rt","ions"
300.322,9767340.98007202
300.872,10053480.7102966
301.215,11939048.4185181
301.552,12706148.894104
301.963,12384048.9932251
302.3,12014166.6989746
302.636,12124488.9879761
302.973,11855892.7966919
303.31,12195180.7559814
303.649,11714982.7700195
303.988,11056937.8654785
304.329,11174717.708374
304.668,10967959.0636597
305.007,11682317.9944458
305.345,11352379.9971313
305.684,10938585.6221313
306.026,11753012.211792
306.366,12916525.086792
306.702,12846449.2596436
307.038,12677823.8726807
307.375,12699247.7891846
307.786,12935954.8927002
308.124,11223162.6229858
308.463,12366429.8224487
308.875,13532568.8359985
309.21,13338917.3822632
309.544,13831796.8430176
309.879,13145578.5352783
310.216,12775979.3521729
310.552,12282791.1629639
310.894,11521804.7216187
311.236,11862677.6281128
311.578,11231730.9052734
311.921,11517260.6999512
312.262,11986182.152832
312.6,12704526.0144043
312.939,12012065.8482056
313.28,11952565.6171875
313.618,12431019.6074219
314.031,12661092.5928345
314.37,12571587.036438
314.711,11699508.4246216
315.053,11128188.4118042
315.398,10914285.8983765
315.816,11265092.0031128
316.159,11513770.9500732
316.502,11740246.8560181
316.844,12246861.739563
317.187,11334559.5804443
317.529,11558317.2925415
317.872,11527866.2740479
318.285,12435807.9207764
318.624,12739444.3347778
318.964,12440553.2867432
319.303,12575302.7463989
319.643,12238645.1582642
319.982,12427397.1686401
320.323,11648439.609375
320.664,11849506.1714478
321.085,11339313.7201538
321.425,12448889.5402832
321.764,12814501.057373
322.101,13573189.9625244
322.44,12624164.6634521
322.78,11677833.7745361
323.124,11242308.085144
323.541,12347140.5289917
323.882,11649890.3499756
324.224,12128697.0717773
324.564,12658613.3128052
324.903,13614476.7358398
325.243,12587150.557373
325.584,12113424.0200806
325.926,11812774.3152466
326.27,11552315.640686
326.612,12453347.2952881
326.953,12888618.2394409
327.293,12592167.3190308
327.631,12776379.154541
327.968,12972440.0568848
328.306,13472181.7182617
328.83,14230285.8893433
329.178,10496315.7154541
329.537,8824442.36682129
329.958,11846695.7782593
330.299,11678789.5767212
330.64,11825667.9591064
330.981,12198978.2193604
331.322,12251752.4368896
331.659,13197949.7063599
332.076,11929422.7401733
332.419,11974512.1400757
332.764,11189384.2713623
333.108,11576111.9902954
333.452,11827445.3189697
333.791,12953024.2996826
334.128,13518335.2247314
334.467,13310100.6706543
334.808,12307283.2727661
335.151,12782560.2999878
335.491,12383325.1428223
335.835,13181666.0671997
336.175,12785794.3990479
336.517,11760901.458313
336.858,12410701.8015137
337.202,11743283.4993896
337.543,12535056.3007202
337.883,13110775.4299316
338.229,11454058.3620605
338.58,11104799.5539551
338.931,10615641.1175537
339.273,12638732.163147
339.612,13086886.3253174
339.955,12429860.2366943
340.297,11919567.6715698
340.641,12264895.8674927
340.983,12437039.2886963
341.324,12403920.2507324
341.665,13064986.8692627
342.004,12558126.1642456
342.342,13265307.9507446
342.754,13204616.4561768
343.095,12192095.374939
343.437,12292871.0443726
343.78,11888662.7278442
344.123,11811957.079834
344.464,12587484.164978
344.807,11955185.1086426
345.149,12203861.5217285
345.49,12233737.9178467
345.83,13022681.0531616
346.171,12841588.1817627
346.515,11605065.312561
346.86,11488731.3851318
347.204,11894973.8496094
347.546,11875639.1541748
347.891,11550153.303894
348.235,11829935.4875488
348.582,10862287.4078979
348.93,11300696.557251
349.254,14984949.237915
349.587,13691770.4957275
349.925,13839106.3717041
350.264,13030850.2941284
350.601,12863899.0742798
350.942,12454599.3793945
351.283,12787628.0874634
351.625,12031490.0873413
352.042,11763255.8831177
352.387,11452938.8927612
352.733,11410665.4874878
353.078,11430169.7915039
353.421,12617037.4212036
353.762,12399061.7874756
354.104,12604444.6795044
354.443,13325555.7041626
354.78,13714961.9503174
355.117,13559763.6411743
355.453,14384813.6190186
355.864,13418275.7561646
356.203,12540738.8682861
356.544,12493004.8619995
356.886,12258067.3486328
357.232,12344423.1373291
357.573,12926602.2770996
357.987,13428447.5397949
358.325,13571581.4835815
358.666,13077900.8793945
359.005,12501731.8521729
359.42,12749078.7854614
359.761,13156711.5928955
360.099,13312414.1970215
360.439,12427638.7473755
360.781,12555215.3101196
361.124,12273371.4924316
361.468,11338885.2266235
361.891,10800983.2446899
362.237,11247512.5960083
362.584,11326954.3311768
362.928,12461616.8065186
363.27,12070419.3169556
363.614,12037449.1638184
363.958,11846960.9735718
364.298,13649069.7735596
364.639,12853499.2583618
364.979,12497578.3405762
365.4,11120698.9816895
365.748,10753668.6730957
366.094,11157152.2473755
366.441,11564913.2251587
366.783,11995009.7966919
367.131,11409776.8435059
367.553,11388543.8119507
367.898,11282513.5252686
368.243,11842637.5280762
368.588,11457219.4318237
368.933,11639453.2538452
369.278,11853194.1233521
369.619,12893498.0866089
369.96,12762684.2268677
370.304,12008733.5499878
370.642,13437799.2744751
370.984,12143439.5828857
371.327,12575865.8959351
371.671,12146235.4592896
372.013,12272822.0783081
372.354,13011156.1841431
372.695,13217123.8237915
373.034,13190067.3217163
373.373,13087798.1074829
373.715,12095759.501709
374.057,12227714.3811035
374.399,12378728.7383423
374.742,12100132.1418457
375.086,12568326.1673584
375.428,12374250.3619995
375.771,12061933.2376709
376.114,12062026.8483276
376.46,11550546.7277222
376.803,12319969.0421143
377.147,12093591.6895142
377.492,12062227.5793457
377.836,11827556.9749146
378.178,12826819.0161133
378.519,12659285.1943359
378.863,12698448.6781616
379.208,11503666.4033813
379.554,11310554.9414673
379.901,11830139.7504883
380.245,11498942.9813232
380.587,12604270.4047852
381.006,12330142.9480591
381.35,11886577.1057739
381.695,11355292.7955322
382.041,11844542.3453369
382.384,12636887.6685181
382.728,12030140.1018066
383.073,11882904.7363892
383.491,12089785.6920166
383.915,11427039.4054565
384.262,11605845.0508423
384.605,12235339.0637817
384.949,12177287.9143066
385.292,12613672.4758301
385.632,12543071.5896606
385.975,12061412.4837646
386.32,11962569.666748
386.664,12050022.1060791
387.009,12463430.614563
387.35,12579060.1540527
387.693,12051384.0369873
388.114,11595728.2843018
388.536,11589189.4480591
388.882,11933414.9607544
389.226,12447215.7718506
389.572,12129845.1759033
389.915,12327439.6896973
390.259,12092032.2404785
390.599,13816720.0204468
391.017,12491379.7646484
391.359,12853136.0692749
391.7,12429126.3041992
392.043,12378209.1925049
392.385,12746056.5889282
392.729,12043934.1192627
393.074,12381454.6719971
393.415,13266162.5731812
393.756,12884094.9539185
394.097,13060960.097168
394.441,12588306.4276733
394.785,12348876.8945923
395.127,12628920.0010376
395.47,12286867.6781616
395.815,12138905.4411011
396.156,12324204.8287964
396.5,12164778.1621704
396.843,12366471.1447754
397.188,12462943.5889893
397.606,12379878.5031128
397.948,13280412.4217529
398.292,11923570.0957031
398.637,11919238.0401611
398.983,12031319.9425049
399.324,13100984.7622681
399.664,13150811.3690186
400.01,12041980.7318726
400.352,12230870.0300293
400.695,12447502.2287598
401.112,13179542.0873413
401.452,13332720.6732788
401.792,13158899.8972778
402.211,12228057.0565186
402.556,11392142.4347534
402.901,11725058.3399048
403.248,11662497.0695801
403.595,11507630.7583618
403.942,11854690.531189
404.286,12575405.2784424
404.63,12332175.5423584
404.974,12067648.2141724
405.322,11711851.4223633
405.67,11213471.9063721
406.017,11375985.4744263
406.365,11467332.2804565
406.713,11221574.5308228
407.062,11177633.9996948
407.409,11568688.2974854
407.752,12212956.6531372
408.171,11931453.8330078
408.517,11516995.7888794
408.861,12096107.1973877
409.204,11880329.4957275
409.55,11201841.1166992
410.084,11622666.4503174
410.431,11805063.869873
410.776,11829015.777832
411.121,11648685.6069336
411.469,11160073.4819946
411.813,11840638.3683472
412.156,11816173.876709
412.501,11348339.8353271
412.846,11290623.4086914
413.191,11902721.2235718
413.535,12066598.7501831
413.956,11736474.2589722
414.298,12589891.0791626
414.643,11425362.6259155
414.987,11123470.6889038
415.334,11040539.8044434
415.759,11161852.5611572
416.102,12522011.3900146
416.445,11634100.4452515
416.792,10966075.3754883
417.137,10963198.8050537
417.675,11028644.6077271
418.097,11641252.0526733
418.442,11392813.6168213
418.788,11221424.1791992
419.133,10978873.6320801
419.666,11010293.7619629
420.007,11443324.8599854
420.352,11391565.1723022
420.698,10714950.3851318
421.047,10558858.9644165
421.585,10333385.8068848
421.931,10881151.1600952
422.276,11083123.2057495
422.697,10770819.4175415
423.118,10655183.7716064
423.462,10885477.951355
423.801,12023975.0617676
424.219,10562416.5059814
424.564,10304093.9528809
424.91,10569743.6980591
425.254,11404066.6141968
425.669,11284235.0882568
426.082,11738004.1665649
426.422,10622170.7531738
426.765,10582815.0631104
427.19,9378615.33728027
427.607,11061014.779541
428.028,9605660.79919434
428.372,9604180.09680176
428.718,9570221.53948975
429.063,9821539.83026123
429.592,10467996.9821167
429.937,9846836.79779053
430.282,9573908.48303223
430.708,9577701.37426758
431.06,8852608.45739746
431.409,9250351.98132324
431.827,9969031.24505615
432.171,9479773.63543701
432.517,9211968.91827393
432.861,9274089.48913574
433.208,9082284.01281738
433.629,8911926.28027344
433.974,9277981.55541992
434.506,9113656.51843262
434.852,8743690.00061035
435.2,7848297.80786133
435.732,8491405.87145996
436.077,8214678.52618408
436.426,7830161.83428955
436.786,7365717.40991211
437.211,8146606.38891602
437.556,7812235.64422607
438.088,7291283.35778809
438.509,7390561.54577637
438.929,7411724.61968994
439.682,7531456.74291992
440.03,6985862.69366455
440.381,7249386.9375
440.727,6842388.48010254
441.372,7051644.73205566
441.714,7050863.09051514
442.05,7213683.65795898
442.808,6217522.13018799
443.156,6510482.93322754
443.501,6322724.73864746
444.037,6509498.29205322
444.384,6535963.06500244
444.729,6583366.73272705
445.377,6809424.73474121
445.721,6917275.00006104
446.068,6644407.59143066
446.602,5905552.222229
446.944,6804053.70587158
447.287,6454912.93231201
447.704,6389802.88128662
448.461,6371080.27020264
448.809,6781717.13146973
449.156,6729113.33465576
449.695,5778769.74658203
450.043,6095299.53747559
450.389,6481296.49816895
450.925,6278111.63525391
451.584,6326281.24633789
451.931,6353939.60467529
452.277,6525456.64971924
452.693,6973483.62097168
453.112,6964738.52227783
453.531,7620294.91381836
453.876,7600244.21899414
454.404,7280960.91479492
454.742,7105383.41217041
455.085,7390079.00823975
455.424,8331867.99835205
455.766,7521104.49951172
456.107,7604027.74951172
456.979,7490627.4586792
457.323,8017503.00506592
457.662,8979775.00689697
457.995,9051783.25622559
458.415,8581469.52246094
458.757,8294120.73565674
459.096,8580975.85009766
459.624,8859753.66937256
459.964,9405097.56060791
460.305,8865180.01599121
460.649,8596843.87689209
460.991,8599908.06768799
461.405,9220749.44348145
461.747,9141752.0670166
462.087,10657969.246582
462.427,10766298.293335
462.953,10787272.1046143
463.291,10882345.0400391
463.629,10732129.9593506
464.046,9921423.64318848
464.39,10072630.2263794
464.73,10438575.6565552
465.071,10014795.6595459
465.414,9923179.33966064
465.836,10859771.6332397
466.248,12245090.706543
466.662,11363146.6653442
467.003,11295383.6573486
467.342,11291022.8059692
467.683,10391035.2578125
468.027,10407847.1136475
468.451,10104072.7022095
468.796,10413929.9645996
469.143,10075787.8095703
469.487,9839348.80273438
469.837,10295547.7338867
470.256,10596503.1733398
470.602,10060533.6463013
470.95,10154271.5695801
471.374,10260795.0272827
471.793,11396678.1148071
472.209,11202030.0014038
472.552,11342634.7432251
472.895,11517732.2060547
473.238,12100292.3980713
473.578,12339787.7901001
473.922,11285559.2373047
474.267,10643705.0827637
474.617,10991781.8659058
474.942,11678455.3737793
475.355,11528179.2498779
475.698,11144237.9470215
476.045,10509386.3126831
476.392,10805986.010498
476.93,9945656.37658691
477.28,10594590.1171265
477.626,11821824.3117065
478.049,10458542.0250244
478.397,11209436.1237793
478.74,11385786.8371582
479.088,10365133.2669067
479.44,10266704.5821533
479.864,11391457.1246338
480.211,10672928.9549561
480.557,12109619.890686
480.901,12084764.5581055
481.318,12243474.8607178
481.665,10771091.5140991
482.012,11571323.0282593
482.355,12597133.2015991
482.696,12741284.9387817
483.114,12038496.7146606
483.457,12475834.8015747
483.8,12716629.5145874
484.145,11682435.6057129
484.49,12260704.802002
484.831,12885898.3301392
485.171,13832546.333313
485.512,13264783.647583
485.851,13194311.3989868
486.191,12901932.8622437
486.53,13438456.953186
486.873,13665392.9320068
487.212,13128562.0158081
487.554,13308618.8145142
487.895,14137574.2206421
488.234,13540548.5465088
488.576,12088379.6724243
488.924,11752251.632019
489.268,12299083.5557251
489.686,13437103.1200562
490.026,12596595.9904785
490.366,12927809.1801758
490.707,13233419.4592896
491.047,12275590.1435547
491.465,12933183.9415894
491.889,11438203.609375
492.237,11404380.7998047
492.582,12956348.5315552
493,12400050.3726196
493.346,12184474.5843506
493.691,12234346.3699341
494.034,13165089.8051758
494.45,13872255.7285767
494.793,12642148.2067871
495.135,12672735.5654297
495.477,13164850.0976562
495.821,12741904.1543579
496.166,12408535.1030884
496.507,12863819.6889648
496.85,12159114.4476318
497.198,12030216.5090332
497.546,11293524.1826172
497.972,11470422.5595093
498.317,11556576.3848267
498.663,11926386.8522339
499.085,12686079.4204102
499.429,12847279.092041
499.773,13329544.0470581
500.118,11975490.9718628
500.465,11739507.8115234
500.81,12708797.7791748
501.148,15491047.9024658
501.485,14517138.7961426
501.823,13995683.199585
502.171,11876713.6190796
502.519,12158102.7402344
502.866,12355173.1374512
503.213,11806135.7803955
503.56,11818417.0169678
503.911,11552944.4417725
504.332,12042365.46875
504.678,11654406.7237549
505.028,11380545.4465332
505.38,11110489.8547974
505.728,11279016.3526611
506.078,10582061.2155762
506.432,10666031.8352661
506.784,11227644.2766724
507.134,11894013.1251221
507.484,11553895.5787964
507.828,12256503.1502075
508.177,11192009.3461914
508.529,11133822.9977417
508.879,12289028.5010986
509.223,11503628.6396484
509.571,11356003.2554321
509.922,11114606.0175171
510.348,11622984.9703979
510.696,11947274.2784424
511.043,12036322.56427
511.391,11878533.8096313
511.74,11698298.4816284
512.163,11688490.8295288
512.507,12099535.7783813
512.856,11671113.6656494
513.206,11982204.2793579
513.63,11823868.4441528
513.977,12244284.8151245
514.321,12505642.0049438
514.664,13425510.5834961
515.008,12266081.5470581
515.353,12230263.3832397
515.775,12192205.1459351
516.121,12431608.1575928
516.464,13160240.708374
516.885,11817330.8104248
517.235,11275886.21698
517.585,11067951.1601562
517.934,11309794.9227295
518.358,11872593.8659058
518.703,12574520.0454712
519.048,13269247.9359131
519.39,13230134.6763916
519.734,13116871.7952271
520.08,12076392.5734253
520.427,11825974.3572998
520.773,12004887.5372925
521.116,12788077.7945557
521.46,12973635.2686768
521.881,12219799.947937
522.226,12638246.8374634
522.571,12337124.1425781
522.918,11914836.2459717
523.264,11940252.973938
523.61,12568332.498291
523.956,12523556.6977539
524.303,12054500.6819458
524.651,11741226.263916
525.002,10742600.3668823
525.355,10662580.5489502
525.706,11648378.4813843
526.054,11986057.2570801
526.402,12082137.1771851
526.751,11819204.9685059
527.099,11907991.6218262
527.445,12320192.2969971
527.791,12311859.7105713
528.135,13055659.053772
528.479,12691895.6293945
528.823,12612014.7957153
529.171,11962850.0778809
529.518,11899278.2897339
529.861,13085171.5861816
530.207,11908199.7839355
530.556,11665028.3171997
530.904,11819768.2010498
531.254,11569057.1622925
531.604,11293077.7385254
531.955,11324193.367981
532.306,12125831.0776978
532.652,12830344.6556396
532.991,14523109.1100464
533.33,13557572.1335449
533.674,12587295.7322388
534.018,13028441.8882446
534.365,11592016.937439
534.713,12060299.3556519
535.059,12587660.2509766
535.404,13153070.4353638
535.825,12452181.5769653
536.172,12184829.0112915
536.521,11463526.1617432
536.871,11355103.2011719
537.219,11895173.1495361
537.567,11878338.3552856
537.918,11936227.8739624
538.265,12076508.9785767
538.61,12886336.5281372
538.952,13187432.8435059
539.297,12379843.5235596
539.647,11714744.9296265
539.996,12245904.444519
540.343,12534852.2347412
540.688,12859164.9752197
541.032,12617405.2399902
541.378,12737356.5465698
541.726,11710347.3047485
542.073,12170801.8873291
542.496,12022586.1486206
542.844,11661334.4557495
543.194,11001155.6838379
543.729,11839083.6045532
544.074,12733191.1572876
544.412,14083019.406189
544.755,12746426.8724365
545.1,12543733.6108398
545.443,12585895.6590576
545.793,12015330.3829956
546.143,11799773.1436157
546.492,11519142.3162231
546.841,11795930.5999756
547.19,11726143.9575195
547.538,12272578.4549561
547.884,12814235.2623901
548.303,13015110.6491699
548.647,13222239.9395752
548.994,12544068.6217651
549.338,12999974.2851562
549.683,12806398.5943604
550.101,13585761.602417
550.52,12750914.001709
550.868,11653392.2678223
551.214,12177323.109314
551.56,12590799.600708
551.908,11800576.5430908
552.256,12196402.7034302
552.603,12530311.805481
552.948,12735448.9542847
553.295,12158571.5749512
553.642,12722971.5045776
553.989,12232355.5016479
554.338,11408628.4998169
554.691,11051145.4044189
555.232,11535104.9888916
555.583,11488091.4482422
555.938,10725299.6876221
556.368,10767202.5950928
556.796,11497566.7129517
557.146,11423152.4823608
557.499,11759959.8891602
557.845,13073601.3811035
558.189,12991897.4378662
558.541,11403435.1884155
558.895,11267842.7890625
559.321,11618168.8648682
559.673,11227732.7008057
560.024,11500660.9755859
560.377,10927684.6149902
560.727,11757027.9174194
561.073,12649336.663208
561.423,12140575.1656494
561.769,12057330.9868164
562.121,10869453.0505371
562.474,11125180.3991699
562.902,11028670.572998
563.326,12047339.8328857
563.673,11859816.1595459
564.024,11451670.0081787
564.376,11235176.8723755
564.728,11213531.0128174
565.082,12393852.9191284
565.436,11030944.1473389
565.791,11254784.723999
566.224,11640837.2583008
566.576,12118450.2841797
566.931,11887951.9585571
567.284,11676566.3677979
567.636,11998180.9396362
568.065,11513498.083374
