"rt","ions"
300.214,15892877.3182068
300.697,15819838.7900391
301.054,19634274.8118896
301.413,16994591.2693481
301.849,16088751.732666
302.283,17754149.7368774
302.644,16334313.2643433
303.005,15932035.3470459
303.364,17009696.6754761
303.723,15514056.5262451
304.087,23755911.2271118
304.457,16262769.9163208
304.817,16631880.8484497
305.177,16868736.2671509
305.539,16498116.6069336
305.899,16287752.6552124
306.332,19661890.2380981
306.766,15826982.0733643
307.127,16136236.8374023
307.476,17146873.7722168
307.832,15864843.0230713
308.194,15971724.960083
308.558,13955000.7835083
308.985,17216807.1535034
309.343,16777618.1044922
309.698,16878445.96698
310.057,15875928.0575562
310.414,16784338.1784668
310.773,15548486.1414185
311.127,16990078.0354614
311.557,17034025.7832031
311.913,16626110.144104
312.266,16778416.8687744
312.699,16401211.1060181
313.13,16173132.4614868
313.489,15971877.3766479
313.845,16251507.9429932
314.197,16419278.612854
314.553,16529843.8720703
314.908,18882522.0058594
315.263,16634240.5078125
315.621,15995175.043335
315.978,16349749.3555298
316.333,16197637.8006592
316.687,16249019.4415283
317.117,17497568.9371948
317.473,16636482.6432495
317.828,16098268.5728149
318.185,16319205.899231
318.539,16378951.9877319
318.965,16568842.9094849
319.321,15887156.7022095
319.675,16640246.2307129
320.027,17207204.2811279
320.378,17992794.6455688
320.729,17656280.3877563
321.079,16924231.6146851
321.433,16394004.0449219
321.784,16575729.2167358
322.137,16559614.5481567
322.567,16184019.2844238
322.92,16147173.9956055
323.273,16911753.9287109
323.627,16528021.5933228
323.997,15655942.8498535
324.356,15788827.9265747
324.785,16875783.0793457
325.137,16644224.1865234
325.491,16873487.6369019
326.028,19097089.9778442
326.38,16989287.3942261
326.733,16566227.8205566
327.089,15866706.0098267
327.444,16108047.1337891
327.798,16181356.6228638
328.153,16425929.9263306
328.505,16319147.7485962
328.86,16149722.986084
329.216,16067203.2072754
329.571,15881118.3002319
329.928,15983013.3355713
330.283,15787652.7405396
330.64,15625263.4649048
330.999,14752910.5584717
331.358,15229789.6035767
331.713,15938688.972229
332.064,16391827.508667
332.417,16338178.5930786
332.771,13065481.4921265
333.125,16182442.9408569
333.478,16652482.9018555
333.83,16627222.050293
334.258,16242785.9222412
334.687,15991836.5564575
335.054,16304020.2993164
335.405,17161221.1811523
335.758,16128553.8184204
336.109,16015560.3969116
336.461,16940710.2245483
336.809,17319386.336792
337.164,13994070.6174316
337.519,15984317.3348999
337.874,15698119.1087646
338.23,16146339.2568359
338.583,16270255.3914795
338.936,16365682.5594482
339.288,16146707.0511475
339.644,15617555.9524536
340,15512953.5720825
340.358,15506800.2502441
340.708,17550946.4540405
341.06,17588873.4088745
341.407,17635393.0294189
341.754,16888730.9784546
342.177,17992603.6478882
342.524,17427229.8911743
342.948,16500388.9349365
343.375,16845777.8685913
343.728,15383021.3639526
344.16,15469747.2554932
344.517,15571270.0737915
344.869,16882992.6990967
345.295,16861398.3373413
345.648,16773028.6141968
345.999,16924902.7111206
346.352,15972992.0809326
346.782,15908668.2332153
347.136,17177232.7625122
347.487,16483270.2176514
347.839,16530177.2992554
348.185,17569699.3202515
348.534,18065359.5007324
348.884,16891807.2246094
349.234,16553956.7037964
349.586,16168833.6052246
349.94,16004130.2523193
350.295,15920145.4014893
350.647,16922578.9527588
351,16570956.7972412
351.425,16584543.6342773
351.776,16744259.5980835
352.128,16393704.6560059
352.478,16625128.5784912
352.831,15872516.7514648
353.185,16116486.1286011
353.613,16131502.8060913
353.969,16120437.2677612
354.323,15815375.0327148
354.678,15277516.9632568
355.033,12327466.8703613
355.389,15258373.8776245
355.743,16441113.6758423
356.094,16681525.0172119
356.446,15798855.9254761
356.799,16006716.7133179
357.152,16729226.451355
357.503,16667465.8859863
357.854,16644649.8134155
358.207,16179848.4196167
358.56,16074602.578064
358.912,16253231.394104
359.261,16832080.5708618
359.689,16125536.4227905
360.043,16069271.9378662
360.396,16202013.2697144
360.75,15587554.7329102
361.103,15966785.4559326
361.462,14936449.8578491
361.813,13920587.7503052
362.238,16682939.5635376
362.59,17015035.9851685
362.939,16752422.9858398
363.477,15724723.3814087
363.829,15799465.2677002
364.182,16488564.652832
364.531,16991175.7457275
364.881,16766425.953125
365.236,16022927.3444824
365.664,15925903.7808838
366.017,15868368.0310059
366.378,15948573.0476074
366.729,16165412.1268311
367.082,16140228.0600586
367.432,16546238.526062
367.784,16605976.8552246
368.135,16875060.4450684
368.486,16070851.0413208
368.838,16537953.5327759
369.187,16083932.2750244
369.538,16674513.795166
369.887,17331511.8319702
370.314,16315582.8436279
370.666,14245060.739624
371.015,17183557.7293701
371.363,17306861.3322144
371.712,16799814.2786255
372.135,17085160.6690674
372.482,17456746.7686157
372.83,16888715.2396851
373.18,17497444.1886597
373.531,16043413.9353638
373.88,16637535.8468628
374.306,16428222.4213867
374.653,16606999.2759399
375.004,15989585.3325806
375.358,16000329.6033325
375.712,15543166.0855103
376.066,17427091.8243408
376.416,16259871.7473755
376.767,16378643.0404053
377.118,16103344.9650879
377.466,16873942.1925049
377.816,16578570.4906006
378.166,16088268.0271606
378.517,16370877.746582
378.867,16457413.2092285
379.217,16665941.1570435
379.566,16435165.9274292
379.917,16216489.5734863
380.268,17074796.8361206
380.615,17228892.40271
380.963,17513803.453064
381.308,17374010.5255127
381.732,16757882.2585449
382.078,17757782.3935547
382.424,17205382.3876343
382.772,17293910.5977173
383.118,17208261.7197266
383.466,16484796.7651978
383.816,17365560.3596802
384.241,16800211.0698853
384.59,17075756.1554565
384.936,17341866.6741333
385.358,18475799.1483765
385.707,17028393.6217651
386.054,17260462.5341797
386.403,17268651.3967896
386.749,17502955.916626
387.096,17743334.5284424
387.444,17295509.7808838
387.791,17249384.5603027
388.139,14575294.5384521
388.484,17528696.8769531
388.831,17363968.4248657
389.258,15958485.1641235
389.609,16256058.8401489
389.959,16960061.3892212
390.312,13471550.2422485
390.664,15952721.8374023
391.09,16874151.4140625
391.437,17167855.2696533
391.787,16994792.133667
392.134,16867072.1217651
392.498,16563394.8903198
392.85,16245323.7526855
393.2,16806858.564209
393.552,16117665.7828979
393.907,15728038.5808716
394.26,16407067.4058838
394.614,17260946.4000854
394.966,15803650.3175659
395.322,15112976.3192749
395.675,16039497.6121216
396.026,16127235.7976685
396.379,15881059.9437256
396.749,15942911.9057007
397.101,15730657.3317871
397.456,15602037.1524048
397.881,17126084.8231812
398.229,16859624.3514404
398.578,16957321.4354248
398.923,14697078.2219849
399.345,17387030.4695435
399.999,14781611.9191284
400.351,16146085.3373413
400.705,15506573.2021484
401.053,17135720.5106812
401.402,17276016.96875
401.827,16735309.3161621
402.173,17896885.8995361
402.522,16445616.557373
402.873,16086746.5557251
403.226,15990657.4588623
403.65,16048610.1251221
404.001,15697899.4341431
404.351,16786502.4118042
404.698,17129813.8756714
405.048,16332401.9353638
405.396,16346522.8017578
405.747,16566942.5543213
406.098,16235736.6132202
406.449,15529974.3817139
406.877,16410023.6221924
407.225,16450636.2017822
407.575,15985598.2203979
407.925,16060722.118042
408.278,15204525.0563965
408.63,15242036.4497681
408.984,15355091.9992065
409.336,15155055.3650513
409.763,15548168.1327515
410.115,15721317.6906128
410.467,15212471.6900024
410.822,15320765.9469604
411.252,15367901.50177
411.68,16015655.8677368
412.033,15809547.2347412
412.384,16084423.9921875
412.736,15792392.3287354
413.089,15955326.5726929
413.447,14534549.2880249
413.802,15356089.1000366
414.156,15952965.5248413
414.505,16512701.1333618
414.855,16067761.1993408
415.205,15981567.4099121
415.555,15930071.8530884
415.906,16307018.6864624
416.256,16361327.8499146
416.618,15185951.4263306
416.973,15611511.7012329
417.401,15688584.8949585
417.754,15623846.8110352
418.107,15642554.826416
418.459,15530427.6004639
418.81,15958712.8275146
419.163,15814739.7687988
419.516,15315487.6708984
419.872,15347805.0375366
420.3,15443568.3549805
420.65,15942069.5050659
421.001,15712532.5807495
421.351,16297144.8307495
421.7,16017229.4022217
422.053,15289036.0898438
422.41,15040789.930481
422.763,16181505.817688
423.116,14088474.3687134
423.466,16669382.2631836
423.814,17122274.0866699
424.162,16523554.6213379
424.512,15787325.9083862
424.862,17408709.9338989
425.211,16735733.4507446
425.633,16824498.7790527
425.98,16216722.7449341
426.328,16828481.5584106
426.674,17137220.3763428
427.021,17501508.6929321
427.369,16460634.3059692
427.718,16388361.637085
428.069,16482734.68396
428.419,16119427.8096924
428.768,16207124.6068115
429.193,16115980.4241333
429.544,16599329.4915771
429.892,16998126.7461548
430.238,16701567.8811035
430.589,16109989.7510376
430.941,15404446.1033325
431.293,16015333.2473145
431.644,16002234.8416748
431.992,16841578.4571533
432.34,16419945.046936
432.69,15798701.2020264
433.041,16513928.9822998
433.388,16622071.059021
433.738,16166860.743042
434.089,15663784.5697632
434.439,16442089.9992065
434.786,16881752.5822754
435.134,16440222.8619995
435.484,16009625.3264771
435.908,16655274.3223877
436.335,15899262.8153687
436.685,16477762.5782471
437.036,16651294.8967285
437.385,15972230.7885742
437.735,15950303.6138916
438.087,14069863.2523804
438.438,15942201.614502
438.979,15153614.265564
439.331,15563162.397583
439.684,15929512.8533936
440.035,15190323.1843262
440.384,16559425.9960938
440.732,16568661.5507812
441.156,15783926.1691284
441.583,15523573.0194702
441.935,15366421.557373
442.284,13734184.5368042
442.634,16322313.0471802
442.985,15851139.2121582
443.336,15808515.75177
443.684,16460336.1055298
444.032,17259756.6707153
444.381,15929075.3070068
444.732,15668402.7061768
445.082,16405237.3964233
445.505,16649121.8894043
445.851,16680860.8772583
446.199,16269795.7442627
446.622,15494446.206543
446.971,16078169.0874634
447.322,16159363.2186279
447.861,15481226.3574219
448.214,15764063.3612671
448.565,16123573.4942627
448.915,16116146.7957764
449.264,15961106.4572144
449.619,15247262.9411011
449.972,15153535.0864258
450.325,16048434.7929688
450.678,15132933.6720581
451.041,15630193.9505615
451.394,15392033.5942383
451.743,16392948.0444946
452.169,15986573.5809937
452.518,16680296.6798706
452.867,16440615.6066284
453.214,17206411.303772
453.634,17458838.6379395
453.981,16930606.7484131
454.331,15859064.1254883
454.682,15768300.7310181
455.034,15798472.5594482
455.383,16398180.1088867
455.733,15498193.7580566
456.086,15269144.4137573
456.437,15509137.1883545
456.788,15805696.4759521
457.139,15929189.4263916
457.489,16332482.2281494
457.84,16260664.8035889
458.265,16246910.7564087
458.615,15794237.5355835
458.968,15416720.842041
459.329,15783197.9782104
459.682,15507255.739624
460.033,16194745.8464355
460.381,16022111.9891357
460.735,15449829.6118164
461.087,15830764.5892944
461.44,15471281.8078613
461.791,16026574.1975708
462.14,16394468.77948
462.488,16544549.3069458
462.836,16933947.9980469
463.183,16392717.2233887
463.531,15748321.3693237
463.883,15997137.3291626
464.234,16390760.1248779
464.774,15461569.9092407
465.126,15514390.5872803
465.479,15472844.5861816
465.829,16206507.6248779
466.253,16025061.9083252
466.604,15748674.5172119
466.956,15685446.4450073
467.31,15056634.4645996
467.66,14898987.8380127
468.01,15783554.3807983
468.36,16409607.5952148
468.708,16192059.7935181
469.06,16580871.994812
469.409,15807102.7112427
469.759,13458991.4775391
470.108,16638506.119873
470.458,16068874.4227295
470.884,15373359.1865234
471.235,15966762.7689209
471.584,16501848.5523682
471.931,16290120.3047485
472.278,16915703.3934937
472.626,16898530.0106201
472.971,17520605.3102417
473.31,19160520.8602295
473.646,20443390.4329834
474.066,17214269.6375122
474.415,16236019.0250244
474.766,15359520.9473267
475.117,15674954.8826294
475.541,16417884.7546997
475.97,12111342.9249268
476.321,15547335.2549438
476.672,16197222.1327515
477.024,15426972.9213867
477.372,16117541.2571411
477.72,16382249.1049805
478.078,16551798.4472046
478.429,16001258.7609863
478.778,16531247.1831665
479.128,15420631.2722168
479.478,15837753.1776123
479.828,16031189.151001
480.179,16071675.6425171
480.527,16594907.5287476
480.874,16853508.0800171
481.221,17676868.1104736
481.569,16478418.5604858
481.918,15910326.1956787
482.266,17226964.8721313
482.613,16742992.9511719
482.962,16452572.0049438
483.311,16884799.1851807
483.662,15168146.2163696
484.012,16386591.7436523
484.359,16925180.1675415
484.708,16801798.7385864
485.054,17684902.607666
485.399,17975439.6773682
485.825,15382526.6810913
486.172,16711967.6532593
486.519,16419286.4335327
486.868,15958844.4612427
487.217,16146538.520752
487.567,16353196.7588501
487.915,16543024.4924316
488.261,17211320.3408813
488.606,16717079.9298706
488.955,16045752.1589355
489.304,15800180.2919922
489.652,15860598.7494507
490.004,15436775.744751
490.354,16375283.7628784
490.702,15660242.6623535
491.052,15802183.2227173
491.399,16469453.2216187
491.75,15781078.9363403
492.099,16176637.027832
492.446,14190420.6260986
492.793,17271162.3712158
493.14,16501013.8450928
493.488,16082096.9434814
493.835,16345529.0616455
494.258,16665568.6143799
494.608,16157496.7157593
494.96,16277573.1760254
495.311,16163930.7515259
495.66,16706101.2523193
496.085,15791363.2531738
496.436,15867775.5204468
496.787,15869567.3789062
497.14,15498021.8455811
497.489,16417416.5951538
497.835,17480682.3759155
498.369,16766616.6704102
498.715,16857824.7244263
499.064,16151516.6992798
499.41,16273493.0968628
499.832,16064140.9310913
500.183,16053169.9732056
500.533,16473757.541748
500.881,16389108.5010376
501.232,15568130.5350342
501.585,15416119.3950806
501.937,15684671.0892944
502.286,16352613.2285767
502.637,12789263.114502
502.988,15267620.9810181
503.338,16334997.0441895
503.76,16965173.1134644
504.184,16505279.0123291
504.532,16457769.6566162
504.881,16429481.9638672
505.228,16893455.1099243
505.573,17324073.725708
505.92,16624135.8586426
506.266,16821877.0390625
506.612,14682220.2033691
506.96,16508214.9378052
507.309,15452101.8583984
507.658,16080515.5534058
508.009,16252136.1787109
508.357,16347084.56073
508.706,14600150.1306152
509.054,16752423.0341187
509.404,16189757.6976929
509.754,16436642.6959839
510.105,16267122.057373
510.454,15680728.7685547
510.803,16893171.5359497
511.151,16680813.5704956
511.573,15983631.2221069
511.925,15788463.8331299
512.272,17038499.3433838
512.619,14654017.4212036
512.97,15544436.9327393
513.321,16104493.4611816
513.749,15166271.9504395
514.099,16581534.3607788
514.448,17423847.2883301
514.871,16429327.2512817
515.217,16638048.9771118
515.566,15710070.2834473
515.916,15991348.043335
516.269,15155809.1522827
516.622,15535216.3585205
516.971,16173834.2572632
517.331,16429283.1305542
517.757,16300986.1171875
518.181,16113431.7005005
518.531,15811890.1659546
518.882,15778462.9296265
519.236,15278956.2843628
519.662,16094963.7738037
520.011,16317371.1610107
520.358,18014987.6168823
520.704,16848381.3781738
521.053,15655661.6677246
521.403,14155467.6662598
521.753,15434430.4501953
522.102,15676154.7230835
522.453,15484535.6307373
522.805,15444004.6446533
523.156,15698892.4807739
523.578,17095720.1088257
523.923,17240329.8052979
524.271,17826934.927002
524.616,17168517.8035889
524.963,16182699.2157593
525.313,14004757.0300293
525.663,15597367.866272
526.012,16517062.6851807
526.358,17222132.652771
526.708,15640174.0134277
527.06,15315661.7258301
527.415,16383473.9611816
527.76,17762620.4760132
528.107,16832749.4454956
528.455,16322460.8695068
528.804,16225241.7340698
529.153,16390960.5703735
529.498,16965733.2988281
529.843,17541588.6818848
530.19,16999335.8952026
530.539,16253387.5183105
530.887,16205975.772522
531.236,16107691.2443237
531.585,15634924.427063
531.935,16265087.4651489
532.471,16400460.6599731
532.823,15656725.546875
533.173,13595722.4030762
533.597,16447887.4644775
533.944,16234295.0441895
534.293,15955799.9486084
534.64,16741259.0830688
534.985,17120381.010498
535.408,16592864.84375
535.756,16288435.1221924
536.104,15948415.5352783
536.453,16084480.8292236
536.801,16407882.7369995
537.149,15120702.3609009
537.498,16761658.6162109
537.843,17468790.8093872
538.264,16365307.0776978
538.61,16793959.7010498
538.957,13226133.4884644
539.384,14925625.6464233
539.737,15014451.6771851
540.087,15609700.9291382
540.438,15391165.7017822
540.865,16087650.6242065
541.213,16384421.8881226
541.563,16087979.5072632
541.989,15826820.8969116
542.413,15849957.7958984
542.762,13906917.5255127
543.112,16300032.4232178
543.461,15883221.401062
543.809,16479097.0371094
544.159,15337573.8865967
544.51,15364047.539856
544.861,16235191.4359741
545.214,16278686.8278809
545.563,16245807.1000366
545.916,15804059.8435669
546.267,14994533.289917
546.621,15151996.2526855
546.973,15212136.9707642
547.325,15993481.5774536
547.673,16194160.9244385
548.02,16985039.5546265
548.369,16066556.5404053
548.716,16750105.9342041
549.064,16423268.439209
549.491,16752059.0089111
549.841,16045854.8930054
550.193,15800535.9923096
550.542,16403206.3862305
550.889,16410675.3186646
551.241,16849746.7827148
551.591,16316168.9091797
551.941,16117405.784668
552.289,16933198.6546021
552.714,16377712.0166626
553.068,15663256.3793335
553.418,16870422.9634399
553.766,16749721.8482666
554.19,16030068.4516602
554.54,15973998.5509033
554.89,13252578.4807129
555.243,15396224.2299805
555.59,16700052.545166
556.017,15853131.6508789
556.368,15521606.8014526
556.72,15262818.8303223
557.078,14367605.8103638
557.431,16291404.7054443
557.786,15178669.8117676
558.138,15793499.4717407
558.49,15909506.8848267
558.847,15193751.793396
559.2,15295009.9101562
559.557,14056875.623291
559.906,16038881.4538574
560.259,13706271.4765015
560.687,15263320.4633179
561.036,16017002.2504272
561.38,16948024.2503052
561.803,16230392.0662842
562.157,14476048.0073242
562.511,15191107.7467041
562.937,16648631.1047974
563.292,14811123.9182129
563.64,16792097.3121948
563.992,15788301.1801147
564.426,13925924.5579224
564.786,13869345.4702759
565.138,17985275.2487793
565.486,17131375.482605
565.839,15683128.998291
566.195,14275655.5444946
566.55,14831874.3434448
566.906,15757931.8356323
567.253,16952305.0174561
567.61,15416834.2483521
567.958,16488899.7583008
568.31,15530669.7630615
568.662,16012023.3457031
