"rt","ions"
300.318,10300269.5
300.865,10036610.5817871
301.225,13263369.109375
301.581,12397467.9395752
301.932,13336034.6774902
302.285,12929798.3285522
302.638,13261903.2304688
302.994,12242257.8634644
303.347,12898354.1375122
303.702,12383970.848999
304.059,12660346.5482788
304.415,12343533.7206421
304.769,12916536.0782471
305.203,12402044.4162598
305.56,12289524.0170898
305.919,11332294.7015381
306.279,11931492.4237061
306.71,12997467.7893677
307.064,12520913.9373169
307.421,12061385.2835693
307.783,11185427.6717529
308.145,11030734.8655396
308.507,11381247.4431763
308.869,11880607.5228577
309.225,12738814.7018433
309.578,13286829.3885498
309.933,13049381.6523438
310.288,12421842.583252
310.719,12710465.7150879
311.076,12022355.7388916
311.434,12415655.4464111
311.791,12513265.2989502
312.15,11939475.5968628
312.51,12257511.2109985
312.868,12305525.8303528
313.228,11711877.8161926
313.588,12059387.1434326
313.945,12707192.1555176
314.301,12553640.7678833
314.654,13054769.8884888
315.009,12849371.6034546
315.363,12966814.1269531
315.719,13094857.8834839
316.074,12677131.3133545
316.431,12223411.8829346
316.789,12472634.1554565
317.141,13155284.4495239
317.57,13543816.1557007
318.001,13260961.1377563
318.356,12630690.4968872
318.714,12031803.0241699
319.074,11692390.7351074
319.431,12411989.0014038
319.789,12450727.6170654
320.143,13241443.951355
320.499,12832534.3029175
320.853,12472892.3570557
321.208,12596598.9337769
321.564,12712680.1786499
321.993,13278475.1449585
322.344,13103665.3580322
322.7,12631846.213562
323.055,12842891.2105103
323.411,12358472.0859985
323.769,12717737.9503174
324.203,12561870.1629639
324.633,12921770.0802612
324.987,13373142.124939
325.339,13032886.6569214
325.697,11392166.7425537
326.061,11385022.0142212
326.42,12419874.9761963
326.854,12810023.574707
327.211,12334187.2220459
327.568,12320918.4104004
328.003,11799515.394043
328.363,12030603.036499
328.72,12518682.1339722
329.155,12086952.4015503
329.512,12532694.5640869
329.869,12043034.8741455
330.23,11746448.1557007
330.584,12967462.9356079
330.938,12957668.8076782
331.291,13381863.0855713
331.722,13212640.9095459
332.078,12505690.8001709
332.438,12055530.4358521
332.876,11904236.9272461
333.236,12145375.1306763
333.595,11997589.2376099
333.951,13048906.027832
334.308,13297802.5098877
334.66,13564658.8516846
335.017,12133487.4453735
335.377,11379969.9163818
335.738,11473956.4749756
336.096,11999152.7974854
336.46,11655022.0849915
336.823,11206041.3464966
337.184,11882898.3261108
337.545,12333983.7924194
337.904,12110050.1903687
338.261,12695121.1123657
338.694,12546021.484436
339.052,13006667.8646851
339.409,12905181.3074951
339.763,12847245.3108521
340.115,13973427.428833
340.466,13681885.0493774
340.823,12003002.5371704
341.182,12184420.1704102
341.538,12817373.2487793
341.892,12863976.1914673
342.251,11238368.8355103
342.614,11460685.3709717
342.974,11996379.9227295
343.336,12160282.9938354
343.693,12763453.5119629
344.125,13082713.6346436
344.478,13010570.3082275
344.834,12460729.6517334
345.378,12120945.3112183
345.735,12384202.1486816
346.091,12683557.6652832
346.448,12864773.6141357
346.8,13186225.6015625
347.151,13312506.3254395
347.509,11906840.6806641
347.866,12359342.3562012
348.222,12233996.4468994
348.655,12789175.7827759
349.012,11966987.3915405
349.368,12503082.8538208
349.725,12182423.5683594
350.084,12041804.4053345
350.44,12748688.9668579
350.797,11953621.1503906
351.156,12447958.3300171
351.512,12889787.9092407
351.864,13508935.6478882
352.221,12810007.6798096
352.581,12135706.473877
352.935,13175917.6153564
353.479,12539368.1084595
353.84,12103382.8974609
354.198,12604964.3128662
354.552,13447097.7580566
354.902,14019969.4244385
355.249,14287009.8504028
355.597,14161671.534729
355.948,13664496.1067505
356.303,12426013.904541
356.66,12701739.8234863
357.209,12612943.2801514
357.566,12521537.3168335
357.924,12572274.1100464
358.28,12882661.9448853
358.638,11774006.9026489
358.999,12263714.2329712
359.363,11679720.7650146
359.723,12574101.0031738
360.079,12511449.678833
360.436,12431930.831543
360.794,12376604.7806396
