"rt","ions"
300.2,16221899.8276978
300.67,16061888.6038208
301.034,16870089.4110107
301.392,18201141.3563843
301.833,15343115.0974121
302.195,16628795.1099854
302.559,16184818.04953
302.997,16077550.7672729
303.437,16134994.5769653
303.873,17047780.2012939
304.233,17066699.859375
304.585,20174317.0258789
304.943,17391901.520874
305.303,18320240.7508545
305.664,16854680.085083
306.038,13503846.3878784
306.393,16335099.6462402
306.752,15812198.5881348
307.113,15468895.4562378
307.476,15573344.5560913
307.839,15613602.9916382
308.199,16737041.6775513
308.654,16208769.7556763
309.012,17300808.1147461
309.367,17716037.3641357
309.721,18558193.1842041
310.073,17441559.8137207
310.507,16821977.6627808
310.866,13765376.5292358
311.232,14064709.8603516
311.61,12911698.3457031
311.992,11545917.6898804
312.378,11748170.4692688
312.765,16605911.5471191
313.122,17294547.0674438
313.473,18174756.7734985
313.906,16024526.9417725
314.265,16329011.1964111
314.621,16496778.0062866
314.978,16182260.6708374
315.336,16598647.4887695
315.688,18038283.8718262
316.04,17704532.0905762
316.393,17001102.6182251
316.747,17032084.5949097
317.098,17692183.7207642
317.453,16672465.4620361
317.804,17014246.989502
318.158,16953877.3670654
318.515,16413006.7023926
318.948,17060642.74646
319.305,16437783.7769775
319.66,16424477.6937866
320.016,17123111.0831909
320.373,16709996.0814209
320.728,16735918.4907837
321.084,17349575.5134888
321.441,16827204.3809204
321.794,17805036.9567871
322.15,16315999.6353149
322.503,16706436.1030884
322.858,16529644.7642822
323.209,16997154.6817627
323.563,17207881.6779175
323.916,17296324.8269653
324.269,16724705.8765259
324.714,16173301.6224365
325.142,17603036.8952637
325.571,17101318.6037598
325.924,17247824.4551392
326.275,17746344.9751587
326.626,17714837.1882935
326.976,17668592.3306274
327.328,17123932.1896362
327.679,19001667.5145264
328.035,16224850.0323486
328.39,16563051.0545044
328.744,16653079.2503052
329.098,17061851.508606
329.453,16442278.1745605
329.81,16809149.4140015
330.166,16187718.5739136
330.52,16669505.6396484
330.872,17389915.5742798
331.224,16874334.2716675
331.578,16451407.7324829
331.932,16834373.444519
332.286,16885427.5010986
332.639,17945836.3778687
332.989,17929183.2520142
333.34,17169949.1637573
333.693,17060710.0101318
334.069,17017118.8757324
334.42,17328242.9694824
334.845,18476064.0829468
335.275,16854609.6449585
335.625,17117101.991394
335.978,16849723.187439
336.327,17534147.8052368
336.864,17899678.3041992
337.214,14903177.5402222
337.564,17784999.8103027
337.915,16925562.8459473
338.344,16531549.4665527
338.698,16244209.2123413
339.053,16129590.5617065
339.407,16940485.6403198
339.76,16301817.2605591
340.115,16241368.7471313
340.47,17244929.2686157
340.821,17727617.3839722
341.36,18003557.5593262
341.707,18398625.9119873
342.055,14502384.5115356
342.407,16444586.680603
342.761,16489129.6882324
343.115,16750376.1952515
343.464,18042191.1768799
343.813,17744530.6397705
344.243,17396731.9694824
344.667,18370014.7227173
345.013,18701872.7470703
345.356,18057246.2244873
345.772,19094836.3143921
346.12,17735643.2276611
346.544,17477252.6329346
346.897,16737416.2000122
347.249,16496248.6994629
347.602,17462667.0720215
347.965,15384086.3771973
348.32,16345302.6941528
348.75,16269544.2106934
349.097,17606954.5521851
349.446,18073514.0824585
349.796,17273583.4933472
350.147,15469563.3341064
350.501,16222159.0073242
350.853,16975787.4193115
351.206,17007108.6383057
351.559,16209048.8450317
351.911,16740723.3053589
352.264,16392000.9868774
352.69,17253440.5368652
353.118,16628434.0656738
353.47,17144181.901062
353.819,17254858.9450073
354.166,17579057.6025391
354.513,17822515.1452026
354.866,16057265.5144653
355.219,16784778.2055054
355.575,16150507.0184937
355.925,17186770.3463745
356.463,16678678.3171997
356.816,16332826.4439697
357.166,17475762.8710327
357.528,16403744.5995483
357.882,16516777.4506226
358.234,16840591.0466309
358.587,16098113.109375
358.936,17794664.7798462
359.286,17300665.8679199
359.635,17411266.8182373
359.987,16473092.1676025
360.341,16620955.2993774
360.689,18244665.2110596
361.117,17553864.4576416
361.541,17485385.4780884
361.891,17835880.9760132
362.239,18117191.7937622
362.665,17144886.6295166
363.013,18018107.3916016
363.363,17806120.9897461
363.787,17105456.5292358
364.137,16679158.0477295
364.573,17226485.262207
364.924,17181906.7105713
365.278,16168580.1113281
365.631,14439669.4681396
365.982,16916346.7695312
366.33,16833496.9732056
366.867,15940338.4784546
367.217,16920728.2810669
367.568,16912003.9711304
367.92,16132216.1297607
368.272,16726915.0928955
368.623,16332158.6975708
368.974,16971948.8987427
369.4,16866911.9956665
369.748,17151366.3167725
370.098,16941700.4489746
370.448,17351988.8400269
370.797,17142758.2127686
371.145,17640208.6159668
371.493,17310776.8606567
371.843,16891793.7192993
372.194,17152111.9436035
372.545,16742288.5286255
372.896,16809934.7149048
373.246,16877127.37854
373.596,17119551.1329346
374.02,17523221.2955933
374.365,18015136.2052002
374.711,18208370.303772
375.054,19275418.8170776
375.397,18387658.0875244
375.818,18375320.5296631
376.166,17661674.6812134
376.515,16878695.5661011
376.864,17158110.6658325
377.212,17581692.8357544
377.56,17220207.2486572
377.92,17255910.3753052
378.344,16935924.3514404
378.693,16832304.1443481
379.045,16313375.381897
379.397,16498542.3643188
379.749,16502346.303894
380.288,16063532.5978394
380.641,16493613.7271118
380.989,17149078.0787354
381.341,16629360.8562622
381.692,16344734.401001
382.043,16324340.7824707
382.391,16474158.9100952
382.742,16216484.5732422
383.094,16664740.6538086
383.444,16731563.7438354
383.796,16352925.9089966
384.147,16410992.5650635
384.498,16833326.2796021
384.847,17444550.4448853
385.196,17182965.946106
385.545,17187281.5491943
385.895,17242218.7099609
386.242,18192013.1585083
