"rt","ions"
300.328,10530490.2909698
300.842,11489080.1147461
301.194,13654343.9443359
301.634,12148128.1656494
302.289,12211689.6664429
302.642,13660020.1478271
302.983,15756830.8435059
303.325,15288383.1571045
303.665,15050142.1554565
304.01,14089052.8718262
304.429,14861637.2472534
304.96,14072524.5853882
305.307,14643564.9358521
305.655,14211451.5997925
306.001,13854099.8552856
306.354,13412644.8358154
306.891,14175624.7548828
307.242,13816774.6038818
307.59,14404783.769165
307.938,13943514.1751709
308.286,14773474.0792847
308.708,14294709.2178955
309.061,12191291.800293
309.419,12222736.6149292
309.773,12987288.6414185
310.127,13086070.9780273
310.482,12689264.0542603
311.027,12330822.7845459
311.383,12265629.1655884
311.742,11702602.5217896
312.095,13293529.4546509
312.446,13266887.4484863
312.794,14393112.9028931
313.138,15092013.5982056
313.484,14686299.2339478
313.914,12742479.0185547
314.267,12535681.4162598
314.621,13775204.0810547
314.969,14570397.8103027
315.736,13137517.0767212
316.092,12608310.1835327
316.448,12575663.3851318
316.803,12038130.2714844
317.162,11754984.4699707
317.516,12455688.1890259
317.871,12520461.8640137
318.228,11812441.1102295
318.667,11596475.8463135
319.027,13035969.7247925
319.383,12593588.0813599
319.735,13630153.1818237
320.089,12647336.8656616
320.44,13050937.4320068
320.795,12155819.7025146
321.152,12319814.8217773
321.506,13062148.0454102
321.861,13334166.6193237
322.213,12736483.4902344
322.566,13610376.8184814
323.105,14292688.5427246
323.449,15120215.4790039
323.795,14054436.215332
324.22,13357174.265686
324.574,12643236.2310791
324.928,12781018.1826172
325.287,11565788.9927368
325.648,11389156.8206787
326.082,12302171.9743652
326.435,13641385.1682739
326.792,12747862.1601562
327.145,12508102.3508301
327.502,11577345.0250854
327.859,12303830.0921021
328.214,12372931.6835327
328.868,12670120.4922485
329.224,12681158.0639038
329.576,13009444.0088501
329.929,12451638.6360474
330.356,13403951.9638062
330.708,13363263.020752
331.062,12471042.119873
331.414,13261804.4536743
331.953,12926838.2884521
332.309,12378018.0307617
332.659,13833731.0596924
333.008,13644861.3362427
333.36,12789302.9440918
333.713,12626432.8939209
334.066,12973502.9295044
334.495,12908294.1982422
334.85,12375420.4169922
335.207,12234226.0769653
335.558,13441004.7734985
336.099,12618119.3552856
336.457,12240565.1989136
336.814,11842956.2307739
337.25,11623100.0748291
337.681,12443319.2678223
338.109,12964178.8712769
338.545,11508962.3449707
338.903,11897389.5021973
339.257,12671173.1043701
339.612,12650720.5300293
340.043,12223170.6912231
340.399,12761964.3238525
340.748,14031824.7637329
341.179,12398350.6210938
341.534,12281132.2783813
341.892,11465920.6896362
342.543,12392887.6478271
342.897,12553592.3312378
343.251,12581448.6889038
343.607,12804461.5669556
344.034,13669946.1099854
344.381,14124810.7550049
344.73,13924065.6526489
345.081,13162477.6895142
345.435,12434970.1538696
345.79,11924224.6826782
346.223,11597576.2342529
346.576,12798237.9415283
346.929,12847990.6280518
347.282,12303540.8394775
347.638,12140175.0699463
347.991,12932752.305481
348.345,12480128.4851074
348.696,12711302.18927
349.05,12231017.9806519
349.701,13140496.769104
350.05,13379702.3140259
350.4,13232481.9909668
350.83,12518532.4248657
351.186,11996637.5375366
351.54,13083385.1337891
351.893,12869445.1853638
352.243,13319554.862915
352.596,13070253.0494995
