"rt","ions"
300.317,10077400.1324463
300.766,11496758.8616943
301.108,12879088.5097046
301.753,12280349.3497925
302.094,11936547.4291382
302.435,13215386.442627
302.773,13674557.5413208
303.112,13157516.3560791
303.646,12149967.3917847
303.992,12470013.387085
304.337,12848008.4638062
304.99,11434475.8969116
305.344,11824436.5661621
305.692,13352638.5797119
306.037,13350994.2294922
306.46,13054371.8364258
306.812,12140374.5643311
307.16,13474429.8453979
307.699,12913769.0036621
308.05,12773526.6973267
308.398,13574276.4979248
308.937,12537279.3391724
309.288,12854553.0328369
309.639,12720259.0896606
309.991,13181411.7265625
310.343,12634559.3964844
310.693,13045692.0153198
311.043,13003385.0784302
311.471,12402614.0665283
311.827,12253064.6951904
312.488,11841978.1081543
312.843,12226838.6781616
313.2,11556141.1204834
313.558,11977294.3393555
313.917,12113517.9261475
314.277,11377685.0246582
314.714,11492268.6408081
315.149,12674317.1722412
315.502,13259054.1776123
315.855,12082376.6090088
316.209,12618141.3469238
316.75,13518260.8707886
317.175,13988006.5345459
317.539,12553660.9801331
317.89,13566585.3508301
318.24,12900368.0620728
318.591,13268184.9523315
318.944,12260380.5998535
319.381,11143411.2438354
319.744,11378730.9348755
320.101,12118155.9320679
320.453,13215269.8575439
320.804,13261417.4633179
321.156,13433991.2567139
321.511,12649724.4846802
321.867,11834458.9411621
322.223,11965524.8394165
322.578,12439789.255188
322.939,11160883.4406128
323.301,11167291.0759888
323.66,12592809.5609741
324.01,13883389.9366455
324.347,12886368.8488159
324.696,12706294.9501953
325.052,12568737.2615356
325.405,13271544.2539673
325.76,10206348.6872559
326.115,12230491.882019
326.546,12288555.2991943
326.903,11595677.3624878
327.261,12699827.6217041
327.614,12828996.3813477
328.049,11292764.6749268
328.411,11314390.7051392
328.768,11888841.2613525
329.125,11237475.9697266
329.483,11927776.4923706
329.842,11813078.2576904
330.276,12128843.1766968
330.632,12185752.7279053
330.987,10731417.2741089
331.336,14090640.2883301
331.674,16541357.432373
332.09,15720154.225647
332.627,13632501.2030029
332.975,13513521.2969971
333.323,14856670.1546631
333.746,13908750.772583
334.098,12799966.3423462
334.453,12267555.9539795
334.885,12876592.1295166
335.234,13642848.673645
335.589,12415886.5703125
335.947,12704239.7912598
336.302,12533239.0529175
336.66,11999575.0950317
337.012,13451563.7049561
337.44,13807005.2169189
337.789,11582750.6481934
338.137,13959959.2792358
338.486,13459707.8283081
338.913,13351080.3453979
339.261,14048323.713562
339.613,12617127.7992554
339.967,12472078.4680786
340.322,12892302.6414185
340.674,13104042.2862549
341.028,12511460.144165
341.383,12962152.0199585
341.736,12304560.2504883
