"rt","ions"
300.196,18132692.9759216
300.658,17866522.1141968
301.023,18980284.4752808
301.39,17485695.7192383
301.757,18988603.1199341
302.313,16526135.0568848
302.687,16291967.9196777
303.089,13286934.5688782
303.46,18179098.6351318
303.827,18407660.7171631
304.192,18633802.4075928
304.558,18322841.8161621
304.927,16793292.9313354
305.298,16940716.9315186
305.668,16932680.2277222
306.038,16703157.7838135
306.405,16787049.6105347
306.845,17383111.194397
307.198,17963510.0777588
307.563,17491127.9725342
307.924,17742256.8378906
308.395,17842217.5947571
308.762,18257765.8348999
309.126,18068411.5999146
309.564,18331011.4445801
309.926,17499034.7976074
310.293,16769775.2427368
310.731,15659618.7138672
311.092,21859424.9587402
311.452,17325060.6950073
311.813,17305336.7938232
312.169,20118861.1096191
312.535,16679858.0609131
312.904,16517519.5236816
313.256,17772976.7902222
313.615,17506645.9805298
314.168,16828552.2796631
314.605,17023796.09552
314.969,16563359.7734375
315.334,16585902.0087891
315.717,17695006.9105225
316.159,16755343.0132446
316.523,17144260.9699097
316.886,16870450.9680176
317.248,16469808.885498
317.611,17309686.9284668
317.972,17437400.0289917
318.332,17241390.3082275
318.691,17553176.1898193
319.031,20380186.890564
319.387,18329590.5029907
319.824,16769883.5081177
320.187,16915456.1726685
320.549,16865811.9342651
320.91,17548925.296814
321.271,16783355.6151733
321.625,16657747.1036987
321.987,15878425.510498
322.416,18364642.8134155
322.857,15550691.7524414
323.22,15650903.5150757
323.658,17268434.3835449
324.088,19209731.119812
324.446,18407858.5163574
324.802,18295028.0196533
325.16,17247785.8595581
325.708,16876890.2043457
326.071,15231160.7999878
326.43,17262940.8833618
326.79,17120754.2719116
327.142,17300677.4335938
327.498,17379849.164856
327.857,17773715.0290527
328.219,20105331.5812988
328.575,17260490.2824707
328.937,16345180.3118896
329.297,16825847.7888794
329.657,16878486.2277222
330.017,23602347.0422974
330.376,17774876.111084
330.739,16098373.5004883
331.173,16535147.6976318
331.531,14911333.1640625
331.888,17121806.7354736
332.247,16351221.0165405
332.607,17647304.742981
332.965,16916543.6027222
333.324,16956351.7505493
333.756,16900914.7340088
334.115,16797165.2973633
334.475,16325747.7454834
334.831,17555935.9013062
335.185,17357725.670166
335.545,15652077.1455078
335.904,16482552.4272461
336.45,16392974.8481445
336.807,16784741.78302
337.17,15261841.1547852
337.609,15686572.7727051
337.968,16665475.3756104
338.324,17074889.8947754
338.679,17088707.8566895
339.034,17200540.8024292
339.391,14788994.8283081
339.748,17259535.5643921
340.102,17053553.2064819
340.646,15890283.4754028
341.003,17087915.5352783
341.359,17329873.9318237
341.716,16928538.62146
342.075,16371367.6175537
342.427,18589025.7990723
342.781,17197525.2323608
343.142,16671831.1993408
343.498,16647595.1610718
343.852,16782186.9685669
344.285,16681080.7530518
344.719,15989226.420105
345.078,16045511.8226929
345.435,17114168.1777344
345.798,15210154.171936
346.167,16179529.1779785
346.599,16566362.1700439
346.953,17014896.1903076
347.391,15713622.2775879
347.823,17872427.9937134
348.175,17805189.3617554
348.53,17388102.0693359
348.885,16530705.1518555
349.242,17174943.0627441
349.599,16261886.0198975
349.956,17001269.621582
350.313,16218018.5185547
350.67,17123669.9577026
351.029,16723514.1955566
351.387,15908947.8704834
351.848,12615294.059021
352.223,13987490.4414673
352.599,16700712.6167603
352.955,16618886.4749756
353.315,13767404.0764771
353.763,16185623.3816528
354.121,16845035.3735962
354.479,16331375.3262329
354.838,16135149.3796997
355.194,16936360.8873901
355.551,16381116.8173828
355.91,15537783.6702271
356.297,15811747.58078
356.659,15627617.3953857
357.019,15739888.772644
