"rt","ions"
300.253,15761307.3742065
300.769,14685957.7561035
301.14,15340123.4667969
301.919,15242006.0914917
302.288,15498275.4633789
302.649,15897678.1963501
303.31,15967866.5170898
303.676,15780434.5321045
304.041,15490420.5718994
304.407,15189456.2797852
304.962,15871000.7576904
305.329,15570970.0369873
305.691,16435222.8451538
306.054,15697369.5326538
306.493,15929709.6986694
306.856,15947185.3034668
307.221,19414651.5403442
307.586,16209746.2393799
307.953,15343086.4171143
308.32,15346385.8028564
308.688,16253073.2789307
309.057,15205044.87146
309.428,15702019.934082
309.795,15323471.0674438
310.159,15814315.4805298
310.523,15777783.3308105
310.884,15972120.3930054
311.242,16988060.7966919
311.675,16125574.0802002
312.041,15599280.5321045
312.408,14926684.4089355
312.776,14946918.2073364
313.141,15494472.8648682
313.504,15544067.8010864
313.867,16239795.7084961
314.232,15600193.4364624
314.594,15716671.281311
315.033,15455550.8098145
315.392,16051634.9581299
315.755,15531511.1040039
316.116,15560885.2230835
316.478,15195778.8116455
316.843,13811190.1611328
317.208,14911021.2178345
317.577,15149901.6658325
317.951,14975950.5341797
318.318,15525967.6032715
318.683,14887604.840271
319.052,14690745.9431152
319.42,14669615.7507324
319.862,15405176.6559448
320.217,16364984.5414429
320.581,15297969.5657349
320.945,15532150.8691406
321.383,15402109.6369019
321.747,15640041.3120117
322.109,15901575.2798462
322.478,15356915.1973877
322.844,14927793.2399292
323.204,15508297.2856445
323.563,12866097.5608521
323.919,16056683.4860229
324.279,16184551.4137573
324.641,15607941.7582397
325.017,13415705.1720276
325.38,15565174.0221558
325.742,15622179.324585
326.12,15243775.5594482
326.479,14088965.0300293
326.84,16444306.94104
327.203,15281831.0653076
327.564,15759533.8016357
328.004,15586965.4900513
328.365,16115362.5164795
328.727,15434076.6796875
329.089,16410666.2825928
329.45,15818590.8273315
329.812,15707190.5206299
330.251,15868902.9467163
330.613,15417653.7766724
330.976,15258501.1748657
331.338,15318615.7514038
331.778,15179047.4873047
332.439,15189103.3666382
332.806,15024779.5942078
333.171,15751173.6497803
333.611,15200775.8259888
333.975,15061776.7960815
334.341,15193684.9621582
334.707,14967018.90802
335.264,15028074.7236938
335.628,15356462.6210327
335.987,16243700.7463379
336.35,14897195.3835449
336.713,15491451.159668
337.151,14978229.3423462
337.515,15035950.4257812
337.878,15266129.7741089
338.235,16098498.5481567
338.676,14810662.3726196
339.038,15335290.5770874
339.399,15971097.321167
339.761,15754038.0614624
340.117,16438286.6083984
340.474,15681921.6956177
340.835,15872307.7203369
341.268,16546390.5230103
341.707,15122397.6016235
342.071,15284473.2670288
342.509,15404014.9943237
342.872,15729992.0179443
343.221,18329024.7244263
343.572,15905641.6328735
343.945,15732545.6813354
344.304,15456673.6309204
344.736,15843486.7122192
345.096,15481324.2149658
345.459,15218183.9060669
345.898,14941177.2811279
346.263,15316652.916687
346.625,15006042.1870117
347.067,14996012.8902588
347.437,14640813.2171021
347.8,15076012.237793
348.163,15297544.4213867
348.522,15902313.8600464
348.956,15682761.425415
349.509,15010609.0993652
349.871,15063061.5908813
350.239,14793912.0169678
350.602,15101820.9707031
351.043,14845894.2971497
351.406,15150049.541626
351.769,15499577.6535645
352.131,15526315.9267578
352.493,15550656.9290771
352.851,15286756.1818848
353.21,15875722.0275879
353.648,14740031.4768677
354.01,15320626.9678955
354.369,15640345.7822876
354.813,14543817.7398682
355.184,14251719.8920898
355.545,15247765.0350342
355.909,15037332.3934326
356.271,15992786.2000732
356.63,15499676.8504639
356.991,16070141.480835
357.351,15895580.6754761
357.713,15566376.6962891
358.074,15502833.022644
358.511,15547509.5621338
358.877,15521716.1962891
359.239,15840297.4318848
359.676,15042656.4244385
360.115,14755743.6928101
360.479,15250239.6647949
360.84,15482244.2315674
361.201,15958196.4571533
361.556,15840176.6044922
361.913,15439282.1196289
362.277,14995258.3369141
362.713,15504985.7004395
363.15,15135293.0825195
363.587,15522951.0383911
363.953,14931336.7553101
364.318,14600944.5998535
364.682,15101389.9047241
365.045,15231434.5221558
365.407,14746012.7747192
365.844,15016332.4260254
366.201,15511723.479187
366.561,15233229.9558105
366.919,15786060.3687744
367.578,15555428.5310669
367.939,15478726.2067261
368.3,14844650.6889038
368.738,14831384.7692261
369.1,14594128.8431396
369.466,14406556.4976807
369.902,14860214.071106
370.263,15926723.6522827
370.617,16062643.6279907
370.976,15421876.4395142
371.411,15264974.1651001
371.773,14411892.0164185
372.139,14950398.7315063
372.683,15445240.7682495
373.119,15134250.2327271
373.481,15319374.0367432
373.833,16595650.3800049
374.185,16275964.9028931
374.614,14948962.5496826
374.971,15746438.8659668
375.33,15483970.1266479
375.99,15945850.8614502
376.346,15660271.3017578
376.703,15732479.7144775
377.139,15572862.0663452
377.683,15771658.6536865
378.045,15180470.7271729
378.405,15934299.1333618
378.766,14802610.345459
379.204,14597392.4003906
379.567,15038105.0474243
379.927,14880587.9349976
380.287,14819150.8548584
380.726,14200402.5444336
381.161,15400288.7369995
381.523,14002112.4827271
381.887,14110015.5077515
382.248,14905200.4457397
382.604,15275680.4380493
382.969,15077747.6798096
383.325,15169449.3866577
383.759,15358677.0272827
384.116,15072966.4804688
384.475,14194700.4945068
384.841,13833707.4475098
385.202,14555696.8077393
385.568,14346196.677002
386.008,13701713.8208618
386.671,14176560.609436
387.035,14538014.0483398
387.398,14635286.8424072
388.063,14345729.5388794
388.426,13977627.4997559
388.787,13757271.7449951
389.452,14011726.9945679
389.817,14693728.5181885
390.18,14510826.5526123
390.724,14978934.1353149
391.08,15252227.7042847
391.432,15717612.9633179
391.866,14730113.3977661
392.525,14903749.1943359
392.957,14862987.7094116
393.735,14323521.9666748
394.167,14626213.3562012
394.604,13942957.1426392
395.149,14787951.815918
395.507,14425363.032959
395.865,14668425.5662231
396.22,15397352.5580444
396.649,14482618.7524414
397.197,14378309.9124146
397.558,14085129.7960205
397.915,15739751.1835938
398.68,14707629.2098389
399.033,15926267.2384033
399.385,14906102.6591187
399.737,14806479.3664551
400.736,14250636.4642944
401.095,14647658.1305542
401.453,14546728.3426514
402,14656135.4431763
402.358,14815249.7843628
402.716,14394024.0297852
403.074,15059370.8158569
403.431,15129516.6234741
404.093,14593280.1340332
404.455,14134358.2485962
404.815,14562596.126709
405.247,15132362.0267334
405.606,14257905.1072388
405.966,15201616.7822876
406.736,15306850.6570435
407.09,15186083.4053345
407.451,14075347.3731689
407.883,14930090.0109253
408.315,15360298.9561157
408.745,15248443.7495117
409.291,15123566.605896
409.722,14965548.2852173
410.081,13974748.3554077
410.434,15739329.1166992
410.792,15002975.6325073
411.223,15842579.8435669
411.576,15745262.4204102
411.932,15459271.4776611
412.699,14589443.6373901
413.057,15178226.1904297
413.414,15786849.4938965
413.774,14114290.3057861
414.138,15255013.0563965
414.684,13870197.6329956
415.046,13593218.605835
415.41,13308488.3414917
416.076,13315228.0784302
416.432,14424855.9385986
416.792,14501324.3813477
417.146,14184491.7255859
417.512,13655492.0176392
418.069,13326413.4032593
418.437,13628085.8121338
418.795,13769530.5350342
419.338,14532549.8469849
419.692,13824131.1602173
420.052,14128833.2339478
420.413,14026217.1075439
421.073,14471515.9541016
421.428,13835231.0726929
421.789,14398754.5849609
422.149,13445997.9362183
422.815,13276098.4065552
423.254,13516540.1651611
423.696,12966298.7538452
424.062,13797467.5050049
424.427,13847299.7247314
425.092,13434618.9675293
425.453,14551250.5716553
425.817,14633801.4563599
426.178,14436613.4012451
426.623,13407214.9536743
426.986,13828189.1219482
427.354,13823153.3343506
427.799,13908655.2313232
428.169,14165063.2250977
428.537,14021646.8348999
428.902,14053923.5419922
429.272,13876912.5881348
429.638,14043750.034668
430.001,14466673.2359619
430.441,13903334.934021
430.81,14505544.4136353
431.252,13965506.7150879
431.69,14837458.5713501
432.124,15159992.2340088
432.565,14147626.3864746
433.006,14322389.8920288
433.446,15653676.9118652
433.811,13610681.0420532
434.177,15265010.9281006
434.843,14331892.5772705
435.204,15091126.5266724
435.565,14904038.8685913
435.931,14167742.2727661
436.591,15287467.7338257
436.958,14769134.0506287
437.324,14196656.0239868
437.689,14524599.003479
438.053,14327253.9088745
438.416,13522226.7723389
438.786,14766726.5165405
439.227,14388436.8536377
439.596,13924209.8837891
439.961,14344480.1220703
440.329,14289047.9558716
440.693,14377266.4859009
441.247,14251487.2545166
441.615,14675296.585144
441.982,14979964.0785522
442.348,14543856.8230591
442.715,14217448.8494263
443.081,14717402.2415161
443.441,15581674.5859985
443.805,14684038.166626
444.17,14702293.6765747
444.533,14694553.6289062
445.085,14644686.5380249
445.45,14561480.3950806
445.812,15274330.925354
446.171,14993905.9013672
446.533,15500982.4195557
446.897,14507977.6607056
