"rt","ions"
300.222,17149867.293396
300.704,16984658.7195435
301.069,15628193.0459595
301.845,16187914.3394165
302.213,15818494.3092041
302.586,14873600.2039795
303.147,15699851.7852783
303.521,15287046.1099854
303.892,15931883.3330688
304.262,15798636.9644165
304.705,15792521.7924194
305.072,16303374.5540161
305.447,15933138.2570801
305.819,15679668.3482056
306.184,16038271.7728271
306.626,16842101.9706421
307.297,15529245.2258911
307.669,15839465.8214111
308.037,16599722.3533936
308.411,15644827.4556885
308.782,16530791.5587769
309.223,16450457.1832886
309.592,16780148.8632812
309.961,16442252.1220703
310.408,15709045.3006592
310.781,15636270.4642334
311.155,15811082.2094116
311.527,15479840.277771
311.898,16351283.0637207
312.338,16833031.0707397
312.707,16619667.9281006
313.076,16110007.5963745
313.444,15423851.612915
313.815,15382111.324646
314.185,15912833.9653931
314.848,16040719.5809937
315.217,14234660.7577515
315.585,15961897.2582397
315.948,16660911.3738403
316.313,17053382.3582764
317.091,16551789.6621704
317.455,16545049.644043
317.824,16742687.9569702
318.195,16398443.1281128
318.751,16195354.2787476
319.115,16257382.7196655
319.482,17079337.9963379
319.849,16743186.659668
320.216,16813906.5093384
320.586,15768919.2546997
320.955,16659901.5309448
321.324,16227756.5042725
321.691,15688258.0531616
322.06,16123450.6096191
322.426,16518659.0953369
322.793,15922977.3840332
323.158,16740517.7178345
323.523,17219140.6654663
323.888,17074033.8168335
324.254,16747345.1015625
324.621,16915642.0892944
324.989,16552035.5704956
325.35,16585659.8413086
325.715,16771771.3861084
326.085,16331129.8735352
326.448,16181274.8375244
326.826,16193397.5909119
327.196,16361516.7884521
327.566,15573660.6618042
328.005,16711776.6399536
328.368,16196938.7128906
328.734,15532592.5410767
329.18,15416149.0964966
329.622,16196069.585083
329.991,15762901.0549927
330.356,16710045.0880127
330.721,15647519.1697388
331.083,17329312.4213257
331.45,16141810.6494141
332.008,16557572.0291748
332.668,17364801.5016479
333.03,16680297.5477295
333.396,16508597.7429199
333.835,16228439.6425781
334.204,16213091.4095459
334.571,15887048.3920288
335.015,16106103.2587891
335.461,15477406.9179077
335.832,15693003.25
336.204,15397369.2025757
336.648,15438042.2745972
337.205,15122208.7123413
337.579,15238893.0457764
337.953,16041840.3494873
338.319,16137415.2203979
338.687,15963714.9892578
339.055,17898244.0860596
339.5,15723408.7861938
339.864,15614567.1942749
340.227,16503146.4916992
340.595,15578774.194519
340.963,16525235.7783813
341.338,15456054.7865601
341.704,15037080.5457764
342.063,15712993.5484009
342.432,16185247.9639893
342.872,16363212.5048828
343.239,15094339.6800537
343.606,15459466.4069214
343.978,14998609.4893799
344.347,15771193.5914307
344.717,15359188.3047485
345.086,15551394.9133911
345.457,15798512.4896851
345.829,15188933.9063721
346.202,15105264.2155151
346.573,16063608.2470703
347.022,15597875.0186157
347.391,14937232.7826538
347.764,15028400.2925415
348.137,15191646.578064
348.51,15022696.0992432
348.883,14990642.7949829
349.328,15736181.0445557
349.702,14887325.7483521
350.077,15217911.2233276
350.637,15155622.8758545
351.009,15457315.6109619
351.383,15252357.9909668
351.754,15246020.0512695
352.125,15021365.2590332
352.797,15613651.6864014
353.168,15199272.9256592
353.541,15252705.5399475
353.915,15317635.5252075
354.28,16373963.7392578
354.65,12136397.3391113
355.027,3770017.04376221
355.406,4277414.78286743
355.793,8415803.79351807
356.179,13726990.8790588
356.563,15541296.4511108
356.941,15878970.9301758
357.321,15895317.8118286
357.699,15594794.221405
358.077,16172410.898407
358.64,15420513.3657837
359.017,15436912.8583374
359.39,15703750.1893921
359.759,15749693.5167847
360.128,15823527.8279419
360.502,15415477.1247559
360.874,15970503.7000122
361.247,15175597.7565308
361.619,14965712.4576416
361.991,15158070.9903564
362.362,15124129.2003174
362.733,15221745.9899902
363.402,15620856.548645
363.845,15636412.7324829
364.283,16821713.5629272
364.649,15945871.8808594
365.203,15112164.946228
365.642,15947376.8517456
366.084,16052772.6048584
366.523,15401772.7405396
366.961,16214592.194458
367.335,15577201.4714966
367.703,15085899.102417
368.069,14899558.7088013
368.434,15650111.7973633
368.869,15757409.9089355
369.232,15945381.006897
369.6,15483152.7338257
370.152,15690437.59021
370.519,15780027.2097168
370.884,15985838.5888062
371.248,15300981.9951782
371.694,15201760.5769043
372.138,15986136.3070068
372.506,15108300.793396
372.88,14781781.4030151
373.321,15302681.920166
373.69,15041975.7269287
374.054,15790483.2202759
374.42,15023421.0559692
374.783,16050967.4738159
375.149,16381714.5462646
375.513,15667743.2818604
375.876,15853957.1332397
376.237,16161479.3473511
376.598,16051530.2037354
376.959,15513851.5154419
377.319,15858197.1735229
377.76,15519148.9551392
378.127,15501326.5775757
378.492,14881270.0189819
378.934,13568839.3930054
379.373,15087943.1447754
379.812,15522703.3449707
380.178,15366838.0342407
380.62,14753120.9575195
381.06,15737013.9133911
381.425,15203282.2936401
381.792,15471092.4884644
382.152,15708451.315979
382.702,15269486.8983154
383.07,14921819.0787354
383.434,15789642.9597778
383.985,15650440.5393677
384.425,14834499.7730713
384.797,13832694.3342285
385.163,14370790.069397
385.604,14494731.0223999
385.974,13738333.7886963
386.345,14786916.0241089
386.781,15873546.3753052
387.15,14471540.9244385
387.517,14440197.6160889
388.07,14685266.2144775
388.437,15151347.6509399
388.798,15358835.8502808
389.16,15050835.7822266
389.525,14633490.4833374
389.89,15176027.7502441
390.439,14969190.8394775
390.802,14556148.8551025
391.163,14780635.614563
391.601,14937301.4989014
392.041,14588007.869873
392.485,14111643.4398804
392.927,14642826.4997559
393.589,14425567.0581055
394.369,14271343.3978882
394.737,13874834.5932617
395.104,14296670.1567688
395.546,13893905.2435913
395.912,14138769.6765137
396.279,14802467.7561035
396.715,15590704.4259644
397.155,15132029.2781982
397.515,15594141.8456421
397.872,15192614.9335327
398.306,15814484.418335
398.741,15562378.7104492
399.175,14454413.3565674
399.61,15039477.1937866
399.972,15376849.378418
400.341,15217938.2808228
401.003,14407742.9990234
401.365,14711666.0880737
401.731,14139385.4244995
402.508,14197169.9781494
402.871,14433383.7223511
403.232,14686305.8845825
403.598,14790283.6342163
404.145,14191985.7479248
404.505,14716480.4460449
404.863,15464736.4279175
405.22,15374506.0806885
405.58,15209476.8988037
406.245,14386948.4530029
406.607,14334815.0748901
406.972,14056870.7839966
407.64,14307337.1687012
407.999,14280950.9736938
408.361,12884004.2758789
408.72,13936334.7698975
409.086,14247936.9503784
409.519,13860418.6029663
409.887,13357664.3915405
410.253,13664153.7954102
410.811,13978268.6858521
411.243,14183401.6555786
411.798,13951050.2523804
412.161,13236859.5897827
412.528,13889848.3703613
412.968,12875926.3418579
413.417,13405126.4601746
413.789,13137733.6084595
414.347,14009202.1769409
414.788,13963945.3640747
415.157,13847455.3938599
415.518,14567293.2317505
416.083,14851334.2069092
416.52,15364977.8519287
416.879,14353838.3927002
417.235,14999859.6251221
417.604,14881575.8702393
417.963,15278741.0462646
418.326,14946143.5759277
418.692,14941005.9094238
419.057,14368585.7666626
419.496,15958164.1331787
419.86,16685744.7941284
420.222,16102976.2878418
420.584,15402150.7738647
421.018,15977509.7699585
421.38,16155982.1953125
421.741,15114851.5687256
422.11,14967485.6480103
422.471,16070655.2266846
422.834,15401047.7775269
423.194,15387949.4622192
423.555,16007505.2620239
424.23,15638313.7139893
424.787,15220724.1616821
425.151,16004389.8457031
425.513,15138650.0734253
425.955,14920765.8068848
426.327,13551524.5123291
426.694,15635269.4923706
427.25,14877973.1273193
427.621,14434228.4231567
427.985,15349622.4819946
428.431,13757859.8786621
428.804,14264326.8687134
429.174,14281798.0266113
429.61,15373367.8706055
430.054,14542436.927063
430.499,15033384.9971008
430.942,14949739.2197876
431.311,14985894.6460571
431.675,15244524.4888306
432.043,14685088.7154541
432.412,15125184.015625
432.778,15153402.8545532
433.146,15524766.9124756
433.698,15068326.3207397
434.139,15359525.3474121
434.501,14608905.4622192
434.861,15708477.1028442
435.23,14916750.7676086
435.594,15541510.7915039
435.962,14983903.3491211
436.328,14784436.0872803
436.701,14805859.4619141
437.069,15297882.1311646
437.436,15684924.8650513
437.804,15207193.6090698
438.176,14158779.4985352
438.618,15009240.890564
438.983,15024704.2293701
439.346,15519689.2738037
439.71,15256038.0873413
440.072,15884964.4628296
440.441,14757762.6624146
440.805,14998757.6166382
441.175,15137437.6785889
441.546,14654010.5003357
441.918,14173606.5517578
442.282,15225926.6260376
442.647,15095808.1685181
443.014,14896479.8463135
443.383,14794983.2132568
443.747,15445416.6308594
444.117,14747732.9866333
444.49,14264175.0685425
444.858,14514497.9833984
445.228,14609478.1626587
445.673,14647505.2202148
446.043,15182614.0155029
446.412,14882262.0935669
446.781,14733426.9771729
447.232,13869715.480896
447.603,14078518.0003052
447.97,14669808.8434448
448.336,15635416.0370483
448.776,15826268.5921631
449.142,15322537.6657715
449.511,14736393.2054443
449.88,14889954.1938477
450.323,15013968.8039551
450.686,15430838.953064
451.051,15097488.9051514
451.419,15139494.2444458
451.785,14950139.2789917
452.228,14863659.1552734
452.669,15743001.600647
453.109,15298939.7216187
453.554,14880813.0136108
454,13797738.7261353
454.371,14471003.5311279
454.744,14508972.7149658
455.298,15649305.0814209
455.739,15035622.5132446
456.102,15651248.2608643
456.467,15747106.194397
456.903,16224015.1809082
457.264,16681924.9185181
457.623,15562712.4954224
458.063,15987148.1375122
458.424,16110076.8768311
458.783,16379310.8624268
459.142,14410883.7869263
459.527,14401601.7024536
459.894,14536738.6394043
460.555,15504130.2584839
460.918,15546668.769165
461.284,15900024.5285645
461.832,15919894.8677979
462.195,15713642.7868042
462.559,15356192.203186
462.998,15479868.4770508
463.36,16318018.6256714
463.723,15542084.3734131
464.086,15646706.947876
464.637,15370097.2631836
464.995,16610472.7615967
465.358,15579881.7351685
465.723,14939648.7955933
466.083,16094184.0634766
466.444,16198967.5466309
466.804,16132678.967041
467.167,15925534.0767822
467.716,15993688.7342529
468.153,16590116.0194092
468.514,15120270.4451904
468.878,15831278.2263794
469.244,15103949.8353271
469.611,15205342.3640747
469.978,14954659.0471802
470.344,15887035.4296265
470.78,16092552.3262939
471.143,15279088.7272339
