"rt","ions"
300.231,18380978.6957092
300.718,16923194.3648376
301.083,17274555.8299561
301.744,17179154.4708862
302.11,16965386.0370483
302.481,15894879.2437744
302.851,16516588.6077881
303.219,16935336.1045532
303.585,16800857.9346313
303.952,16496751.1918945
304.395,17005203.9605103
304.755,17275390.3362427
305.119,17352968.0787354
305.56,16403442.4274292
305.996,18075482.8137207
306.432,16463652.7200928
306.981,16548364.4589844
307.427,16560663.9506226
307.793,17180926.8666382
308.157,18003993.2744141
308.591,16708642.789978
308.949,18611085.7353516
309.315,17014049.1746826
309.684,16507233.6635742
310.35,16821682.8513794
310.717,16672244.5409546
311.085,17134321.7877197
311.449,16833378.2069702
311.815,17262323.8772583
312.18,17040412.4363403
312.544,17393096.776123
312.911,17302273.5385132
313.354,16624444.5571289
313.718,17282519.8875732
314.082,16983814.869873
314.448,16929004.9527588
314.819,16601199.072876
315.187,16978629.4853516
315.554,17204043.2678833
315.922,17080045.2190552
316.286,16639299.2107544
316.65,17065058.7631226
317.014,17870547.5249023
317.379,17114638.6278687
317.823,16436134.4557495
318.186,17804044.4951172
318.549,17418834.2044067
318.91,17268418.8675537
319.272,17793180.2022705
319.632,18012100.7930298
319.995,16228633.3289185
320.362,17058600.6107178
320.731,15670670.6811523
321.1,16598872.0150146
321.467,17157939.8274536
321.833,17232300.0620117
322.197,17150790.6478271
322.559,17754572.62146
322.929,15878128.2328491
323.296,16697387.3773804
323.661,17307278.9353027
324.102,16760577.1134033
324.469,17239509.6074219
324.841,15676309.1396484
325.208,16712044.1297607
325.57,16554905.1121826
325.932,16801131.5689697
326.296,16894013.0443115
326.662,16782545.2544556
327.026,17191906.1049805
327.386,17272111.6635132
327.748,17215218.2389526
328.109,17447547.8007202
328.473,16834575.9150391
328.839,16635156.2599487
329.209,16131686.789917
329.575,17040694.1586304
330.015,16944501.0613403
330.379,17210978.3389893
330.742,16606286.0339355
331.106,17141938.7936401
331.47,17200966.5938721
331.91,16789015.3927002
332.274,16899282.8623047
332.642,16823371.6121826
333.191,17166134.2424927
333.558,16433740.8625488
333.926,17277535.0523071
334.293,16458803.4584351
334.656,16983796.0588379
335.021,17530406.777771
335.385,16616227.2998657
335.752,16406375.5865479
336.119,16819893.6932373
336.665,17021974.8109741
337.032,15996169.1027222
337.399,17022961.3639526
337.84,16366859.3190308
338.204,16800020.7608643
338.57,18036772.2045288
339.121,16996167.0679321
339.484,17268458.6625977
339.851,17149945.9122925
340.216,16776779.8627319
340.581,16988788.9283447
340.945,17479119.5765381
341.308,17158607.6687012
341.668,17462698.3012085
342.031,17086542.8174438
342.398,16290535.2739868
342.761,17223468.4920044
343.128,16825848.2145386
343.491,15821586.3845825
343.86,16335039.7980347
344.225,16918400.6018677
344.588,14290270.204834
344.947,17326105.9234619
345.309,18272973.7406006
345.745,17420259.2126465
346.11,17564697.02771
346.474,17319242.8179321
346.839,17804428.3519897
347.201,17426459.2259521
347.642,16926585.4903564
348.009,16910796.1882324
348.37,17971658.1775513
348.731,17751930.3538818
349.091,15818984.8327637
349.454,17393366.6377563
349.815,17369257.0098267
350.178,17109021.0561523
350.538,17641414.7802124
350.898,17813659.4794312
351.26,17310432.9487915
351.623,15280370.5148315
351.986,17901409.727356
352.348,17201974.8134155
352.894,17356263.7338867
353.255,17743364.6773071
353.616,17242296.8467407
353.984,17010064.9523926
354.348,17604040.8201294
354.786,17307007.3934326
355.15,17169626.1011963
355.516,17774781.9222412
355.886,16025013.2113647
356.249,16884490.9694214
356.616,17197441.0027466
356.979,17402565.0568848
357.335,18397546.3553467
357.698,17065636.8369141
358.064,16663956.8531494
358.502,17056493.3775635
358.869,16899028.5309448
359.236,16860585.817688
359.601,17113814.4674072
359.965,16819651.5169678
360.331,16711665.498291
360.698,16808583.7697754
361.066,16436122.5227051
361.437,16513180.9885254
361.802,16747030.9541016
362.241,17369037.3901367
362.68,16875570.5565796
363.046,17237422.0443726
363.41,17037278.3632202
363.772,16291049.8646851
364.21,17245046.210083
364.574,17367596.6627808
364.938,16783076.2310181
365.493,16699494.9129639
365.856,17045248.4692993
366.22,16903753.031189
366.59,15765704.071167
367.033,16421147.6708374
367.402,16311234.2645264
367.767,16908665.177124
368.209,16511877.7042236
368.575,16638516.2353516
368.942,16379960.9072266
369.382,16931660.1605835
369.749,16361690.3179932
370.113,17179793.7298584
370.477,17359284.7713623
370.842,16747267.2521362
371.285,16362594.0074463
371.652,16331491.9108887
372.018,16392109.6564941
372.454,17026499.3056641
372.815,17157961.680542
373.178,16844833.6087036
373.543,15847283.0176392
373.911,16645502.3548584
374.352,17144088.5827026
374.796,16698177.9992065
375.158,17300178.8990479
375.521,17490565.4702148
375.886,16744502.2791138
376.252,16436704.0717163
376.617,16554958.675415
376.982,16709381.2589722
377.348,16814827.5655518
377.788,16674447.3729248
378.157,16105885.128479
378.519,17166149.894165
379.071,17356486.7664185
379.432,16941912.2696533
379.798,16857448.685791
380.465,16837541.0307617
380.832,17280277.7247314
381.193,18182517.2920532
381.559,16391485.4328003
381.999,16853813.4662476
382.363,16994224.7182617
382.73,16815785.4404907
383.096,16914270.4335938
383.458,16937284.687561
383.824,16706244.9106445
384.194,16654479.5237427
384.638,16283484.0477295
385.003,16179329.3060303
385.37,16369930.2957764
385.733,16748424.3627319
386.174,15889995.7437134
386.538,16107045.5924683
386.904,16864367.2437134
387.341,16725694.3858643
387.781,16590862.4771118
388.218,17140194.4575195
388.581,17445852.0360107
388.943,16599963.3366089
389.307,16518524.3796387
389.671,16768164.1813965
390.034,16400404.8757935
390.698,16015251.8122559
391.065,16001992.6392822
391.433,15909476.2244873
391.797,16473682.7445679
392.164,16151758.0328979
392.533,15273132.7158813
393.196,16425822.4530029
393.634,17047149.5185547
394.072,16931232.0708008
394.513,16257360.1799927
394.875,16636515.6217041
395.239,16451470.4532471
395.602,17527027.4588013
395.965,15537461.9973755
396.334,15498133.4383545
396.89,15874272.6887207
397.256,16270004.9330444
397.62,15955257.2805786
398.169,15974034.1858521
398.534,16302339.553772
398.9,16041647.0734863
399.269,15385341.6295166
399.823,16005901.4634399
400.264,16200346.4127197
400.632,16027442.9450684
400.997,16172657.4884644
401.355,16951054.4191895
402.123,17227640.6091309
402.483,16486207.6190796
402.844,16055169.4993896
403.205,15393679.4778442
403.981,16465322.4349365
404.347,15617839.7514648
404.711,15694100.2758789
405.075,16273118.1900024
405.738,15852827.3770752
406.104,15318067.4083252
406.47,15489544.7593384
406.836,15426481.4078369
407.194,16614364.6118774
407.554,15319364.0911255
407.923,15420336.2713013
408.29,15281976.7329712
408.655,15456054.1065674
409.092,15250259.9431152
409.456,15238119.6864014
409.82,15661649.6539917
410.187,15332119.3500366
410.55,14821882.8408203
411.104,16356123.87854
411.467,16745550.2545776
411.828,16064473.5753174
412.614,15354567.2866211
412.972,16552830.1292725
413.334,16450505.923584
413.695,14993142.5548706
414.129,16895316.8239746
414.494,16745330.4967041
414.863,16728719.5705566
415.235,15300737.3755493
415.676,15645082.9880981
416.046,15643956.1935425
