"rt","ions"
300.234,17767509.246521
300.711,17433138.7969055
301.083,16106952.159668
301.97,16448228.2233887
302.338,16677593.8867798
302.702,16681373.2095337
303.146,16846027.1920166
303.517,16283609.4398804
303.888,16454161.473938
304.33,16525527.5253296
304.771,16572413.8271484
305.137,16261084.7337036
305.5,16323832.2279663
305.862,16569575.4103394
306.233,16252837.7565308
306.6,16437425.9194946
306.968,16905310.4857788
307.336,16963386.4069214
307.887,17949035.7957764
308.249,17722095.5192261
308.687,17002527.4468384
309.06,16222652.817688
309.426,17149605.4658813
309.981,16436485.2317505
310.353,16421672.8426514
310.724,16473953.4420166
311.096,16798252.9585571
311.461,17128556.5571289
311.828,16975934.2979736
312.193,16916819.9150391
312.562,16728416.2766724
313.006,16321218.5612183
313.443,17074540.2176514
313.809,15812657.0459595
314.18,15914229.758667
314.545,16558559.5841064
314.909,15890017.256897
315.278,16415182.4816284
315.673,18922984.0635681
316.119,15825604.0717163
316.899,16100361.4136353
317.262,17393727.2069092
317.635,16105266.0488892
318.011,15492333.6712646
318.375,17765963.2633667
318.745,16215154.6551514
319.118,16381323.4379883
319.494,16917083.0143433
319.938,16220850.0531006
320.309,16159947.7752075
320.68,16619927.8751831
321.051,16158799.0039062
321.422,16461329.1825562
321.792,16638841.2579956
322.161,16833193.4680786
322.531,16319224.7160034
322.899,16954437.336853
323.264,16482101.100647
323.633,16795641.867981
323.998,17126491.0253296
324.359,17534623.9302979
324.726,16672717.9171143
325.093,16797968.2821045
325.457,16757976.7669067
325.824,16196455.1026611
326.196,16630275.317688
326.556,17821682.7322998
326.921,17354886.6637573
327.287,16548425.9491577
327.728,17166703.7147217
328.093,16743990.0800781
328.461,16166728.609314
328.905,16075927.9782104
329.273,16095769.0164795
329.644,16438839.5031128
330.01,16623157.576355
330.372,15898470.2200928
330.745,16283547.3600464
331.109,17163627.1973877
331.475,16438670.1775513
331.917,16860848.6471558
332.577,17861954.3418579
332.941,17616869.9265137
333.307,16836209.2775269
333.676,16418837.7930298
334.126,16262205.222168
334.57,16660477.3374634
334.934,16839616.8113403
335.302,16187834.8137207
335.671,16417225.6281738
336.106,17384158.6229248
336.473,16745131.3736572
336.844,16121750.8383484
337.284,16867098.800415
337.654,16591644.2617188
338.023,16770058.7316895
338.391,16966784.0418091
338.759,16423785.1932983
339.122,16886208.890564
339.491,16657896.0435181
339.859,17476245.5612183
340.305,16226195.1279907
340.671,16388171.7794189
341.046,15506151.9005737
341.417,16046835.4506836
341.787,16592028.1323242
342.152,16859160.9150391
342.518,16095508.5270996
342.887,16780211.3860474
343.251,16770019.8410034
343.621,15818286.6872559
344.069,16181514.7471924
344.439,16142636.4558105
344.811,16362458.7435303
345.18,16291328.4094238
345.625,16473490.0504761
345.995,15898471.076416
346.369,15822233.6883545
346.742,15811267.1252136
347.114,16461162.0021973
347.483,16223021.1318359
347.848,16806379.9864502
348.21,16895209.0326538
348.574,16928965.6450195
348.94,16897028.0510254
349.379,16582833.8152466
349.825,15998038.003418
350.19,17146493.4279785
350.552,16993181.475647
350.921,16313011.6774292
351.363,16139284.0094604
351.726,16791796.117981
352.097,16342814.0042725
352.457,16495601.5452881
352.824,16154456.6463623
353.19,16364372.7745361
353.555,16881429.8476562
353.919,16917743.1043701
354.285,16718792.1193848
354.846,16140963.4638062
355.211,16204336.4912109
355.58,17181440.9297485
355.942,16838295.5540161
356.308,16648670.5830078
356.678,16001199.8123779
357.348,15299200.2125854
357.716,16773286.1829224
358.083,16419475.6948853
358.454,16043600.4345093
358.822,17444711.166626
359.186,16547184.9710083
359.553,17135777.3374634
359.92,15394858.3585205
360.37,16151891.2401733
360.736,16331308.6195679
361.106,16333982.9821777
361.476,15883463.7322388
361.848,16269872.6467896
362.294,15785692.6543579
362.742,15199996.9382324
363.188,15225896.7650757
363.561,15474648.7918091
363.931,16393730.7642212
364.298,16437353.2235718
364.663,15649980.0602417
365.109,15193963.6216431
365.479,15884106.6515503
365.852,15700441.7803955
366.222,15549124.4619141
366.78,15426483.9004211
367.146,16576740.8390503
367.515,15805625.704895
367.884,16465362.7366943
368.325,16696991.005188
368.772,15213510.671814
369.143,15721279.6360474
369.515,16006447.0305176
369.885,15350537.4213867
370.256,16078243.1948242
370.627,15863208.3041382
371,15033107.1932983
371.449,15541993.4615479
371.819,14673520.3510132
372.191,15436926.3669434
372.559,15490266.2103271
372.928,16484513.7958374
373.37,16058204.2455444
373.74,15890240.1356812
374.11,16031828.4003906
374.479,16795686.4454956
374.917,17637841.1474609
375.296,16212040.3127441
375.668,15830564.0742188
376.112,15116778.828064
376.485,15645004.2998657
376.858,16444706.1885376
