"rt","ions"
300.249,14700622.3447266
300.744,15271081.7533569
301.086,13595181.6571655
301.728,14129832.9078979
302.071,13219576.8417358
302.414,13627160.0700684
303.279,14090638.1517334
303.621,14201905.1588745
303.965,13637851.3496094
304.383,14324153.4593506
304.725,14118368.6973877
305.069,14195187.1309204
305.599,13904576.9256592
306.016,14379262.6673584
306.361,14021992.3474731
306.71,13863983.6586914
307.056,14485741.8064575
307.398,14936310.9442749
307.929,14037251.4885864
308.273,13652087.0596313
308.615,14251901.0756836
309.259,13809746.9707642
309.603,14444873.3131104
309.945,14305162.4907837
310.475,14640282.1776123
310.817,14662457.4571533
311.16,15824490.4562988
311.583,13700563.272583
312.002,14518084.6924438
312.422,14239989.7540283
312.958,13997602.0011597
313.303,13996353.7097168
313.65,13620208.9250488
314.295,14116917.1533813
314.642,13979807.9569702
314.988,14209445.4140015
315.334,14017581.260498
315.758,14102438.036438
316.181,13121922.1955566
316.526,13766375.7711182
316.878,13496053.0686646
317.226,14015970.4603882
317.574,13849741.1740723
318.331,15322915.7266846
318.675,15182641.0402222
319.019,14589766.34021
319.441,14458934.5753784
319.861,14121467.2611694
320.209,14009739.842041
320.556,14125211.3833618
320.901,14593902.5412598
321.249,13856161.1689453
321.668,14784694.8696289
322.015,13467325.4248657
322.364,13308718.583313
322.896,14136310.522583
323.241,13577734.8964233
323.585,14498497.682312
323.931,14247223.3669434
324.275,14127876.0256348
324.696,13898564.9047852
325.118,13702531.0975952
325.466,14093904.4651489
325.814,14011560.8397827
326.163,13899872.1348267
326.511,13842278.5609131
327.045,15325983.3508301
327.396,14059737.0346069
327.745,14139569.833252
328.169,13481772.0680542
328.516,13630080.7861328
328.863,13724904.3445435
329.223,12338146.1999512
329.757,14193132.4176636
330.104,14107659.4980469
330.458,14387136.5358276
330.991,14446389.5012207
331.34,13991590.2305908
331.683,14129345.6920776
332.333,13692638.8939819
332.753,14156333.6260376
333.288,15527506.1265259
333.633,12309899.9271851
333.983,13214860.6938477
334.34,14098018.3381348
334.694,13753124.942688
335.044,13669460.4356689
335.47,14387031.5912476
336.456,13804171.7784424
336.806,13495371.8300781
337.152,14627081.0811768
337.576,13605748.6859741
337.999,13830873.5864258
338.644,14191396.0013428
338.993,13769486.8660889
339.341,14183585.6989136
340.101,13891166.7668457
340.448,14121005.6036987
340.798,13633592.364624
341.146,13643195.6430054
341.495,13846532.027771
342.032,14417528.2479858
342.377,14455265.8808594
342.725,14273491.9206543
343.073,14365749.3061523
343.607,13364712.3006592
343.955,14163240.1866455
344.302,13984445.7110596
344.726,13777307.071228
345.15,13440504.7697754
345.499,14124736.8267822
345.847,13323649.7411499
346.195,13883857.9720459
346.621,12807354.7833252
346.969,13595498.5830688
347.316,14302137.7664795
347.661,14061508.6817017
348.083,14259066.8336792
348.43,13888058.2045288
348.777,14184916.6002808
349.424,13736953.3772583
349.77,14067646.1880493
350.115,14664509.1468506
350.462,14376450.4623413
350.807,14883409.7510986
351.152,14542622.6983032
351.497,13631438.4900513
351.916,13914621.2434692
352.34,13948291.7531128
352.688,14189975.0076294
353.033,13594153.9394531
353.455,13772966.4371338
353.805,13028845.8279419
354.154,13500691.3522949
354.502,13836549.5606079
354.848,14571582.2131958
355.27,14009736.8252563
355.807,13305439.9597778
356.16,13194066.7959595
356.507,13935539.7072144
356.854,13424638.4016724
357.202,14094076.4892578
357.626,13923104.2051392
357.973,13831243.1035767
358.393,14327385.7293091
358.813,14131588.5010986
359.159,14191860.2287598
359.506,14101421.2233887
359.933,13038833.8423462
360.281,13582278.4286499
360.631,13298535.4202271
360.978,13565648.6479492
361.328,13619871.1260376
361.674,14059902.4770508
362.024,13939347.9432373
362.673,14156073.1585083
363.321,13434400.9232178
363.668,14023203.8381958
364.017,13514318.480835
364.438,13211742.3269653
364.785,13894142.6195679
365.129,13783367.3692627
365.665,13299272.1599731
366.008,14464451.8989868
366.359,12541960.3419189
367.01,13996347.8336792
367.355,14107170.4794312
367.7,14287356.4888306
368.047,13922011.4632568
368.698,13305467.7923584
369.047,13285513.604248
369.396,13308209.0715332
369.822,12998691.1095581
370.246,12745465.6693726
370.672,12163729.5976562
371.091,13472001.9528198
371.734,13945808.6012573
372.079,13137879.4697876
372.425,13343900.4399414
372.955,13502313.5234985
373.297,13630774.5632935
373.64,13102169.3530273
374.74,12334871.6664429
375.086,13209696.2529297
375.432,13022562.3460083
376.076,13316015.3674927
376.418,12895901.0285034
376.763,12489313.9606323
377.18,13205047.4884033
377.522,13265308.9475098
378.165,12302938.5999146
378.508,13344661.7922974
378.852,12934766.7144775
379.27,12252407.4371948
379.801,12339204.3883667
380.217,12556161.0930786
381.085,12649233.1130371
381.432,12290958.081665
381.777,12644657.3574829
382.762,12963325.7371826
383.102,13005550.5716553
383.441,11821849.6420288
383.97,11790255.8999634
384.314,12315377.9433594
384.657,12129367.078064
385.07,12308035.567627
385.487,12354719.1326294
385.828,12682869.6801147
386.166,12662587.1257324
386.808,12365319.1957397
387.153,12308483.5154419
387.494,12237338.4747925
387.908,11900239.1833496
388.55,12320750.0307007
388.887,12001690.0471191
389.228,12452853.8214111
389.644,11744809.9992676
390.183,10735873.9449463
390.53,11173542.0552979
390.878,11252371.0792847
391.295,12473652.9364624
391.825,12898219.6239624
392.163,12339799.8823242
392.502,12195100.6662598
392.845,12376164.1937256
393.371,11746907.8912354
393.896,12457658.8269653
394.423,11854691.213623
394.949,11901613.947937
395.272,14562368.2884521
395.61,11495794.409729
395.952,11072936.1152344
396.29,11980325.3248291
397.164,11814612.291626
397.505,11711425.1606445
397.847,11657132.1721802
398.184,11968196.9686279
398.823,11447686.6619263
399.159,12113125.4887695
399.499,11222503.2507324
400.027,10856437.2232056
400.552,10773290.8486328
400.883,12304437.3537598
401.217,12270528.925415
401.746,12385008.2003174
402.09,11835854.4604492
402.43,12535669.317749
403.067,11256410.9413452
403.407,10392940.619812
403.752,11344605.1566162
404.1,11223663.2456055
404.514,11568741.9290161
405.043,10835665.9944458
405.381,11005234.3027954
405.723,10595575.9770508
406.067,11231926.8084106
406.817,11248257.1942139
407.156,11267153.0474854
407.569,10955878.5637207
407.982,11222089.7612915
408.319,11221586.1400146
408.668,11534986.1191406
409.016,11865674.6430664
409.555,11789598.7814331
409.906,11912046.2510986
