"rt","ions"
300.196,22830131.1662598
300.644,21927868.7848816
300.984,21809399.7339478
301.847,21447727.9573975
302.189,20201307.8667603
302.529,20878691.3379517
303.055,20605101.9641113
303.394,21306637.0157471
303.734,21640172.1181641
304.074,20597968.3295898
304.488,20402022.8255005
304.826,22026412.5952148
305.163,22377086.3536377
305.499,22354143.9044189
305.913,21427167.8168335
306.252,21152934.2999268
306.594,21063435.1924438
306.938,21022006.1804199
307.354,21277251.3782959
307.693,21772550.9481812
308.033,21343198.831604
308.376,20796834.8673706
308.717,21303516.5498047
309.054,21472337.6566772
309.391,22543637.8977051
309.917,19858914.3543091
310.259,20810198.0413208
310.597,21089567.6567383
311.007,23364012.0606689
311.347,22089220.8731689
311.684,19724515.5715942
312.023,22213001.940918
312.365,20182473.3414307
312.706,20646255.5314331
313.122,22466473.8236084
313.46,22076758.9936523
313.797,21560895.7906494
314.137,21777393.276001
314.478,21811965.2156372
314.892,22417768.8873901
315.231,21958220.5324097
315.57,22428352.9624023
315.91,21755129.7887573
316.25,21792360.1376953
316.59,21082922.8708496
317.004,20827031.770874
317.343,22720317.4682617
317.682,21390350.6763306
318.022,21510198.4390869
318.435,21893150.7481689
318.776,21876093.0123291
319.115,21199919.8588867
319.529,21199162.6522217
319.943,21786428.2073975
320.282,22139179.0708008
320.622,21524431.4163818
321.262,21340324.152832
321.603,20737533.3905029
321.94,22570466.4089355
322.279,22861909.2634277
322.62,21634377.2575684
322.957,22588695.2332764
323.297,21725321.4012451
323.714,20501278.7468262
324.129,21840927.7681885
324.468,22747955.6889648
324.806,22307169.3809814
325.149,20492113.1970215
325.568,20360328.307373
325.981,22689916.0504761
326.395,21689719.9705811
326.733,22683666.9904785
327.072,21928330.7593994
327.413,21790191.9692383
327.754,22246096.0335083
328.094,21119128.343811
328.435,21541618.5429688
328.773,20091946.0657959
329.115,20329173.6425781
329.458,21269506.7033081
329.799,21281866.1617432
330.213,21464135.8024902
330.55,21596793.371582
330.887,22221673.1489258
331.303,22542420.8552856
331.716,22723979.9460449
332.356,21158593.9013062
332.696,21290528.9962158
333.041,20277667.1680298
333.381,21625492.8404541
333.791,21764031.7462158
334.129,22551140.3277588
334.466,23024365.3690186
334.808,21544993.8236084
335.149,21881098.1275024
335.489,20528992.6831055
335.83,20667486.3421021
336.175,21044971.0904541
336.516,22806223.8112793
336.858,21366690.0374146
337.387,21460170.9315186
337.728,22434926.3930664
338.071,21633640.5463257
338.487,20522729.3493652
338.826,20723368.3083496
339.167,20512113.071167
339.512,20116871.0232544
339.928,20125725.9019165
340.27,20470923.9929199
340.615,20560357.0765991
340.958,20552258.7457275
341.301,20244955.2469482
341.831,20441443.628479
342.171,21845051.4672852
342.51,21916950.9933472
342.933,19906045.3706055
343.275,20331798.5876465
343.615,21527870.0576172
343.959,20641355.956665
344.304,19660796.937561
344.65,19517700.7814941
344.99,21470703.2132568
345.327,22058792.2751465
345.746,20137179.0927124
346.161,21469814.494751
346.498,22373019.5041504
346.841,20393728.3302612
347.184,20254617.2087402
347.826,20231785.0238037
348.169,20300405.5528564
348.511,20495408.8701782
348.851,20546055.6143799
349.194,20567574.3113403
349.534,21401420.5473633
349.874,21369339.4175415
350.289,22685077.97229
350.822,19912743.4959106
351.164,20092736.1814575
351.508,19735892.6130981
351.853,20555703.3127441
352.269,21494316.6497803
352.683,21876663.2432861
353.33,20361553.1769409
353.669,21717353.4886475
354.008,21611502.3825684
354.344,23732886.5931396
354.682,21951626.2054443
355.213,20130073.9468384
355.553,21132126.8327026
355.896,20437141.626709
356.236,21532018.9256592
356.581,21188551.9974365
356.923,20309030.586853
357.264,20527991.2841797
357.609,20151048.4360352
357.955,20339651.1253662
358.294,20401072.1583252
358.636,19729904.0756226
358.976,21293892.8099365
359.315,22275868.5858154
359.658,21032352.7134399
360.001,20544114.8494873
360.419,20924336.8025513
360.76,21735452.2937012
361.101,21966408.7231445
361.517,21466555.7996826
361.935,21306960.8721924
362.351,21573088.8691406
362.765,21177393.7542725
363.102,21630521.7833252
363.514,22283949.5139771
363.854,21016795.371521
364.198,20540498.6808472
364.536,22549007.2089844
364.876,21156342.4523926
365.218,20545535.2426758
365.561,18799519.2324829
365.901,20236697.4768677
366.244,21209153.8304443
366.661,20369414.9758301
367.005,20153047.4856567
367.348,20397807.770813
367.877,21760274.5200195
368.218,21835127.0855713
368.559,20817834.1373291
368.901,21079413.0187988
369.319,19826352.5869141
369.736,20170847.4432983
370.151,22050037.7664795
370.491,21081930.3956909
370.83,20620253.1033325
371.157,19077282.9279785
371.508,18594466.8040771
372.264,21395657.0179443
372.607,21368602.6466064
372.949,21855152.5618286
373.369,19966414.4993896
373.786,19548958.5007935
374.141,20517701.241394
374.559,20474900.0605469
375.205,19353645.4528809
375.546,19587151.9321289
375.889,20671073.8331299
376.312,19170345.3133545
377.072,17702278.2471924
377.419,18599992.9012451
377.759,15680320.3123779
378.113,16343847.3034058
378.879,18990258.3340454
379.229,18475855.7453003
379.578,18719229.0617065
380.225,19431327.6999512
380.569,20341784.057373
380.913,20272168.8679199
381.447,19349612.5637207
381.792,19531664.5270386
382.137,19251452.9423218
383.006,20302903.637085
383.346,20450202.9263916
383.688,20156715.2280884
384.561,18856624.0219116
384.904,19055058.6772461
385.248,18825130.9359741
385.78,18956741.7445068
386.649,18300881.3930054
386.995,18049979.8063965
387.339,19596926.4841309
387.755,19831302.1328125
388.176,19469384.3898315
388.592,19073027.9569702
389.234,19151607.4639893
389.577,19502248.9588623
389.918,19434052.9476929
390.26,21075100.100769
391.239,18833362.9327393
391.58,19337861.9602051
391.919,19540897.161499
392.334,20111534.7203369
393.084,19802946.8793945
393.423,19976245.5065918
393.761,19136292.6765747
394.515,18642081.6027832
394.856,18903244.0534058
395.195,18188753.2449341
395.537,19547308.6913452
396.288,18534144.8348389
396.626,18166963.7666626
396.967,18909140.2073975
397.382,17501121.4824219
397.717,17510718.1711426
398.469,16308887.1583862
398.81,17118938.1431274
399.151,16868946.1998291
399.68,17295607.258728
400.017,17057582.8920898
400.353,16675033.4917603
400.993,16335872.6408691
401.333,15916386.5678101
401.675,17487690.4363403
402.316,16975020.2459717
402.652,16338891.6763306
402.992,17967581.6901245
403.863,16697167.5690308
404.212,17120217.8150024
404.55,17939184.6972656
405.186,17797217.640625
405.525,17116285.7283325
405.862,16728042.1499023
406.278,17537922.5930786
406.696,16722943.3503418
407.45,18578458.0705566
407.784,17586221.4865723
408.125,18397975.7798462
408.88,18131309.2098999
409.222,17461035.9191284
409.565,17610723.2974243
409.909,18416850.9086304
410.254,17435057.9130859
410.895,18651373.2670898
411.236,18743333.078125
411.579,17385165.0169067
411.92,19374611.1724854
412.261,18579565.1350098
412.902,17570543.3372192
413.243,18569233.8222046
413.586,19185972.3930054
413.933,18236915.0604248
414.576,18680197.5742798
414.921,17017794.9036255
415.264,17783898.925293
415.608,19631727.8190918
416.028,19159890.5308228
416.374,18996278.4196167
416.719,18661249.6560059
417.062,19714593.743103
417.48,19583831.4777832
417.897,20083131.5286865
418.24,20208818.6450806
418.587,19952109.1868286
419.009,19486521.3936768
419.352,18835316.4784546
419.705,18021097.859314
420.049,18595390.8803101
420.468,19123082.4016724
420.813,19594029.5995483
421.35,19459511.5179443
421.7,19353114.3428345
422.041,20428392.1487427
422.385,20264047.888916
422.726,19188193.7515869
423.253,19421300.3109131
423.59,20509559.3723145
423.928,20356281.8449707
424.271,20589476.2766113
424.62,19560770.1034546
425.15,19846200.5167236
425.498,19094409.1341553
425.844,20158323.6594849
426.189,20392987.4312134
426.611,19030206.7651978
426.958,19770143.3526001
427.304,18955068.8339233
428.06,20054841.723938
428.408,18765701.4202271
428.758,19135657.1626587
429.096,20576375.4174805
429.442,19621501.5219116
429.788,19447117.3112793
430.137,19144407.5134888
430.556,20126958.475769
430.902,18801280.1207886
431.25,19694447.0098267
431.787,18709854.3397217
432.134,18895789.2450562
432.481,19185540.453064
432.823,19967021.2265625
433.467,19755558.9561157
433.812,19617914.5654297
434.155,19712132.1365967
434.503,18914884.3857422
434.849,20553314.456604
435.188,20620199.8036499
435.527,20316600.8922119
435.87,20377802.512207
436.297,19707264.0764771
436.639,20088532.5108643
436.986,16174008.7386475
437.402,20708034.6316528
437.934,18393790.1567993
438.277,19063554.0447388
438.623,19310328.5028076
438.966,20397245.4902344
439.309,19024449.7616577
439.736,18361995.1983643
440.276,19393995.0704346
440.625,18892849.6412354
440.975,19010611.4978027
441.323,18571127.8170166
441.673,19223651.1570435
442.017,19469564.3415527
442.436,19241871.4420166
442.858,19789233.7773438
443.281,18327080.8827515
443.625,19633318.3099976
443.97,20837784.2689819
444.314,20022542.5460205
444.659,20245298.2970581
445.008,18637981.7373047
445.43,19164382.2192383
445.776,19931257.1384277
446.121,19114118.2002563
446.466,20174544.2870483
446.812,20074838.295166
447.16,19197958.694397
447.506,19747970.4863281
448.039,19981702.5105591
448.381,20693369.9870605
448.722,20296009.2860718
449.064,20052614.8693237
449.481,20575825.6383667
449.824,20260834.1240234
450.168,20413693.5316162
450.589,19747512.6212769
450.935,19038936.4605713
451.28,18556033.5648193
451.625,21201095.9695435
452.042,20231462.8590698
452.384,20532052.2584229
452.73,20433198.1403198
453.149,19484402.4979858
453.789,20855705.2667236
454.131,20442014.1964722
454.475,20271844.845459
454.819,19962075.9480591
455.164,20561771.1203613
455.509,20212099.5463257
456.043,18313684.7028198
456.387,19318751.9907227
456.729,21068423.0825195
457.073,20440350.1536255
457.417,20665285.631958
457.946,20544411.2208252
458.286,21701074.8547363
458.626,21191347.854126
459.162,19890313.6313477
459.506,20565388.6350708
459.849,20811617.7531738
460.192,19756076.9025879
460.61,20253746.6956787
460.956,19623968.2988281
461.302,20472088.005127
461.72,21480541.1312866
462.064,19585657.8591919
462.405,20764245.0904541
462.746,20162583.0919189
463.087,19589714.3278198
463.43,19975414.2307129
463.85,20258820.2243652
464.191,20798338.5527344
464.607,20123611.3616943
464.953,19676538.7166138
465.297,19677750.7061157
465.717,19656779.4931641
466.063,19670488.6503296
466.407,20221047.6936646
466.754,20223953.6772461
467.097,20455895.2153931
467.441,20909981.2877197
467.785,19945055.1729126
468.127,19992474.6715088
468.47,19899623.4767456
468.814,20065365.055481
469.158,19473426.1204224
469.502,19703420.6663208
469.922,19044748.5331421
470.267,19631076.6657715
470.611,20264548.7706909
471.026,20527094.1179199
471.369,20314616.5060425
471.711,19868193.538147
472.128,20657740.5407104
472.471,19482602.7477417
472.819,18824448.7032471
473.166,20063534.3956299
473.695,21460505.8907471
474.038,20710161.1110229
474.385,19782370.1671753
474.729,19352471.2296143
475.072,20193359.699646
475.413,20285198.0045166
475.758,18854679.1731567
476.177,19286774.1281738
476.593,21088708.3806763
476.937,19874667.6176758
477.283,19906109.7199707
477.63,19732803.1175537
477.973,19777942.6721802
478.317,19908805.9009399
478.66,20321217.1303101
479.004,20487468.8475952
479.425,20213119.2647095
479.769,21034413.8034058
480.185,21649728.3082886
480.72,19843244.9517822
481.063,20094123.1239014
481.405,20021941.9752808
481.749,20204276.3647461
482.091,20217267.0323486
482.435,19960000.0531616
482.781,21042891.8173218
483.101,29371834.8027344
483.444,20392394.1349487
483.979,18688743.7059937
484.384,24054572.2406006
484.728,17704865.9158325
485.08,18229453.8999634
485.837,18786770.6520996
486.187,18895010.4790039
486.532,19379930.0725098
486.952,20524302.0249023
487.294,20313747.0412598
487.64,19779342.5228271
487.985,19463597.6742554
488.33,19629818.5644531
488.749,19212060.2556763
489.173,18152642.1532593
489.522,18606666.3169556
489.869,17649254.4466553
490.227,33830001.036438
491.66,19990602.9920044
493.084,20696425.1932373
494.174,20094714.0135498
494.515,19614212.088562
494.857,18992342.0244751
495.201,18675974.2230225
495.543,21142003.0026855
495.883,19933024.8135986
496.409,19665321.0546265
496.749,20180752.1047363
497.091,19354801.4316406
497.43,19691335.8626709
497.772,19552976.0767212
498.188,19502520.367981
498.526,19869829.5964355
498.868,18958286.0785522
499.738,18763666.4158325
500.08,18466756.0128784
500.419,19297769.0010986
500.831,21199946.2237549
501.17,19707037.7266846
501.51,19739670.1651611
501.85,19248365.5875854
502.38,18671234.5738525
502.722,18551903.0858765
503.069,20629616.0537109
503.489,18857960.7442627
504.689,20174042.7171631
505.026,19679596.6478271
505.367,18783133.9094238
506.012,19186910.9847412
506.352,18951744.6628418
506.691,20601447.2692871
507.107,18881896.2125854
507.445,19811491.0562744
507.787,18105491.4162598
508.127,19325731.4855347
508.656,19504303.9724731
508.994,19269437.1178589
509.334,19092438.5612793
509.677,18928875.1046753
510.019,18656419.2859497
510.357,19557594.8568115
510.772,19229844.4788818
511.189,17920471.5631714
511.719,19558031.2136841
512.136,18711354.1573486
512.553,19508647.6099854
512.894,19614996.4780273
513.232,20312854.9694824
513.649,18979206.9202271
513.991,18675775.6882935
514.332,18230143.8830566
514.75,18956171.7758789
515.091,19143799.8909912
515.433,19036023.567749
515.779,18680189.7692261
516.197,18771541.0256348
516.727,18484960.6600952
517.148,18454887.8511963
517.492,18066909.1296387
517.837,18284538.9807129
518.181,19858570.5999146
518.826,17922095.1427612
519.168,18635887.1431274
519.513,18505782.8254395
519.854,18936291.967041
520.194,18802650.7944946
520.536,18225989.083374
520.881,17750066.781189
521.223,18776545.8490601
521.566,19047135.9369507
521.983,18024528.3738403
522.403,18878108.5001831
522.744,18851922.8411865
523.084,18905997.0648193
523.612,19469956.4882812
523.956,18384537.8453979
524.3,18601072.418457
524.641,18622163.7427979
524.982,18585193.6321411
525.324,19133571.7570801
525.741,18700334.5595093
526.086,19017438.7085571
526.427,19510398.763916
526.77,18832287.8483887
527.113,19162990.9224243
527.456,18766698.8901367
527.798,18506844.1917114
528.139,19319573.8897095
528.482,19003659.0656738
528.824,18716500.1335449
529.469,18919280.5415649
529.811,19193343.7120972
530.152,18576750.9473267
530.566,20119878.9401855
530.906,19216053.9854736
531.247,19819851.9533691
531.588,20273755.621582
