"rt","ions"
300.218,20305680.5612183
300.667,19914714.8720398
301.007,17857955.248291
301.976,17413957.5267334
302.313,18665569.5320435
302.65,16895158.3301392
302.988,16109396.3482056
303.627,16276472.8798218
303.964,17199230.664856
304.301,17535282.0442505
304.713,17102945.3215332
305.05,16823011.9842529
305.387,16521586.4894409
305.801,17053494.6115723
306.138,17515996.3050537
306.476,17085282.7575073
306.814,17677409.3214111
307.154,17363497.8135986
307.677,18648917.0987549
308.088,18030972.2660522
308.424,18160620.3209839
308.76,16918408.4844971
309.175,17233737.9846191
309.513,17875617.6619873
309.943,15995045.9597168
310.358,17706506.0882568
310.695,17691013.6398315
311.111,16594129.2476807
311.455,17839292.7819214
311.798,16578779.8016357
312.329,17351624.2120361
312.743,18460291.8704834
313.081,16844168.756958
313.421,19155758.1141968
313.95,17169535.826416
314.287,18046139.4832764
314.624,18398112.0560913
314.961,17921275.1535034
315.301,15848250.9348755
315.639,18159064.1177368
315.982,17090787.9094238
316.321,18099903.1189575
316.662,17289440.4195557
317.075,19063441.190918
317.488,17941746.8867798
317.827,18224110.4156494
318.164,18732739.6583862
318.501,19310434.0213623
318.913,17864515.0592651
319.251,18100445.4703369
319.592,18437855.1025391
319.93,17413238.774292
320.27,17709760.5690308
320.608,17581699.2114868
320.948,17529332.1542358
321.364,17689143.7399292
321.703,18270398.8903809
322.036,20806681.6411133
322.373,19277290.1784668
323.014,17760596.5717163
323.354,17872723.317749
323.693,17512159.348999
324.03,17700207.8986816
324.442,17829075.5784302
324.782,17311236.3374634
325.12,15455736.4974976
325.464,16011832.491394
325.806,16742913.1825562
326.22,17425991.9951172
326.637,17135122.3798828
326.977,17226638.3031616
327.317,17255806.7545166
327.655,17657874.1856689
328.002,17983810.9528198
328.34,17977699.880127
328.68,17116936.5888672
329.02,17678061.6555176
329.359,17190102.8876953
329.697,18327645.1947632
330.036,17749943.1289673
330.448,17746982.164856
330.785,19110393.9937134
331.123,18028181.7870483
331.464,17196464.3769531
331.803,17394142.9627075
332.441,17652521.5401001
333.082,17184015.6324463
333.421,17606186.9403687
333.759,17746438.7365723
334.097,18072064.7069092
334.436,17932399.6502075
335.072,17728240.6039429
335.411,17100977.850647
335.75,17489642.0231934
336.168,16683556.0899048
336.509,17112191.2470703
336.849,17746082.5385132
337.264,17265250.850708
337.602,18311113.9933472
337.94,17713170.994873
338.28,18567724.8425293
338.69,19132322.335144
339.026,19684493.0922852
339.365,17551716.8817139
339.704,17463209.4859009
340.12,17576441.0496826
340.46,16628367.6759033
340.801,17371183.4329224
341.14,17223814.3390503
341.663,17888061.4765015
342.002,17709352.2816772
342.34,18035678.5013428
342.681,17078414.4590454
343.092,18894210.6721802
343.429,18917152.1311035
343.768,17792833.3444824
344.108,17340011.947998
344.447,17421187.8423462
344.86,17398552.3677979
345.2,18407108.2072754
345.537,18485350.5688477
345.873,18892461.5333862
346.286,17463423.2467041
346.621,18386995.9624023
346.961,17248290.2991333
347.299,18759221.1978149
347.712,18123259.0193481
348.128,17300976.8673096
348.462,15877861.7200317
349.102,17164738.0015259
349.443,17453764.4369507
349.782,18461431.5838013
350.122,17158685.9274902
350.537,17438987.9490967
350.883,16853887.2164917
351.222,19484351.6890869
351.56,19011672.4905396
351.903,17292593.6016235
352.246,16428224.8376465
352.661,17381104.7926025
352.997,17924596.6550293
353.335,17375027.3562622
353.975,17928238.1730957
354.314,16853490.3539429
354.652,16770934.9780884
355.405,16997164.2151489
355.743,17460889.2999878
356.085,17202971.7954712
356.426,17525277.5527344
356.765,18542177.3156738
357.101,18410480.0125732
357.515,17919488.3024292
357.854,17843200.5053101
358.193,18094006.8415527
358.535,17256171.5274658
358.949,17269981.9981079
359.288,18174781.6040039
359.627,17283044.7424927
360.039,17419613.1270752
360.378,16991354.9616089
360.72,17023982.5797119
361.135,17246837.0272827
361.55,16864669.7231445
361.89,17820548.6300659
362.306,17721078.5292358
362.948,16753332.2167358
363.472,18060060.1082153
363.884,17268659.5200806
364.299,16775728.5081177
364.638,17179988.5268555
364.981,15539239.8001709
365.399,16036601.2260742
365.739,16827362.413147
366.08,16749156.0537109
