"rt","ions"
300.198,20059150.4262085
300.679,14545464.4408875
301.029,18328133.2529297
302.235,19477229.5499268
302.583,19533865.34021
302.93,20138928.9802246
303.466,19066793.1183472
303.816,18753232.9885254
304.167,18597045.0141602
304.707,19229853.1282959
305.057,19047415.5123901
305.407,18901722.2059326
305.758,24221166.5888062
306.092,19419406.9394531
306.424,18958291.7078857
307.397,18109645.9862061
307.732,18201476.4285889
308.065,18606368.9508057
308.397,19232841.7049561
308.732,18019020.7786865
309.14,18646903.3397827
309.474,18559812.5594482
309.807,18508348.6081543
310.141,19444167.4134521
310.546,20203679.0057373
310.877,18508287.2838135
311.208,18369928.2091064
311.539,18531186.3430176
311.874,17965011.4870605
312.285,17614716.9953613
312.619,18250486.2329712
312.953,18233153.7658691
313.36,18547310.9755249
313.694,18324789.5914307
314.026,18983702.1179199
314.361,18647534.1426392
314.695,19104042.8509521
315.03,18809298.3954468
315.362,19460819.527832
315.694,18506555.1959229
316.104,17924029.352417
316.437,19464065.9833984
316.769,18687325.2770996
317.176,18594872.932373
317.51,18727528.0765381
317.843,19688917.2487793
318.173,20151434.0797119
318.503,18950066.4677734
318.836,18978764.2299805
319.166,18882555.4008789
319.498,18485217.5604248
319.833,18394582.7176514
320.166,18832163.1911011
320.498,19971573.645874
320.83,18609852.8469238
321.164,19614023.7479248
321.498,18885588.5786133
321.83,19304649.7908936
322.163,18211209.7133789
322.573,17494257.0113525
322.981,18178689.4140625
323.391,17799201.9730225
323.725,18161854.1535645
324.061,17801444.2411499
324.397,17474627.0128174
324.736,17902021.7614746
325.072,18460579.8436279
325.407,18853981.8981934
326.612,18797410.5078125
326.945,19255645.600708
327.283,18602169.6500854
328.034,17925910.6088257
328.369,18194094.9447021
328.704,17681363.3077393
329.228,18297035.3226318
329.563,18423525.8580933
329.899,17912848.2626343
330.309,17922178.4848022
330.644,18145694.2952881
331.393,18845370.9281616
331.729,17913831.2357788
332.068,17012898.3117065
332.816,18181770.1376953
333.335,19547125.223999
333.747,17836918.6540527
334.082,18651140.5458374
334.414,19691060.6374512
334.747,18752325.1054688
335.081,18907128.8083496
335.415,18595000.1888428
335.822,18778300.7928467
336.153,18501110.0568848
336.508,16231067.5455933
336.842,19099957.7873535
337.178,18534323.6816406
337.588,18766403.4686279
337.923,18979022.2527466
338.261,18284869.1934814
338.595,18415790.8255615
338.93,18832999.9711304
339.267,18576848.3911743
339.603,18518501.5944824
339.938,18942135.4177246
340.351,17834099.197937
340.69,17965557.3129272
341.029,17757274.810791
341.364,18708077.9468994
341.886,18276228.909668
342.223,18114784.8487549
342.558,18698823.5033569
342.891,20055978.5372314
343.228,19097342.9959717
343.563,18356769.9977417
343.973,19151995.6472168
344.309,18312353.3233643
344.647,18089709.0120239
344.983,19066468.7894897
345.318,19147780.0079346
345.729,18645388.0294189
346.066,18481222.5219727
346.404,17765233.0303955
347.265,32685552.4599609
347.603,31763591.605835
347.937,47632492.8641357
349.359,24836342.3043213
350.776,27068269.3845215
352.199,48495463.5087891
353.608,45889415.5843506
355.014,63356161.3139648
356.431,41085425.6491699
357.841,21433862.8725586
358.919,21808767.0299072
359.24,29192395.1807861
359.562,25764708.8022461
360.298,23002924.6433105
360.617,20010814.1646729
360.939,16419058.6721191
361.561,17867186.1479492
361.88,18355739.7991943
362.2,16707096.5411377
362.598,16752488.715332
363.445,18218431.8829346
363.846,43842789.7655029
364.243,63227323.3776855
365.652,21789344.2270508
367.073,15645210.8955078
367.471,16556716.9885254
368.095,18883185.7872314
368.416,17489825.2092285
368.738,17733851.9418945
369.063,17170812.3214111
369.388,17103772.883667
369.716,16590102.4030762
370.118,17324761.0980225
370.45,16501330.8258057
370.781,16709884.4012451
371.3,15989763.5848999
371.629,17590693.6779785
371.961,16918631.3103638
372.291,18074117.0264282
372.811,17472406.5992432
373.337,17256800.5632935
373.668,18030667.3910522
374.004,18982005.9223022
374.337,18204776.5264282
374.672,18588134.1239624
375.083,16933656.9609375
375.418,17893887.1708984
375.753,17665171.84375
376.09,17210976.1386719
376.426,17451551.4412231
376.76,19222223.6835938
377.173,18454563.5424805
377.507,17962564.6409912
377.842,19114495.4665527
378.362,17700716.4257812
378.697,18013622.0929565
379.032,18132097.8111572
379.369,17439350.1188965
379.71,17036319.7386475
380.047,17083179.4354248
380.386,17251115.0479126
380.8,17894210.1174316
381.136,17975819.1384888
381.471,18354512.8858643
381.884,18421991.1560669
382.219,18534030.3491211
382.555,18284439.4364014
382.894,17244840.8287964
383.233,16809645.15448
383.648,17115087.4060669
383.987,17000600.140686
384.324,17865049.1548462
384.849,18181639.0402832
385.183,19317021.0698242
385.52,18286388.144104
385.93,18374911.1781006
386.27,18505135.6831665
386.608,17996532.9950562
386.943,19271293.0762939
387.279,18677827.1361084
387.69,18557195.0278931
388.219,17124921.211731
388.559,16792814.5512695
388.899,18285194.9715576
389.238,17318318.1210938
389.576,17652221.6779175
389.915,17524166.7423706
390.253,16537825.2609253
390.591,17593649.432373
391.008,17034786.0387573
391.348,17721369.8105469
391.686,18346841.6039429
392.099,17843811.4404907
392.508,18235361.520752
392.841,19251824.1984863
393.362,18044395.4489746
394.11,17810074.6992188
394.52,18015396.237854
394.933,17591230.3493652
395.461,17020997.8757935
395.799,17410166.4314575
396.138,17215621.8198242
396.775,16687862.0282593
397.114,17154049.5714722
397.455,16795344.7438354
397.796,16790521.7404175
398.135,16355256.5941162
398.473,17304642.8244629
398.806,18422178.5786133
399.218,17987584.3822021
399.632,17401905.7394409
399.969,16691451.0303955
400.304,17140361.8759766
400.643,17793315.1890259
400.979,18129859.1164551
401.613,18528359.3347778
401.951,18292798.7167969
402.287,17566889.6409912
402.697,18417016.289917
403.036,17389565.6461792
403.375,17404780.9404907
403.715,17835644.1995239
404.13,17693994.5620728
404.467,16681941.0036011
404.809,16298641.62677
405.333,17828766.9448242
405.747,17598452.0618896
406.086,17807930.1582031
406.423,17204794.986084
406.757,17049293.0980225
407.092,17467410.182251
407.616,17718221.4182739
407.952,16896408.6891479
408.293,16160206.6981201
408.636,15846037.9118652
408.978,15714337.2734985
409.625,15379235.2677612
409.964,15568196.5496826
410.307,15924512.2544556
410.717,17237410.6046143
411.131,15604516.619873
411.659,15911506.0253906
412.001,15285270.5460205
412.343,15685918.2324829
412.69,15251526.3081055
413.031,16351376.7700195
413.371,16128742.789917
413.784,15431978.3070679
414.126,15666447.8735352
414.471,15993340.3341675
415.341,15824546.2322388
415.684,15603349.8704834
416.021,16445243.4738159
416.36,16445308.0845337
416.701,16621420.8052979
417.04,17391793.1791992
417.383,16725713.527832
417.914,16251595.3209839
418.259,16508103.4887695
418.608,15512037.0446167
418.952,16084511.897522
419.37,16302116.7432251
419.715,16405183.8319092
420.058,16049043.2849121
420.399,17968177.0563354
420.815,18008080.4078979
421.156,17179946.3304443
421.499,17674855.0891113
421.839,17534087.0551147
422.186,16505142.9092407
422.607,16214412.6906738
422.953,16169475.7086182
423.297,17031956.0081177
423.641,16858419.5089722
424.063,16992399.4699097
424.82,16868486.3740234
425.35,17510081.4613037
425.691,17873674.3128662
426.034,17106163.3887329
426.452,17530397.0155029
426.795,16723055.1586304
427.137,17551062.1427612
427.479,16983714.2700806
427.896,17123951.8122559
428.237,17584758.8809814
428.878,17827284.0222778
429.222,17807094.4382324
429.565,34613810.5498657
430.995,44044004.0828857
432.415,20525171.2674561
433.836,17570037.2167969
434.692,17222629.0839844
435.023,17877990.1496582
435.355,17517738.5576172
435.686,18097117.7122192
436.321,17969505.0863037
436.654,18039969.8138428
436.99,17301752.3686523
437.399,17310044.8548584
437.739,17653179.8793335
438.073,17667088.1206055
438.411,17109570.8075562
438.821,18050457.6820068
439.156,18175583.036377
439.569,17397340.210144
439.904,18562634.6223145
440.24,17425159.182312
